"Date","median","lower_90ci","upper_90ci"
1994-03-01,674.55,434.56,1021.3
1995-03-01,670.35,431.58,1016.94
1996-03-01,673.6,435.2,1027.26
1997-03-01,675.58,435.05,1027.7
1998-03-01,680.92,439.56,1020.02
1999-03-01,682.9,440.78,1023.24
2000-03-01,682.99,440.9,1013.67
2001-03-01,683.69,440.72,1013.08
2002-03-01,684.59,438.26,1015.67
2003-03-01,682.54,437.3,1017.9
2004-03-01,679.01,435.73,1017
2005-03-01,677.03,432.46,1010.09
2006-03-01,677.36,434.87,1011.65
2007-03-01,683.3,438.67,1015.23
2008-03-01,686.12,439.29,1018.2
2009-03-01,688.2,439.72,1024.56
2010-03-01,686.87,439.4,1019.22
2011-03-01,688.61,440.44,1018.81
2012-03-01,689.6,438.38,1016.88
2013-03-01,689.77,438.52,1017.93
2014-03-01,687.87,435.95,1021.09
2015-03-01,684.35,431.16,1017.39
2016-03-01,685.9,434.21,1017.9
2017-03-01,689.13,439.48,1011.99
2018-03-01,685.45,437.44,1014.55
2019-03-01,686.27,441.77,1023.23
2020-03-01,685.81,436.13,1028.84
2021-03-01,684.24,436.96,1033.99
2022-03-01,686.06,438.52,1034.62
2023-03-01,684.96,437.72,1037.89
2024-03-01,686.96,442.56,1041.69
2025-03-01,688.15,443.41,1042.33
2026-03-01,689.63,442.21,1036.41
2027-03-01,689.59,439.12,1044.49
2028-03-01,687.11,435.86,1049.25
2029-03-01,683.64,433.2,1048.7
2030-03-01,684.11,431.1,1049.98
2031-03-01,684.41,432.2,1056.4
2032-03-01,685.87,436.53,1059.9
2033-03-01,691.4,439.13,1061.18
2034-03-01,692.18,442.09,1067.52
2035-03-01,692.67,444.42,1069.51
2036-03-01,695.41,445.74,1073.44
2037-03-01,693.06,445.77,1077.4
2038-03-01,695.86,446.5,1082.04
2039-03-01,696.22,444.14,1078.38
2040-03-01,696.7,447.66,1083.23
2041-03-01,696.34,446.96,1084.77
2042-03-01,698.99,453.09,1090.4
2043-03-01,704.37,457.29,1104.77
2044-03-01,708.7,453.21,1109.35
2045-03-01,709.75,452.51,1113.39
2046-03-01,711.61,453.69,1119.38
2047-03-01,704.61,442.05,1113.26
2048-03-01,707.8,443.77,1107.96
2049-03-01,706.48,442.42,1107.74
2050-03-01,710.42,447.99,1108.63
2051-03-01,713.54,447.56,1111.39
2052-03-01,713.19,445.1,1117.83
2053-03-01,715.73,447.56,1121.03
2054-03-01,717.75,445.11,1124.84
2055-03-01,719.68,449.26,1126.05
2056-03-01,717.52,447.31,1128.64
2057-03-01,718.9,450.95,1131.27
2058-03-01,720.18,451.46,1132.95
2059-03-01,724.82,449.97,1134.75
2060-03-01,726.2,451.02,1148.63
2061-03-01,730.71,449.25,1150.72
2062-03-01,730.31,446.35,1144.5
2063-03-01,728.29,445.88,1142.13
2064-03-01,730,447.24,1141.38
2065-03-01,729.04,443.4,1145.79
2066-03-01,728.97,439.73,1143.73
2067-03-01,732.61,437.84,1149.66
2068-03-01,735.36,434.99,1155.62
2069-03-01,738.13,439.67,1162.92
2070-03-01,740.72,439.52,1161.78
2071-03-01,738.26,440.09,1161.13
2072-03-01,740.88,436.12,1164.94
2073-03-01,740.76,434.66,1154.6
2074-03-01,740.26,438.63,1151.83
2075-03-01,742.57,443.19,1154.62
2076-03-01,745.82,439.28,1161.2
2077-03-01,751.13,442.61,1164.82
2078-03-01,753.11,441.94,1177.1
2079-03-01,756.77,444.46,1181.78
2080-03-01,754.54,443.56,1182.63
2081-03-01,755.93,444.84,1188.29
2082-03-01,760.27,444.84,1195.01
2083-03-01,764.47,441.06,1206.65
2084-03-01,768.3,439.8,1212.7
2085-03-01,772.6,443.33,1224.56
