"SC_ID","pr"
1,1034
2,1107
3,1229
4,1230
5,1099
6,1344
7,1138
8,1282
9,1282
10,1282
11,1100
12,1001
13,912
14,974
15,968
16,1004
17,912
18,863
19,924
20,794
21,829
22,837
23,818
24,853
25,776
26,748
27,779
28,779
29,751
30,716
31,806
32,775
33,760
34,689
35,814
36,786
37,787
38,788
39,759
40,701
41,773
42,809
43,985
44,784
45,811
46,772
47,753
48,1057
49,1006
50,862
51,823
52,796
53,673
54,699
55,661
56,736
57,720
58,739
59,759
60,759
61,778
62,742
63,788
64,740
65,750
66,723
67,845
68,859
69,863
70,788
71,836
72,806
73,1064
74,1123
75,1621
76,780
77,814
78,1180
79,1171
80,1189
81,1046
82,1143
83,1203
84,1023
85,1160
86,867
87,861
88,898
89,799
90,805
91,771
92,782
93,782
94,755
95,849
96,823
97,780
98,771
99,1069
100,1181
101,1171
102,1154
103,1172
104,779
105,793
106,749
107,733
108,1000
109,906
110,1083
111,740
112,719
113,754
114,723
115,859
116,852
117,812
118,994
119,799
120,757
121,751
122,761
123,788
124,815
