"Date","median","lower_90ci","upper_90ci"
1994-06-01,337.17,172.01,578.78
1995-06-01,338.69,172.8,582.86
1996-06-01,337.81,173.88,579.36
1997-06-01,337.15,173.92,577.48
1998-06-01,339.16,172.76,579.55
1999-06-01,337.8,172.74,583.84
2000-06-01,338,172.41,579.47
2001-06-01,338.84,174.2,577.09
2002-06-01,339.28,171.69,575.58
2003-06-01,339.08,170.45,574.26
2004-06-01,336.07,169.19,573.08
2005-06-01,336.53,169.74,577.03
2006-06-01,337.44,171.61,578.32
2007-06-01,335.6,169.42,576.05
2008-06-01,335.26,169.01,576.3
2009-06-01,332.52,167.46,576.29
2010-06-01,333.51,167.87,575.85
2011-06-01,334.98,168.46,576.43
2012-06-01,335.78,169.56,574.18
2013-06-01,337.05,169.3,577.76
2014-06-01,338.21,169.1,577.63
2015-06-01,336.76,168.52,586.69
2016-06-01,336.09,168.49,584.33
2017-06-01,337,169.16,588.1
2018-06-01,336.05,168.3,585.93
2019-06-01,331.54,164.49,583.2
2020-06-01,331.12,165.04,581.92
2021-06-01,332.16,165.14,582.85
2022-06-01,331.26,165.08,583.91
2023-06-01,329.15,163.6,580.91
2024-06-01,326.4,161.82,574.61
2025-06-01,324.05,161.03,571.05
2026-06-01,322.32,156.66,570.81
2027-06-01,321.5,154.97,571.72
2028-06-01,319.93,156.41,570.14
2029-06-01,319.54,154.02,564.98
2030-06-01,315.77,151.46,564.67
2031-06-01,316.26,150.22,570.55
2032-06-01,314.66,150.23,567.92
2033-06-01,318.38,151.33,574.13
2034-06-01,318.54,150.22,575.75
2035-06-01,318.06,148.59,574.14
2036-06-01,318.44,148.08,577.77
2037-06-01,318.85,147.46,577.21
2038-06-01,321.87,150.52,579.6
2039-06-01,322.9,148.76,573.35
2040-06-01,324.72,150.08,578.74
2041-06-01,323.37,150.36,586.79
2042-06-01,324.52,150.59,589.79
2043-06-01,323.89,150.78,589.44
2044-06-01,321.65,149.56,591.9
2045-06-01,322.2,150.24,583.35
2046-06-01,323.25,150.14,585.37
2047-06-01,320.99,148.96,581.27
2048-06-01,322.25,148.09,583.83
2049-06-01,325.97,151.09,589.41
2050-06-01,326.15,149.31,590.76
2051-06-01,326.17,149.14,590.57
2052-06-01,327.73,148.79,593.44
2053-06-01,330.18,148.33,598.47
2054-06-01,330,149.47,597.82
2055-06-01,328.16,147.14,601.12
2056-06-01,330.67,148.21,605.55
2057-06-01,331.74,148.81,606.25
2058-06-01,331.28,144.98,607.21
2059-06-01,332.31,146.65,605.32
2060-06-01,333.75,146.36,602.22
2061-06-01,333.27,146.68,601.88
2062-06-01,332.36,145.58,601.35
2063-06-01,329.5,145.98,594.47
2064-06-01,327.58,146.52,592.31
2065-06-01,328.96,146.05,592.83
2066-06-01,327.37,143.81,589.73
2067-06-01,325.88,142.48,593.56
2068-06-01,323.48,137.56,591.5
2069-06-01,323.68,139.41,593.54
2070-06-01,322.9,138.47,593.03
2071-06-01,321.41,137.26,587.67
2072-06-01,321.95,135.59,593.1
2073-06-01,321.99,135.95,594
2074-06-01,322.68,136.84,591.67
2075-06-01,323.24,135.1,592.1
2076-06-01,320.88,132.81,592.91
2077-06-01,321.24,133.03,595.83
2078-06-01,319.41,134.41,591.88
2079-06-01,318.55,132.36,587.3
2080-06-01,316.56,131.87,586.73
2081-06-01,317.23,130.83,584.94
2082-06-01,316.56,131.09,580.03
2083-06-01,312.94,130.48,576.72
2084-06-01,313.87,128.52,584.64
2085-06-01,316.73,130.08,581.43
