"SC_ID","pr"
1,1077
2,1132
3,1266
4,1243
5,1128
6,1363
7,1161
8,1310
9,1310
10,1310
11,1120
12,1017
13,930
14,996
15,994
16,1034
17,930
18,887
19,946
20,816
21,854
22,862
23,838
24,890
25,814
26,779
27,802
28,802
29,768
30,753
31,821
32,810
33,793
34,727
35,844
36,814
37,814
38,819
39,788
40,735
41,806
42,844
43,1024
44,825
45,834
46,800
47,784
48,1100
49,1049
50,898
51,848
52,822
53,687
54,712
55,674
56,751
57,734
58,760
59,777
60,778
61,799
62,764
63,814
64,768
65,781
66,758
67,883
68,906
69,909
70,830
71,863
72,845
73,1099
74,1162
75,1661
76,798
77,840
78,1215
79,1206
80,1224
81,1080
82,1181
83,1233
84,1047
85,1188
86,894
87,889
88,929
89,817
90,822
91,791
92,801
93,808
94,787
95,892
96,867
97,801
98,812
99,1112
100,1215
101,1195
102,1199
103,1220
104,800
105,811
106,777
107,764
108,1040
109,944
110,1123
111,776
112,753
113,790
114,758
115,890
116,885
117,838
118,1031
119,817
120,799
121,789
122,800
123,830
124,863
