"SC_ID","pr"
1,43
2,25
3,37
4,13
5,29
6,19
7,23
8,28
9,28
10,28
11,20
12,16
13,18
14,22
15,26
16,30
17,18
18,24
19,22
20,22
21,25
22,25
23,20
24,37
25,38
26,31
27,23
28,23
29,17
30,37
31,15
32,35
33,33
34,38
35,30
36,28
37,27
38,31
39,29
40,34
41,33
42,35
43,39
44,41
45,23
46,28
47,31
48,43
49,43
50,36
51,25
52,26
53,14
54,13
55,13
56,15
57,14
58,21
59,18
60,19
61,21
62,22
63,26
64,28
65,31
66,35
67,38
68,47
69,46
70,42
71,27
72,39
73,35
74,39
75,40
76,18
77,26
78,35
79,35
80,35
81,34
82,38
83,30
84,24
85,28
86,27
87,28
88,31
89,18
90,17
91,20
92,19
93,26
94,32
95,43
96,44
97,21
98,41
99,43
100,34
101,24
102,45
103,48
104,21
105,18
106,28
107,31
108,40
109,38
110,40
111,36
112,34
113,36
114,35
115,31
116,33
117,26
118,37
119,18
120,42
121,38
122,39
123,42
124,48
