"SC_ID","value"
1,61
2,84
3,-3
4,15
5,-50
6,23
7,63
8,-37
9,85
10,90
11,-30
12,-53
13,64
14,57
15,10
16,-42
17,81
18,87
19,66
20,87
21,56
22,70
23,17
24,6
25,61
26,-24
27,70
28,84
29,26
30,65
31,58
32,-55
33,80
34,88
35,21
36,-30
37,32
38,38
39,-84
40,78
41,84
42,49
43,23
44,77
45,67
46,-84
47,44
48,33
49,7
50,-6
51,37
52,5
53,196
54,-68
55,36
56,13
57,22
58,-62
59,62
60,63
61,21
62,-23
63,4
64,-92
65,-68
66,60
67,182
68,3
69,65
70,5
71,-89
72,-61
73,70
74,46
75,-53
76,-25
77,35
78,-112
79,40
80,-49
81,61
82,-62
83,-70
84,-13
85,71
86,-56
87,-50
88,66
89,186
90,71
91,59
92,58
93,-87
94,86
95,63
96,-33
97,-65
98,-36
99,69
100,-3
101,-88
102,162
103,7
104,40
105,181
106,29
107,58
108,24
109,-30
110,84
111,-7
112,36
113,63
114,70
115,57
116,-2
117,65
118,-4
119,-8
120,-36
121,58
122,-58
123,-94
124,10
125,6
126,-104
127,4
128,18
129,64
130,-69
131,39
132,94
133,81
134,82
135,174
136,28
137,80
138,-20
139,159
140,68
141,-77
142,72
143,73
144,-1
145,143
146,-63
147,47
148,-8
149,223
150,158
151,41
152,0
153,-100
154,72
155,82
156,135
157,69
158,82
159,43
160,67
161,-98
162,70
163,65
164,202
165,-98
166,30
167,88
168,-25
169,-33
170,65
171,80
172,30
173,-18
174,74
175,69
176,-5
177,40
178,96
179,66
180,-74
181,-75
182,31
183,58
184,-69
185,110
186,75
187,42
188,9
189,63
190,2
191,31
192,72
193,49
194,24
195,-13
196,40
197,34
198,-82
199,52
200,-2
201,23
202,27
203,67
204,-62
205,-59
206,44
207,-42
208,39
209,-86
210,30
211,7
212,48
213,-6
214,1
215,-37
216,58
217,203
218,60
219,33
220,-45
221,68
222,34
223,-99
224,-33
225,-58
226,73
227,-58
228,87
229,169
230,72
231,-49
232,-1
233,179
234,80
235,102
236,-55
237,29
238,-77
239,-58
240,21
241,10
242,-47
243,48
244,-74
245,-12
246,-69
247,6
248,105
249,25
250,-44
251,79
252,-99
253,-67
254,45
255,-12
256,120
257,-5
258,17
259,30
260,24
261,62
262,117
263,73
264,27
265,96
266,86
267,42
268,-50
269,18
270,-50
271,50
272,172
273,83
274,45
275,97
276,-44
277,8
278,-62
279,27
280,-65
281,40
282,-72
283,101
284,69
285,110
286,-64
287,-66
288,39
289,-3
290,121
291,16
292,-53
293,-43
294,28
295,40
296,116
297,-84
298,38
299,-13
300,23
301,37
302,-16
303,-17
304,27
305,47
306,26
307,10
308,101
309,20
310,139
311,-77
312,-26
313,67
314,-60
315,-88
316,18
317,93
318,-46
319,155
320,21
321,-104
322,187
323,137
324,33
325,8
326,-41
327,134
328,34
329,-16
330,-4
331,-16
332,32
333,22
334,115
335,83
336,42
337,110
338,-34
339,22
340,-12
341,119
342,-47
343,27
344,137
345,15
346,-47
347,15
348,79
349,32
350,-54
351,-93
352,129
353,59
354,-94
355,50
356,-100
357,29
358,21
359,-50
360,50
361,23
362,-51
363,31
364,113
365,-6
366,31
367,-18
368,7
369,-36
370,41
371,-148
372,-11
373,127
374,39
375,-42
376,149
377,27
378,10
379,8
380,197
381,23
382,-44
383,25
384,-41
385,104
386,39
387,11
388,-82
389,23
390,-27
391,9
392,-37
393,20
394,35
395,20
396,151
397,104
398,198
399,21
400,6
401,-30
402,18
403,89
404,11
405,40
406,109
407,78
408,25
409,95
410,21
411,84
412,9
413,-110
414,-55
415,-54
416,21
417,9
418,51
419,5
420,19
421,69
422,20
423,28
424,76
425,25
426,-86
427,69
428,-81
429,4
430,57
431,200
432,14
433,-37
434,75
435,-5
436,26
437,-239
438,6
439,4
440,54
441,-63
442,26
443,-20
444,-15
445,160
446,10
447,-42
448,19
449,-121
450,14
451,-54
452,-63
453,14
454,-10
455,180
456,21
457,145
458,112
459,7
460,-38
461,8
462,-58
463,23
464,102
465,-50
466,25
467,-43
468,214
469,28
470,22
471,53
472,27
473,-62
474,-73
475,110
476,10
477,-44
478,12
479,-1
480,23
481,-111
482,94
483,43
484,9
485,87
486,-52
487,9
488,-200
489,-64
490,12
491,11
492,9
493,-67
494,-1
495,-12
496,78
497,35
498,18
499,-15
500,85
501,115
502,4
503,-52
504,26
505,5
506,208
507,-2
508,98
509,49
510,-3
511,17
512,4
513,-57
514,-3
515,-22
516,139
517,17
518,11
519,11
520,-55
521,0
522,96
523,89
524,5
525,1
526,14
527,-64
528,-57
529,11
530,157
531,200
532,3
533,-56
534,-41
535,1
536,-61
537,86
538,7
539,108
540,-1
541,99
542,-73
543,0
544,-4
545,98
546,42
547,6
548,6
549,-35
550,3
551,119
552,207
553,2
554,-62
555,104
556,53
557,0
558,12
559,5
560,-84
561,87
562,98
563,29
564,70
565,-57
566,25
567,-33
568,-53
569,30
570,13
571,44
572,41
573,7
574,101
575,12
576,7
577,133
