"SC_ID","value"
1,0
2,6
3,0
4,8
5,5
6,7
7,9
8,9
9,9
10,9
11,5
12,3
13,2
14,3
15,2
16,4
17,2
18,2
19,2
20,3
21,2
22,1
23,1
24,1
25,-1
26,1
27,3
28,3
29,1
30,0
31,2
32,-1
33,0
34,0
35,-1
36,-2
37,-1
38,-1
39,-2
40,-1
41,-2
42,-2
43,-2
44,-2
45,1
46,1
47,0
48,-2
49,-2
50,0
51,1
52,2
53,0
54,0
55,0
56,0
57,0
58,1
59,1
60,3
61,3
62,3
63,1
64,2
65,2
66,3
67,4
68,5
69,7
70,2
71,0
72,3
73,5
74,-1
75,0
76,2
77,3
78,1
79,2
80,0
81,4
82,2
83,8
84,4
85,6
86,1
87,2
88,2
89,2
90,2
91,2
92,3
93,1
94,1
95,5
96,4
97,3
98,3
99,-3
100,2
101,5
102,0
103,0
104,3
105,2
106,2
107,2
108,-1
109,-1
110,6
111,0
112,-1
113,-1
114,-1
115,3
116,2
117,0
118,3
119,2
120,1
121,2
122,2
123,2
124,1
