"SC_ID","value"
1,67
2,77
3,72
4,77
5,54
6,57
7,50
8,50
9,50
10,50
11,49
12,49
13,51
14,51
15,51
16,51
17,51
18,49
19,51
20,52
21,51
22,50
23,49
24,58
25,70
26,58
27,52
28,52
29,52
30,71
31,52
32,71
33,63
34,71
35,71
36,71
37,59
38,71
39,72
40,71
41,69
42,72
43,75
44,68
45,57
46,58
47,55
48,77
49,70
50,62
51,56
52,56
53,58
54,58
55,59
56,59
57,59
58,58
59,58
60,58
61,59
62,62
63,65
64,65
65,66
66,66
67,60
68,60
69,62
70,57
71,62
72,70
73,75
74,64
75,55
76,52
77,60
78,72
79,73
80,71
81,57
82,75
83,50
84,50
85,53
86,50
87,53
88,60
89,52
90,52
91,52
92,51
93,64
94,62
95,60
96,59
97,51
98,60
99,78
100,74
101,77
102,74
103,75
104,51
105,51
106,56
107,56
108,75
109,74
110,77
111,66
112,70
113,71
114,70
115,73
116,71
117,59
118,73
119,52
120,70
121,69
122,70
123,57
124,60
