"SC_ID","value"
1,0.245
2,0.248
3,0.215
4,0.226
5,0.181
6,0.156
7,0.158
8,0.143
9,0.143
10,0.143
11,0.164
12,0.179
13,0.205
14,0.192
15,0.194
16,0.187
17,0.205
18,0.208
19,0.203
20,0.243
21,0.229
22,0.22
23,0.218
24,0.26
25,0.345
26,0.293
27,0.251
28,0.251
29,0.256
30,0.376
31,0.241
32,0.34
33,0.309
34,0.388
35,0.318
36,0.33
37,0.274
38,0.332
39,0.353
40,0.388
41,0.342
42,0.353
43,0.311
44,0.354
45,0.275
46,0.299
47,0.306
48,0.301
49,0.29
50,0.302
51,0.293
52,0.303
53,0.314
54,0.31
55,0.326
56,0.314
57,0.316
58,0.312
59,0.294
60,0.312
61,0.306
62,0.354
63,0.319
64,0.355
65,0.355
66,0.369
67,0.279
68,0.274
69,0.281
70,0.294
71,0.281
72,0.357
73,0.271
74,0.236
75,0.137
76,0.25
77,0.269
78,0.223
79,0.228
80,0.218
81,0.201
82,0.241
83,0.152
84,0.179
85,0.167
86,0.214
87,0.23
88,0.283
89,0.246
90,0.243
91,0.252
92,0.245
93,0.317
94,0.33
95,0.276
96,0.282
97,0.245
98,0.317
99,0.301
100,0.229
101,0.238
102,0.236
103,0.237
104,0.248
105,0.244
106,0.283
107,0.289
108,0.302
109,0.329
110,0.272
111,0.355
112,0.365
113,0.348
114,0.361
115,0.327
116,0.326
117,0.282
118,0.299
119,0.246
120,0.385
121,0.379
122,0.38
123,0.294
124,0.312
