"Date","median","lower_90ci","upper_90ci"
1994-09-01,799.95,438.56,1261.56
1995-09-01,792.1,437.92,1256.23
1996-09-01,786.54,433.62,1249
1997-09-01,786.86,433.3,1250.8
1998-09-01,787.21,430.28,1247.99
1999-09-01,783.74,427.44,1234.3
2000-09-01,785.55,431.53,1231.75
2001-09-01,787.67,437.21,1233.13
2002-09-01,788.31,437.47,1235.27
2003-09-01,787.24,433.3,1237.36
2004-09-01,787.55,433.67,1246.41
2005-09-01,790.12,439.69,1245.81
2006-09-01,789.93,442.83,1242.96
2007-09-01,789.53,432.88,1249.2
2008-09-01,789.85,434.5,1249.01
2009-09-01,787.64,432.85,1252.42
2010-09-01,792.38,433.32,1251.98
2011-09-01,789.07,434.64,1245.57
2012-09-01,790.69,434.39,1249.73
2013-09-01,784.64,427.11,1250.7
2014-09-01,783.57,423.19,1254.01
2015-09-01,778.07,421.72,1245.57
2016-09-01,773.44,415.67,1246.92
2017-09-01,770.42,413.29,1239.29
2018-09-01,764.39,408.85,1233.8
2019-09-01,761.87,408.19,1230.57
2020-09-01,758.76,408.54,1226.89
2021-09-01,757.22,405.67,1216.21
2022-09-01,763.7,406.25,1220.21
2023-09-01,759.64,403.92,1221.16
2024-09-01,761.72,409.27,1214.98
2025-09-01,761.79,406.51,1215.67
2026-09-01,764.74,405.48,1226.91
2027-09-01,763.3,405.06,1227.19
2028-09-01,761.97,402.34,1218.34
2029-09-01,766.85,402.49,1227.99
2030-09-01,766.45,402.71,1224.12
2031-09-01,760.36,392.93,1212.89
2032-09-01,754.79,392.86,1207.47
2033-09-01,750.77,392.24,1205.24
2034-09-01,748.23,386.28,1195.28
2035-09-01,746.68,383.1,1199.5
2036-09-01,745.44,380.62,1199.91
2037-09-01,742.78,383.25,1198.41
2038-09-01,744.61,383.59,1206.81
2039-09-01,743.68,382.54,1205.43
2040-09-01,739.52,378.05,1194.21
2041-09-01,741.67,373.65,1199.61
2042-09-01,741.94,371.61,1195.43
2043-09-01,743,370.54,1188.32
2044-09-01,743.66,371.35,1180.43
2045-09-01,744.4,368.56,1188.55
2046-09-01,747.64,371.28,1183.84
2047-09-01,748.57,375.66,1183.04
2048-09-01,743.52,369.74,1178.2
2049-09-01,741.82,366.81,1173.37
2050-09-01,737,362.29,1172.8
2051-09-01,732.63,360.76,1180.29
2052-09-01,725.88,359.16,1178.12
2053-09-01,727.63,355.95,1172.08
2054-09-01,720.86,351.76,1169.77
2055-09-01,718.12,347.25,1163.88
2056-09-01,713.88,347.68,1156.37
2057-09-01,712.38,347.91,1153.32
2058-09-01,712.02,345.61,1160.35
2059-09-01,707.42,343.6,1158.74
2060-09-01,703.75,339.75,1163.02
2061-09-01,708.07,343.16,1174.5
2062-09-01,706.27,342.12,1172.19
2063-09-01,705.84,341.22,1170.67
2064-09-01,700.55,340.85,1171.81
2065-09-01,702.89,337.89,1169.67
2066-09-01,699.93,332.78,1168.91
2067-09-01,696.54,326.23,1161.15
2068-09-01,689.25,317.55,1156.01
2069-09-01,688.59,315.44,1158.22
2070-09-01,686.45,313.4,1166.08
2071-09-01,679.23,306.49,1158.01
2072-09-01,675.64,303.58,1153.31
2073-09-01,670.9,304.11,1164.38
2074-09-01,668.78,301.61,1162.93
2075-09-01,665.31,297.81,1162.2
2076-09-01,659.44,296.01,1168.36
2077-09-01,655.21,290.94,1164.8
2078-09-01,652.7,287.95,1163.89
2079-09-01,650.38,286.64,1166.16
2080-09-01,652.51,283.24,1157.55
2081-09-01,650.95,282.35,1152.49
2082-09-01,652.49,277.4,1146.14
2083-09-01,645.91,272.4,1150.54
2084-09-01,644.26,268.83,1145.73
2085-09-01,647.48,274.38,1148.84
