"Date","median","lower_90ci","upper_90ci"
1994-01-01,858.09,644.69,1087.36
1995-01-01,868.82,655.25,1101.98
1996-01-01,868.06,655.86,1102.69
1997-01-01,870.23,656.08,1106.26
1998-01-01,866.43,653.04,1103.76
1999-01-01,866.14,650.1,1106.25
2000-01-01,867.88,650.46,1111.15
2001-01-01,868.58,650.99,1112.71
2002-01-01,869.82,650.29,1117.45
2003-01-01,872.22,650.17,1120.21
2004-01-01,872.85,649.05,1119.39
2005-01-01,875.83,645.7,1121.89
2006-01-01,874.72,643.89,1123.32
2007-01-01,875.49,644.02,1123.24
2008-01-01,875.84,641.07,1123.66
2009-01-01,877.9,642.88,1122.89
2010-01-01,879.91,644.11,1124.35
2011-01-01,880.72,644.96,1124.5
2012-01-01,881.48,649.04,1123.79
2013-01-01,881.18,648.9,1127.57
2014-01-01,879.88,645.62,1125.28
2015-01-01,876.79,644.1,1127.01
2016-01-01,875.91,646.1,1127.05
2017-01-01,878.11,642.81,1127.01
2018-01-01,873.31,635.68,1121.45
2019-01-01,874.18,633.5,1131
2020-01-01,873.24,629.9,1132.51
2021-01-01,870.24,628.6,1133.06
2022-01-01,869.87,623.38,1134.73
2023-01-01,869.48,622.42,1131.83
2024-01-01,869.67,623.86,1133.63
2025-01-01,869.28,620.43,1132.61
2026-01-01,868.91,620.78,1132.75
2027-01-01,867.65,619.33,1125.76
2028-01-01,868.28,620.02,1125.25
2029-01-01,868.93,622.04,1127.32
2030-01-01,868.5,623.42,1124.81
2031-01-01,867.4,620.18,1122.77
2032-01-01,868.24,617.46,1121.69
2033-01-01,868.33,616.67,1125.26
2034-01-01,867.18,614.21,1125.22
2035-01-01,863.12,612.55,1123.85
2036-01-01,860.43,610.39,1123.01
2037-01-01,858.9,610.54,1123.03
2038-01-01,858.28,610.5,1123.43
2039-01-01,856.14,607.64,1122.19
2040-01-01,852,603.22,1119.24
2041-01-01,849.08,600.84,1116.64
2042-01-01,846.54,595.26,1114.9
2043-01-01,847.4,593.09,1115.74
2044-01-01,845.66,593.21,1115.99
2045-01-01,846.68,588.55,1116.95
2046-01-01,846.41,587.6,1115.8
2047-01-01,842,586.89,1114.9
2048-01-01,841.14,588.69,1120.52
2049-01-01,840.19,586.3,1115.69
2050-01-01,840.08,588.15,1115
2051-01-01,839.05,584.7,1118.56
2052-01-01,837.08,583.91,1115.25
2053-01-01,837.51,581.38,1118.21
2054-01-01,835.96,576.36,1115.32
2055-01-01,833.68,569.6,1113.72
2056-01-01,832.02,563.05,1111.87
2057-01-01,831.01,563.34,1113.47
2058-01-01,830.28,561.43,1112
2059-01-01,830.05,557.08,1107.52
2060-01-01,830.99,554.76,1110.4
2061-01-01,827.35,552.53,1109.49
2062-01-01,822.74,551.25,1108.23
2063-01-01,822.06,544.81,1108.67
2064-01-01,821.29,543.47,1104.42
2065-01-01,823.82,544.66,1104.28
2066-01-01,821.68,537.42,1099.88
2067-01-01,819.82,531.97,1105.3
2068-01-01,815.94,529.02,1105.62
2069-01-01,815.99,526.9,1110.88
2070-01-01,815.29,526.42,1113.42
2071-01-01,812.09,522.1,1110.14
2072-01-01,809.41,521.26,1107.37
2073-01-01,808.48,522.99,1104.42
2074-01-01,808.25,518.88,1104.68
2075-01-01,805.86,520.16,1105.51
2076-01-01,803.51,517.39,1105.75
2077-01-01,800.85,514.03,1106.27
2078-01-01,800.21,511.24,1103.79
2079-01-01,801.27,510.69,1105
2080-01-01,795.78,505.75,1097.28
2081-01-01,797.66,505.21,1092.36
2082-01-01,798,505.17,1092.63
2083-01-01,794.75,502.7,1090.11
2084-01-01,789.55,500.46,1093.52
2085-01-01,788.26,502.46,1097.84
2086-01-01,770.06,493.65,1076.83
