"SC_ID","value"
1,15
2,12
3,15
4,16
5,15
6,18
7,13
8,17
9,17
10,17
11,14
12,12
13,11
14,13
15,13
16,14
17,11
18,10
19,12
20,9
21,10
22,10
23,8
24,12
25,11
26,10
27,10
28,10
29,7
30,10
31,9
32,10
33,9
34,8
35,9
36,9
37,8
38,9
39,8
40,7
41,8
42,8
43,15
44,7
45,9
46,8
47,8
48,18
49,15
50,10
51,10
52,10
53,5
54,6
55,5
56,8
57,7
58,11
59,8
60,11
61,10
62,12
63,12
64,12
65,11
66,12
67,13
68,15
69,14
70,11
71,11
72,14
73,16
74,18
75,30
76,9
77,10
78,15
79,15
80,15
81,14
82,16
83,16
84,14
85,16
86,11
87,11
88,11
89,10
90,9
91,8
92,9
93,12
94,12
95,14
96,12
97,9
98,13
99,18
100,16
101,14
102,15
103,16
104,10
105,10
106,10
107,10
108,16
109,12
110,14
111,7
112,7
113,9
114,8
115,11
116,15
117,12
118,14
119,10
120,12
121,13
122,13
123,11
124,11
