"SC_ID","value"
1,8
2,5
3,8
4,5
5,3
6,3
7,2
8,2
9,2
10,2
11,2
12,2
13,2
14,2
15,3
16,4
17,2
18,3
19,2
20,3
21,3
22,2
23,2
24,6
25,8
26,7
27,3
28,3
29,3
30,9
31,4
32,10
33,8
34,9
35,9
36,10
37,6
38,10
39,9
40,9
41,9
42,9
43,9
44,8
45,4
46,4
47,4
48,8
49,5
50,5
51,3
52,3
53,3
54,4
55,4
56,4
57,5
58,3
59,3
60,4
61,3
62,2
63,5
64,5
65,4
66,7
67,6
68,7
69,7
70,7
71,6
72,7
73,7
74,6
75,10
76,3
77,3
78,6
79,6
80,7
81,4
82,6
83,3
84,3
85,3
86,3
87,4
88,4
89,3
90,4
91,3
92,3
93,5
94,7
95,6
96,7
97,3
98,7
99,7
100,7
101,5
102,7
103,7
104,3
105,3
106,6
107,7
108,9
109,9
110,7
111,7
112,9
113,10
114,9
115,6
116,7
117,6
118,5
119,3
120,7
121,7
122,7
123,7
124,7
