"SC_ID","rh"
1,347
2,371
3,406
4,410
5,361
6,435
7,373
8,417
9,417
10,417
11,362
12,330
13,302
14,322
15,321
16,333
17,302
18,285
19,305
20,266
21,276
22,279
23,273
24,291
25,276
26,260
27,260
28,260
29,250
30,256
31,264
32,270
33,264
34,246
35,282
36,273
37,269
38,274
39,264
40,249
41,272
42,281
43,335
44,272
45,273
46,263
47,256
48,358
49,341
50,293
51,277
52,269
53,229
54,238
55,226
56,248
57,243
58,250
59,256
60,255
61,262
62,255
63,268
64,256
65,262
66,255
67,289
68,296
69,297
70,272
71,284
72,282
73,359
74,372
75,528
76,258
77,270
78,391
79,388
80,394
81,347
82,380
83,393
84,338
85,379
86,288
87,287
88,300
89,263
90,265
91,257
92,259
93,266
94,263
95,292
96,284
97,260
98,269
99,361
100,392
101,390
102,384
103,390
104,259
105,262
106,258
107,253
108,340
109,311
110,365
111,258
112,253
113,264
114,254
115,296
116,297
117,277
118,337
119,263
120,267
121,265
122,268
123,272
124,284
