"SC_ID","value"
1,121
2,651
3,446
4,4
5,190
6,13
7,997
8,888
9,197
10,676
11,490
12,258
13,106
14,1053
15,561
16,216
17,190
18,902
19,531
20,155
21,594
22,537
23,237
24,1
25,1012
26,514
27,50
28,113
29,801
30,133
31,1129
32,459
33,250
34,135
35,502
36,433
37,25
38,1080
39,454
40,251
41,127
42,515
43,489
44,808
45,189
46,456
47,101
48,1224
49,436
50,202
51,71
52,983
53,890
54,270
55,104
56,538
57,416
58,156
59,159
60,645
61,471
62,881
63,0
64,519
65,474
66,80
67,552
68,618
69,118
70,552
71,450
72,278
73,196
74,1015
75,530
76,227
77,60
78,698
79,540
80,264
81,73
82,573
83,650
84,444
85,175
86,492
87,170
88,80
89,503
90,42
91,146
92,462
93,446
94,263
95,102
96,500
97,726
98,240
99,152
100,524
101,486
102,522
103,0
104,447
105,918
106,867
107,70
108,460
109,219
110,158
111,555
112,477
113,46
114,162
115,512
116,424
117,140
118,609
119,438
120,220
121,128
122,944
123,423
124,215
125,0
126,713
127,460
128,717
129,153
130,692
131,468
132,266
133,125
134,527
135,832
136,4
137,572
138,409
139,382
140,133
141,868
142,107
143,176
144,312
145,873
146,168
147,118
148,556
149,670
150,435
151,99
152,440
153,259
154,151
155,569
156,801
157,903
158,166
159,17
160,143
161,419
162,146
163,117
164,504
165,262
166,16
167,358
168,424
169,279
170,152
171,608
172,417
173,426
174,129
175,553
176,224
177,120
178,249
179,123
180,797
181,576
182,12
183,504
184,444
185,235
186,134
187,641
188,1025
189,122
190,457
191,34
192,458
193,101
194,470
195,193
196,108
197,461
198,439
199,90
200,444
201,452
202,5
203,583
204,545
205,134
206,131
207,707
208,748
209,889
210,3
211,559
212,71
213,432
214,421
215,316
216,78
217,718
218,55
219,74
220,555
221,123
222,5
223,637
224,549
225,126
226,167
227,872
228,519
229,557
230,118
231,915
232,423
233,603
234,132
235,391
236,428
237,33
238,642
239,276
240,2
241,448
242,228
243,58
244,817
245,462
246,309
247,0
248,352
249,465
250,246
251,115
252,626
253,818
254,133
255,441
256,394
257,432
258,4
259,589
260,1230
261,118
262,359
263,739
264,31
265,312
266,98
267,90
268,519
269,421
270,135
271,51
272,478
273,71
274,63
275,213
276,153
277,0
278,625
279,460
280,247
281,90
282,606
283,478
284,71
285,506
286,470
287,325
288,85
289,963
290,415
291,2
292,570
293,387
294,442
295,116
296,522
297,271
298,123
299,459
300,416
301,118
302,486
303,807
304,555
305,80
306,502
307,445
308,246
309,8
310,614
311,446
312,287
313,56
314,576
315,438
316,3
317,147
318,596
319,280
320,7
321,773
322,756
323,391
324,16
325,560
326,454
327,256
328,27
329,456
330,420
331,315
332,58
333,586
334,799
335,93
336,65
337,436
338,202
339,14
340,488
341,318
342,158
343,98
344,262
345,454
346,130
347,2
348,45
349,73
350,586
351,701
352,253
353,43
354,953
355,415
356,327
357,12
358,456
359,169
360,28
361,992
362,116
363,23
364,433
365,1015
366,9
367,500
368,465
369,228
370,12
371,589
372,478
373,442
374,31
375,465
376,238
377,122
378,538
379,427
380,1206
381,86
382,578
383,69
384,449
385,375
386,885
387,31
388,520
389,5
390,485
391,441
392,188
393,55
394,609
395,14
396,645
397,54
398,1151
399,68
400,438
401,213
402,7
403,112
404,1
405,538
406,707
407,199
408,130
409,67
410,452
411,156
412,0
413,764
414,451
415,93
416,14
417,428
418,568
419,0
420,422
421,68
422,41
423,343
424,13
425,35
426,576
427,215
428,589
429,0
430,424
431,707
432,2
433,475
434,204
435,1025
436,55
437,745
438,437
439,0
440,413
441,356
442,80
443,625
444,458
445,512
446,0
447,481
448,349
449,544
450,4
451,408
452,119
453,10
454,479
455,535
456,39
457,738
458,265
459,0
460,482
461,435
462,215
463,4
464,303
465,603
466,22
467,432
468,1173
469,46
470,774
471,94
472,19
473,557
474,368
475,310
476,28
477,529
478,1
479,455
480,16
481,590
482,640
483,852
484,0
485,272
486,161
487,14
488,664
489,137
490,5
491,553
492,431
493,415
494,5
495,480
496,640
497,4
498,25
499,479
500,47
501,290
502,0
503,104
504,25
505,424
506,1234
507,2
508,77
509,7
510,8
511,512
512,430
513,139
514,5
515,502
516,441
517,625
518,10
519,423
520,110
521,1
522,108
523,89
524,192
525,0
526,12
527,506
528,273
529,8
530,582
531,636
532,0
533,508
534,427
535,0
536,642
537,186
538,4
539,1080
540,0
541,314
542,669
543,0
544,584
545,476
546,813
547,2
548,474
549,442
550,0
551,393
552,777
553,0
554,575
555,15
556,975
557,1
558,467
559,433
560,128
561,120
562,434
563,61
564,720
565,144
566,97
567,593
568,351
569,10
570,514
571,317
572,133
573,600
574,415
575,591
576,0
577,331
578,0
579,349
580,151
581,0
582,489
583,382
584,631
585,82
586,609
587,415
588,231
589,75
590,567
591,739
592,463
593,3
594,543
595,402
596,14
597,125
598,537
599,581
600,669
601,8
602,832
603,571
604,327
605,4
606,395
607,369
608,81
609,125
610,66
611,180
612,647
613,387
614,425
615,183
616,522
617,405
618,51
619,115
620,184
621,116
622,464
623,100
624,468
625,125
626,160
627,13
628,555
629,332
630,388
631,0
632,547
633,549
634,186
635,439
636,1
637,481
638,368
639,120
640,462
641,395
642,278
643,149
644,570
645,2
646,164
647,74
648,491
649,455
650,481
651,128
652,448
653,221
654,0
655,298
656,337
657,55
658,531
659,146
660,581
661,421
662,595
663,0
664,525
665,310
666,423
667,145
668,606
669,731
670,49
671,250
672,442
673,536
674,121
675,586
676,589
677,559
678,165
679,545
680,429
681,66
682,0
683,560
684,289
685,0
686,572
687,0
688,483
689,51
690,382
691,39
692,808
693,222
694,42
695,481
696,283
697,171
698,8
699,568
700,576
701,771
702,0
703,640
704,362
705,274
706,37
707,0
708,494
709,222
710,109
711,486
712,525
713,268
714,176
715,514
716,605
717,0
718,571
719,690
720,70
721,259
722,0
723,569
724,349
725,205
726,0
727,481
728,137
729,577
730,128
731,723
732,94
733,688
734,355
735,290
736,0
737,348
738,322
739,0
740,471
741,573
742,291
743,0
744,431
745,423
746,431
747,45
748,423
749,346
750,122
751,588
752,223
753,733
754,0
755,502
756,559
757,410
758,0
759,830
760,220
761,57
762,521
763,206
764,263
765,92
766,507
767,377
768,10
769,392
770,509
771,0
772,479
773,415
774,45
775,86
776,531
777,173
778,291
779,11
780,444
781,517
782,938
783,35
784,371
785,120
786,91
787,517
788,296
789,48
790,454
791,549
792,618
793,13
794,586
795,916
796,21
797,425
798,497
799,2
800,435
801,744
802,123
803,486
804,28
805,547
806,400
807,566
808,2
809,739
810,386
811,0
812,143
813,192
814,438
815,441
816,0
817,521
818,690
819,51
820,868
821,364
822,750
823,235
824,233
825,280
826,167
827,179
828,432
829,178
830,1
831,554
832,9
833,214
834,140
835,506
836,410
837,391
838,84
839,559
840,138
841,104
842,398
843,0
844,512
845,172
