"SC_ID","value"
1,0.36
2,0.011
3,0.005
4,0.333
5,-0.198
6,0.3
7,0.026
8,0.022
9,0.368
10,0.001
11,-0.012
12,-0.119
13,0.293
14,0.023
15,0.02
16,-0.139
17,0.195
18,-0.004
19,0.021
20,0.22
21,0.002
22,0.031
23,-0.122
24,0
25,0.004
26,-0.043
27,0.389
28,0.361
29,-0.011
30,0.494
31,0.008
32,-0.04
33,0.142
34,0.311
35,-0.021
36,-0.083
37,0.25
38,0.001
39,-0.058
40,0.111
41,0.296
42,0.022
43,0.017
44,0.036
45,0.477
46,-0.062
47,0.278
48,-0.003
49,-0.016
50,-0.148
51,0.076
52,0
53,0.058
54,-0.118
55,0.368
56,-0.007
57,0.032
58,-0.232
59,0.282
60,0.022
61,0.013
62,0.009
63,NA
64,-0.044
65,-0.117
66,2.077
67,0.095
68,0.042
69,0.341
70,-0.018
71,-0.061
72,-0.112
73,0.441
74,0.004
75,-0.031
76,-0.195
77,0.176
78,-0.046
79,0.029
80,-0.129
81,0.46
82,-0.032
83,-0.03
84,-0.053
85,0.224
86,-0.066
87,-0.22
88,0.6
89,0.096
90,0.355
91,0.281
92,0.02
93,-0.065
94,0.105
95,0.325
96,-0.01
97,-0.036
98,-0.164
99,0.206
100,-0.009
101,-0.058
102,0.07
103,NA
104,-0.02
105,0.08
106,0.007
107,0.628
108,-0.015
109,-0.124
110,0.17
111,-0.004
112,0.002
113,0.278
114,0.227
115,0.022
116,-0.023
117,0.148
118,-0.003
119,0
120,-0.13
121,2.459
122,-0.014
123,-0.056
124,-0.126
125,NA
126,-0.039
127,0.009
128,0.001
129,0.125
130,-0.01
131,-0.004
132,0.108
133,0.276
134,0.015
135,0.045
136,0.333
137,0.05
138,-0.022
139,0.098
140,0.22
141,-0.027
142,0.151
143,0.239
144,0.023
145,0.071
146,-0.215
147,0.573
148,0.005
149,0.115
150,0.107
151,0.478
152,0.005
153,-0.134
154,0.208
155,0.042
156,0.072
157,0.027
158,0.248
159,0.214
160,0.3
161,-0.052
162,0.292
163,0.158
164,0.086
165,-0.135
166,0.455
167,0.082
168,-0.023
169,-0.103
170,0.143
171,0.045
172,-0.019
173,-0.092
174,0.518
175,0.041
176,-0.142
177,0.165
