"SC_ID","value"
1,335
2,2509
3,1421
4,20
5,336
6,52
7,3572
8,2913
9,569
10,2548
11,1291
12,626
13,332
14,3635
15,1824
16,411
17,521
18,3169
19,1698
20,490
21,2379
22,1749
23,450
24,6
25,3612
26,1236
27,143
28,398
29,2763
30,411
31,3920
32,1144
33,779
34,412
35,1771
36,1162
37,98
38,3861
39,1135
40,730
41,397
42,2101
43,1359
44,2492
45,531
46,1145
47,293
48,4301
49,1322
50,373
51,221
52,3319
53,3333
54,652
55,246
56,1819
57,1254
58,267
59,426
60,2526
61,1513
62,2519
63,0
64,1604
65,964
66,186
67,2137
68,1799
69,346
70,1984
71,1137
72,669
73,533
74,3819
75,1659
76,454
77,183
78,2217
79,1669
80,530
81,229
82,1938
83,1962
84,1120
85,530
86,1240
87,287
88,242
89,1943
90,133
91,437
92,1667
93,1114
94,795
95,296
96,1898
97,2034
98,431
99,453
100,1779
101,1431
102,1603
103,1
104,1643
105,3089
106,2191
107,241
108,1178
109,429
110,534
111,1842
112,1514
113,143
114,480
115,1795
116,1273
117,461
118,2067
119,1385
120,432
121,301
122,3378
123,1000
124,417
125,0
126,2187
127,1445
128,1900
129,547
130,2162
131,1308
132,790
133,374
134,1696
135,2870
136,21
137,1832
138,1002
139,1117
140,376
141,2863
142,266
143,498
144,1203
145,2909
146,288
147,331
148,1910
149,2538
150,1301
151,248
152,1231
153,439
154,439
155,1882
156,2626
157,2862
158,584
159,60
160,444
161,979
162,449
163,393
164,1945
165,455
166,62
167,1334
168,1053
169,570
170,502
171,1976
172,1262
173,1111
174,386
175,1839
176,440
177,346
178,732
179,428
180,2777
181,1699
182,51
183,1806
184,1015
185,693
186,405
187,2066
188,2817
189,433
190,1633
191,121
192,1416
193,323
194,1141
195,374
196,342
197,1664
198,1049
199,302
200,1588
201,1246
202,23
203,1941
204,1657
205,198
206,443
207,2538
208,2229
209,2636
210,17
211,1910
212,231
213,1579
214,1268
215,617
216,279
217,2756
218,161
219,215
220,1912
221,429
222,25
223,2028
224,1616
225,195
226,459
227,2968
228,1562
229,1798
230,417
231,3202
232,1227
233,2020
234,381
235,1448
236,971
237,103
238,2071
239,533
240,10
241,1220
242,449
243,223
244,2736
245,1366
246,613
247,0
248,1261
249,1178
250,450
251,345
252,1868
253,2420
254,447
255,1549
256,930
257,1090
258,13
259,1917
260,3386
261,381
262,893
263,2574
264,95
265,630
266,284
267,341
268,1815
269,1306
270,225
271,179
272,1725
273,219
274,211
275,624
276,295
277,0
278,2108
279,1132
280,515
281,372
282,2046
283,1468
284,246
285,1860
286,1115
287,694
288,295
289,3424
290,917
291,8
292,1941
293,836
294,1212
295,380
296,1599
297,542
298,364
299,1534
300,1180
301,378
302,1609
303,2501
304,1508
305,254
306,1677
307,1262
308,719
309,39
310,2243
311,1014
312,653
313,170
314,1981
315,1008
316,20
317,415
318,1764
319,871
320,25
321,2552
322,2793
323,1224
324,82
325,1738
326,1038
327,766
328,124
329,1529
330,1270
331,691
332,212
333,1758
334,2573
335,268
336,209
337,1318
338,485
339,48
340,1545
341,845
342,304
343,324
344,1020
345,1110
346,224
347,12
348,148
349,268
350,1959
351,2036
352,728
353,148
354,3228
355,1252
356,703
357,51
358,1079
359,319
360,102
361,3441
362,203
363,88
364,1284
365,3083
366,45
