"SC_ID","value"
1,9
2,58
3,33
4,0
5,-4
6,1
7,94
8,-20
9,13
10,68
11,3
12,-11
13,6
14,84
15,54
16,-3
17,7
18,92
19,46
20,15
21,97
22,60
23,-2
24,0
25,83
26,-6
27,3
28,18
29,91
30,22
31,69
32,-7
33,11
34,17
35,3
36,-2
37,1
38,84
39,-24
40,7
41,15
42,103
43,31
44,-5
45,15
46,-22
47,12
48,86
49,-4
50,0
51,4
52,74
53,79
54,-8
55,4
56,19
57,28
58,-2
59,9
60,98
61,39
62,-12
63,0
64,6
65,-35
66,3
67,84
68,-11
69,15
70,38
71,-26
72,-10
73,14
74,101
75,-1
76,-7
77,4
78,35
79,50
80,-9
81,7
82,30
83,13
84,-7
85,20
86,-5
87,-6
88,6
89,86
90,4
91,8
92,30
93,-24
94,6
95,8
96,80
97,-3
98,-5
99,15
100,17
101,5
102,0
103,0
104,14
105,60
106,-8
107,6
108,9
109,-1
110,19
111,15
112,44
113,2
114,19
115,30
116,-8
117,18
118,40
119,25
120,-1
121,24
122,72
123,-26
124,-1
125,0
126,13
127,41
128,-7
129,14
130,18
131,16
132,6
133,15
134,36
135,3
136,1
137,4
138,11
139,1
140,13
141,53
142,3
143,16
144,50
145,44
146,-3
147,10
148,16
149,100
150,5
151,5
152,0
153,-6
154,14
155,6
156,61
157,-18
158,25
159,0
160,21
161,-35
162,19
163,17
164,84
165,-7
166,2
167,50
168,11
169,-5
170,19
171,9
172,15
173,-9
174,9
175,4
176,-3
177,4
178,12
179,13
180,74
181,2
182,1
183,19
184,-28
185,21
186,8
187,-5
188,-23
189,18
190,17
191,3
192,39
193,11
194,3
195,0
196,5
197,16
198,-30
199,14
200,28
201,12
202,1
203,6
204,13
205,-5
206,0
207,97
208,17
209,-30
210,0
211,31
212,11
213,14
214,18
215,-3
216,14
217,99
218,3
219,9
220,40
221,21
222,1
223,34
224,0
225,-8
226,7
227,65
228,53
229,0
230,20
231,88
232,20
233,-2
234,14
235,63
236,-15
237,4
238,34
239,-2
240,0
241,17
242,-10
243,9
244,52
245,26
246,-8
247,0
248,66
249,4
250,-6
251,12
252,43
253,-15
254,1
255,1
256,35
257,-9
258,1
259,0
260,-28
261,21
262,34
263,-20
264,5
265,21
266,2
267,8
268,33
269,20
270,-6
271,10
272,58
273,2
274,6
275,39
276,-2
277,0
278,60
279,0
280,-2
281,10
282,55
283,48
284,13
285,63
286,8
287,-7
288,13
289,120
290,29
291,0
292,37
293,2
294,-5
295,14
296,50
297,-7
298,10
299,-9
300,19
301,12
302,-27
303,15
304,-7
305,19
306,-22
307,23
308,10
309,2
310,71
311,-28
312,3
313,13
314,54
315,-20
316,1
317,30
318,6
319,4
320,3
321,46
322,81
323,4
324,3
325,-1
326,-21
327,32
328,4
329,2
330,14
331,5
332,23
333,-6
334,38
335,8
336,12
337,40
338,0
339,3
340,-30
341,52
342,-4
343,8
344,69
345,5
346,-4
347,1
348,4
349,19
350,61
351,-11
352,18
353,8
354,66
355,23
356,-8
357,4
358,-5
359,-2
360,6
361,85
362,-5
363,4
364,37
365,-44
366,3
367,22
368,32
369,2
370,3
371,40
372,-7
373,0
374,5
375,-31
376,4
377,15
378,-22
379,22
380,-4
381,17
382,34
383,5
384,-20
385,18
386,-3
387,4
388,-13
389,2
390,-31
391,13
392,-1
393,11
394,-16
395,1
396,84
397,10
398,-2
399,6
400,11
401,0
402,1
403,30
404,0
405,-2
406,52
407,17
408,12
409,33
410,1
411,25
412,0
413,47
414,-16
415,-6
416,1
417,24
418,-4
419,0
420,24
421,5
422,14
423,15
424,1
425,5
426,57
427,11
428,-16
429,0
430,37
431,5
432,0
433,-9
434,11
435,-40
436,12
437,35
438,30
439,0
440,33
441,-5
442,13
443,-26
444,-6
445,8
446,0
447,-9
448,8
449,-24
450,0
451,-25
452,-5
453,1
454,-38
455,8
456,11
457,61
458,17
459,0
460,-6
461,9
462,2
463,0
464,28
465,-8
466,2
467,-10
468,7
469,7
470,7
471,4
472,3
473,65
474,-5
475,15
476,2
477,37
478,0
479,10
480,2
481,-14
482,53
483,-4
484,0
485,24
486,-1
487,1
488,41
489,-2
490,0
491,0
492,-13
493,-5
494,0
495,-48
496,51
497,1
498,2
499,-44
500,7
501,26
502,0
503,-4
504,4
505,31
506,11
507,0
508,25
509,2
510,0
511,2
512,16
513,-2
514,0
515,-7
516,44
517,5
518,1
519,23
520,-3
521,0
522,28
523,8
524,1
525,0
526,1
527,-10
528,0
529,1
530,56
531,12
532,0
533,-9
534,-3
535,0
536,13
537,13
538,0
539,-17
540,0
