"SC_ID","value"
1,7
2,-68
3,-152
4,1
5,-19
6,1
7,-134
8,-131
9,7
10,-96
11,-131
12,-46
13,8
14,-134
15,-200
16,-60
17,5
18,-145
19,-162
20,10
21,-74
22,-177
23,-52
24,0
25,-111
26,-98
27,3
28,11
29,-149
30,14
31,-137
32,-85
33,17
34,9
35,-186
36,-105
37,1
38,-112
39,-125
40,10
41,9
42,-36
43,-101
44,-43
45,7
46,-128
47,7
48,-141
49,-140
50,-33
51,3
52,-153
53,12
54,-58
55,3
56,-218
57,-72
58,-24
59,10
60,-38
61,-121
62,-128
63,0
64,-169
65,-32
66,5
67,38
68,-60
69,10
70,-161
71,-119
72,-54
73,7
74,-72
75,-151
76,-16
77,3
78,-172
79,-205
80,-29
81,5
82,-160
83,-184
84,-61
85,15
86,-85
87,-17
88,6
89,41
90,5
91,11
92,-172
93,-110
94,12
95,6
96,-106
97,-165
98,-18
99,10
100,-173
101,-169
102,-5
103,0
104,-129
105,-41
106,-112
107,8
108,-129
109,-49
110,16
111,-183
112,-117
113,3
114,14
115,-131
116,-133
117,13
118,-196
119,-121
120,-40
121,13
122,-154
123,-117
124,-33
125,0
126,-163
127,-120
128,-180
129,14
130,-169
131,-113
132,14
133,8
134,-136
135,-42
136,1
137,-193
138,-82
139,8
140,7
141,-193
142,4
143,9
144,-72
145,-46
146,-25
147,6
148,-138
149,55
150,7
151,3
152,-153
153,-57
154,9
155,-171
156,-43
157,-152
158,22
159,2
160,13
161,-117
162,9
163,12
164,42
165,-58
166,2
167,-33
168,-87
169,-36
170,15
171,-169
172,-105
173,-120
174,11
175,-166
176,-28
177,3
178,18
179,11
180,-156
181,-198
182,1
183,-143
184,-128
185,21
186,10
187,-208
188,-207
189,15
190,-116
191,3
192,-107
193,9
194,-149
195,-28
196,4
197,-120
198,-129
199,9
200,-134
201,-68
202,1
203,-178
204,-164
205,-19
206,7
207,-128
208,-126
209,-209
210,0
211,-186
212,8
213,-133
214,-109
215,-35
216,10
217,-6
218,5
219,6
220,-174
221,13
222,1
223,-202
224,-198
225,-18
226,10
227,-175
228,-187
229,-2
230,12
231,-157
232,-116
233,-7
234,7
235,-12
236,-118
237,2
238,-175
239,-69
240,0
241,-79
242,-22
243,7
244,-196
245,-173
246,-54
247,0
248,-7
249,-153
250,-24
251,7
252,-203
253,-176
254,7
255,-154
256,23
257,-115
258,1
259,-179
260,-207
261,12
262,25
263,-115
264,4
265,11
266,9
267,6
268,-168
269,-110
270,-23
271,6
272,36
273,8
274,5
275,3
276,-39
277,0
278,-177
279,-152
280,-64
281,9
282,-195
283,-143
284,8
285,-13
286,-85
287,-55
288,9
289,-160
290,19
291,0
292,-160
293,-84
294,-123
295,10
296,-168
297,-32
298,6
299,-171
300,-80
301,10
302,-183
303,-121
304,-143
305,11
306,-162
307,-124
308,18
309,1
310,-13
311,-137
312,-85
313,8
314,-178
315,-120
316,0
317,9
318,-203
319,20
320,2
321,-203
322,5
323,-3
324,2
325,-165
326,-148
327,24
328,3
329,-158
330,-125
331,-80
332,10
333,-191
334,-81
335,10
336,8
337,-93
338,-57
339,2
340,-199
341,41
342,-25
343,6
344,-3
345,-154
346,-24
347,1
348,5
349,8
350,-195
351,-175
352,26
353,5
354,-199
355,-105
356,-48
357,3
358,-159
359,-42
360,3
361,-143
362,-12
363,4
364,-90
365,-139
366,2
367,-173
368,-118
369,-59
370,3
371,-204
372,-76
373,-3
374,3
375,-192
376,21
377,15
378,-193
379,-131
380,-31
381,10
382,-144
383,6
384,-193
385,16
386,-91
387,3
388,-91
389,1
390,-200
391,-81
392,-37
393,7
394,-178
395,1
396,-12
397,7
398,-34
399,5
400,-87
401,-59
402,1
403,7
404,0
405,-152
406,-23
407,23
408,9
409,8
410,-155
411,22
412,0
413,-218
414,-84
415,-9
416,2
417,-141
418,-89
419,0
420,-110
421,7
422,8
423,-48
424,3
425,5
426,-188
427,7
428,-123
429,0
430,-117
431,7
432,0
433,-203
434,5
435,-135
436,9
437,-207
438,-108
439,0
440,-104
441,-65
442,11
443,-173
444,-154
445,7
446,0
447,-203
448,-57
449,-117
450,0
451,-96
452,-31
453,0
454,-203
455,19
456,7
457,-13
458,24
459,0
460,-197
461,-87
462,-46
463,1
464,33
465,-102
466,2
467,-160
468,-43
469,5
470,-162
471,4
472,4
473,-179
474,-75
475,24
476,2
477,-147
478,0
479,-166
480,2
481,-163
482,-16
483,-84
484,0
485,26
486,-40
487,1
488,-206
489,-45
490,1
491,-163
492,-164
493,-110
494,0
495,-196
496,-35
497,1
498,2
499,-212
500,4
501,29
502,0
503,-23
504,4
505,-124
506,-25
507,0
508,7
509,2
510,0
511,-151
512,-95
513,-20
514,1
515,-159
516,-16
517,-75
518,0
519,-138
520,-21
521,0
522,9
523,4
524,-35
525,0
526,1
527,-129
528,-77
529,1
530,-10
531,1
532,0
533,-130
534,-150
535,0
536,-193
537,18
538,0
539,-108
540,0
541,28
542,-147
543,0
544,-157
545,-22
546,-94
547,0
548,-202
549,-140
550,0
551,20
552,4
553,0
554,-194
555,1
556,-120
557,0
558,-170
559,-153
560,-32
561,12
562,-123
563,11
564,-155
565,-32
566,13
567,-165
568,-85
569,2
570,-162
571,-36
572,7
573,-192
574,-104
575,-114
576,0
577,23
578,0
579,-82
580,-28
581,0
582,-121
583,-95
584,-125
585,8
586,-165
587,-106
588,-39
589,8
590,-177
591,-88
592,21
593,0
594,-170
595,-118
596,2
597,10
598,-159
599,-174
600,-138
601,1
602,-132
603,-27
604,25
605,1
606,-77
607,-112
608,5
609,3
610,4
611,24
612,-182
613,19
614,-83
615,5
616,-13
617,-116
618,4
619,4
620,26
621,16
622,-154
623,8
624,-169
625,11
626,11
627,2
628,-147
629,19
630,20
631,0
632,-100
633,-161
634,14
635,-116
636,0
637,-208
638,-66
639,10
640,-148
641,-85
642,42
643,11
644,-147
645,0
646,-38
647,6
648,-203
649,-119
650,-103
651,11
652,-106
653,-46
654,0
655,13
656,-72
657,10
658,-112
659,9
660,-148
661,-150
662,-34
663,0
664,-155
665,15
666,-74
667,17
668,-41
669,-149
670,6
671,10
672,-118
673,-83
674,12
675,-155
676,-49
677,18
678,16
679,16
680,-100
681,4
682,0
683,-150
684,-50
685,0
686,-184
687,1
688,-157
689,1
690,19
691,4
692,-35
693,42
694,5
695,-98
696,13
697,29
698,0
699,-167
700,-103
701,-162
702,0
703,-194
704,-101
705,-43
706,6
707,0
708,-136
709,-52
710,11
711,-200
712,-32
713,-49
714,18
715,-113
716,-35
717,0
718,-169
719,-150
720,10
721,-66
722,0
723,-171
724,-115
725,34
726,0
727,-148
728,8
729,-176
730,0
731,-155
732,6
733,28
734,-110
735,-65
736,0
737,-76
738,-61
739,0
740,-102
741,-87
742,-75
743,0
744,-78
745,-98
746,-84
747,6
748,-121
749,-90
750,7
751,-198
752,12
753,-152
754,0
755,-124
756,-63
757,-81
758,0
759,-171
760,31
761,6
762,-110
763,1
764,33
765,7
766,-156
767,-70
768,1
769,-112
770,-33
771,0
772,-201
773,-145
774,5
775,8
776,-115
777,2
778,31
779,1
780,-165
781,-137
782,-165
783,4
784,-24
785,14
786,8
787,-138
788,20
789,5
790,-176
791,-14
792,-108
793,3
794,-42
795,-166
796,4
797,-98
798,-47
799,0
800,-88
801,-132
802,8
803,-192
804,4
805,-137
806,-129
807,-64
808,0
809,-195
810,-81
811,0
812,32
813,16
814,-107
815,-75
816,0
817,-181
818,-173
819,8
820,33
821,-89
822,-142
823,29
824,22
825,9
826,33
827,16
828,-154
829,26
830,0
831,-183
832,1
833,35
834,22
835,-102
836,-10
837,-67
838,8
839,-154
840,31
841,9
842,-118
843,0
844,-139
845,18
846,8
847,-134
848,-30
849,11
850,-146
851,-155
852,3
853,-95
854,-92
855,-118
856,0
857,-141
858,-42
859,3
860,-103
861,-53
862,-168
863,0
864,-114
865,-39
866,-120
867,4
868,-202
869,-107
