"SC_ID","value"
1,0.292
2,0.217
3,0.201
4,0.207
5,0.208
6,0.178
7,0.191
8,0.179
9,0.179
10,0.179
11,0.187
12,0.197
13,0.211
14,0.201
15,0.205
16,0.213
17,0.211
18,0.221
19,0.203
20,0.224
21,0.22
22,0.217
23,0.227
24,0.414
25,0.495
26,0.471
27,0.232
28,0.232
29,0.226
30,0.465
31,0.225
32,0.364
33,0.389
34,0.479
35,0.333
36,0.357
37,0.325
38,0.357
39,0.38
40,0.475
41,0.472
42,0.443
43,0.393
44,0.434
45,0.297
46,0.319
47,0.315
48,0.368
49,0.336
50,0.331
51,0.298
52,0.31
53,0.29
54,0.294
55,0.305
56,0.306
57,0.312
58,0.327
59,0.292
60,0.315
61,0.301
62,0.358
63,0.325
64,0.349
65,0.333
66,0.356
67,0.299
68,0.315
69,0.305
70,0.342
71,0.309
72,0.342
73,0.263
74,0.256
75,0.202
76,0.222
77,0.264
78,0.205
79,0.205
80,0.199
81,0.227
82,0.216
83,0.193
84,0.2
85,0.203
86,0.215
87,0.229
88,0.287
89,0.22
90,0.227
91,0.224
92,0.224
93,0.336
94,0.339
95,0.299
96,0.333
97,0.228
98,0.345
99,0.356
100,0.208
101,0.205
102,0.22
103,0.217
104,0.232
105,0.224
106,0.415
107,0.441
108,0.397
109,0.413
110,0.266
111,0.417
112,0.422
113,0.387
114,0.412
115,0.328
116,0.331
117,0.317
118,0.282
119,0.22
120,0.345
121,0.355
122,0.348
123,0.342
124,0.331
