"SC_ID","value"
1,0.042
2,0.023
3,0.03
4,0.011
5,0.026
6,0.014
7,0.02
8,0.022
9,0.022
10,0.022
11,0.018
12,0.016
13,0.02
14,0.023
15,0.027
16,0.03
17,0.02
18,0.028
19,0.024
20,0.028
21,0.03
22,0.03
23,0.024
24,0.043
25,0.049
26,0.041
27,0.03
28,0.03
29,0.023
30,0.052
31,0.019
32,0.045
33,0.043
34,0.055
35,0.037
36,0.036
37,0.034
38,0.039
39,0.038
40,0.049
41,0.043
42,0.043
43,0.04
44,0.052
45,0.028
46,0.036
47,0.041
48,0.041
49,0.043
50,0.042
51,0.03
52,0.033
53,0.021
54,0.019
55,0.02
56,0.02
57,0.019
58,0.028
59,0.024
60,0.025
61,0.027
62,0.03
63,0.033
64,0.038
65,0.041
66,0.048
67,0.045
68,0.055
69,0.053
70,0.053
71,0.032
72,0.048
73,0.033
74,0.035
75,0.025
76,0.023
77,0.032
78,0.03
79,0.03
80,0.029
81,0.033
82,0.033
83,0.025
84,0.023
85,0.024
86,0.031
87,0.033
88,0.035
89,0.023
90,0.021
91,0.026
92,0.024
93,0.033
94,0.042
95,0.051
96,0.053
97,0.027
98,0.053
99,0.04
100,0.029
101,0.02
102,0.039
103,0.041
104,0.027
105,0.023
106,0.037
107,0.042
108,0.04
109,0.042
110,0.037
111,0.049
112,0.047
113,0.048
114,0.048
115,0.036
116,0.039
117,0.032
118,0.037
119,0.023
120,0.055
121,0.051
122,0.051
123,0.053
124,0.059
