"SC_ID","value"
1,0
2,2
3,-3
4,3
5,0
6,-1
7,1
8,0
9,0
10,0
11,2
12,2
13,1
14,1
15,0
16,1
17,1
18,1
19,1
20,0
21,0
22,0
23,1
24,0
25,0
26,0
27,0
28,0
29,-1
30,0
31,0
32,-1
33,-1
34,0
35,-1
36,-2
37,-1
38,-1
39,-2
40,-1
41,-2
42,-2
43,-4
44,-1
45,-1
46,0
47,0
48,-3
49,0
50,1
51,1
52,1
53,0
54,0
55,0
56,-1
57,0
58,0
59,0
60,2
61,1
62,1
63,0
64,1
65,0
66,1
67,3
68,3
69,3
70,-1
71,0
72,1
73,2
74,1
75,3
76,0
77,2
78,-2
79,0
80,-3
81,1
82,2
83,1
84,1
85,0
86,0
87,0
88,2
89,0
90,-1
91,-1
92,0
93,1
94,1
95,3
96,1
97,-1
98,2
99,-3
100,2
101,2
102,-2
103,-2
104,0
105,0
106,0
107,1
108,-4
109,-4
110,2
111,0
112,-1
113,-1
114,-1
115,1
116,-1
117,0
118,1
119,0
120,-1
121,-1
122,0
123,-1
124,1
