"SC_ID","value"
1,283
2,315
3,345
4,344
5,306
6,371
7,317
8,350
9,350
10,350
11,302
12,277
13,255
14,272
15,271
16,281
17,255
18,244
19,259
20,222
21,231
22,235
23,232
24,233
25,211
26,203
27,215
28,215
29,208
30,194
31,218
32,206
33,202
34,186
35,223
36,213
37,216
38,212
39,203
40,185
41,203
42,204
43,244
44,193
45,213
46,198
47,186
48,262
49,249
50,208
51,198
52,192
53,185
54,186
55,181
56,187
57,185
58,187
59,198
60,189
61,198
62,183
63,207
64,190
65,194
66,187
67,219
68,220
69,223
70,197
71,223
72,203
73,286
74,283
75,412
76,213
77,221
78,329
79,326
80,332
81,292
82,318
83,331
84,284
85,322
86,243
87,240
88,220
89,215
90,217
91,212
92,213
93,204
94,192
95,220
96,210
97,214
98,194
99,266
100,328
101,327
102,324
103,330
104,212
105,214
106,199
107,197
108,252
109,227
110,294
111,187
112,191
113,200
114,192
115,229
116,225
117,213
118,257
119,215
120,188
121,189
122,191
123,197
124,199
