"SC_ID","value"
1,10
2,4
3,10
4,4
5,7
6,5
7,1
8,1
9,1
10,1
11,3
12,4
13,6
14,7
15,8
16,8
17,6
18,8
19,8
20,8
21,8
22,8
23,7
24,10
25,8
26,5
27,8
28,8
29,5
30,5
31,2
32,-3
33,-2
34,3
35,0
36,-2
37,1
38,-2
39,-1
40,2
41,1
42,0
43,3
44,1
45,6
46,4
47,6
48,6
49,8
50,3
51,7
52,7
53,0
54,-1
55,0
56,-1
57,-2
58,1
59,1
60,3
61,5
62,8
63,3
64,7
65,8
66,8
67,4
68,1
69,2
70,3
71,2
72,7
73,9
74,12
75,10
76,5
77,-2
78,6
79,6
80,7
81,8
82,7
83,3
84,5
85,5
86,9
87,10
88,8
89,4
90,3
91,6
92,5
93,2
94,4
95,3
96,1
97,6
98,5
99,7
100,5
101,3
102,11
103,13
104,6
105,5
106,1
107,3
108,4
109,2
110,11
111,1
112,-1
113,-4
114,-2
115,6
116,7
117,4
118,13
119,4
120,6
121,7
122,7
123,3
124,7
