"SC_ID","value"
1,256
2,250
3,304
4,276
5,257
6,298
7,244
8,285
9,285
10,285
11,243
12,220
13,205
14,226
15,228
16,239
17,205
18,194
19,214
20,172
21,186
22,186
23,176
24,208
25,190
26,178
27,174
28,174
29,146
30,165
31,164
32,168
33,165
34,162
35,169
36,168
37,169
38,168
39,167
40,165
41,184
42,192
43,246
44,192
45,186
46,183
47,190
48,268
49,257
50,218
51,208
52,202
53,120
54,135
55,119
56,157
57,150
58,168
59,164
60,181
61,182
62,184
63,174
64,169
65,176
66,164
67,176
68,182
69,181
70,168
71,174
72,179
73,236
74,280
75,374
76,160
77,167
78,285
79,280
80,290
81,249
82,273
83,273
84,238
85,267
86,201
87,205
88,230
89,169
90,166
91,158
92,164
93,173
94,164
95,177
96,168
97,169
98,164
99,273
100,276
101,265
102,292
103,299
104,172
105,171
106,167
107,167
108,247
109,221
110,247
111,176
112,164
113,166
114,164
115,198
116,196
117,172
118,242
119,169
120,166
121,168
122,169
123,168
124,174
