"SC_ID","value"
1,4
2,4
3,2
4,7
5,7
6,6
7,9
8,10
9,10
10,10
11,8
12,8
13,7
14,7
15,7
16,7
17,7
18,9
19,8
20,8
21,7
22,7
23,8
24,4
25,5
26,5
27,9
28,9
29,6
30,5
31,7
32,5
33,5
34,4
35,5
36,4
37,8
38,4
39,3
40,3
41,3
42,1
43,6
44,5
45,8
46,8
47,11
48,9
49,10
50,9
51,11
52,11
53,7
54,9
55,9
56,9
57,11
58,10
59,9
60,8
61,9
62,11
63,13
64,10
65,10
66,11
67,14
68,16
69,16
70,15
71,12
72,10
73,12
74,8
75,9
76,6
77,12
78,3
79,4
80,3
81,7
82,5
83,9
84,7
85,7
86,7
87,7
88,12
89,8
90,6
91,6
92,6
93,13
94,14
95,15
96,15
97,7
98,13
99,10
100,5
101,5
102,4
103,4
104,8
105,8
106,5
107,5
108,6
109,3
110,13
111,5
112,3
113,4
114,4
115,11
116,10
117,13
118,14
119,8
120,11
121,11
122,10
123,15
124,12
