"SC_ID","value"
1,0
2,0.158
3,0
4,0.163
5,0.1
6,0.117
7,0.22
8,0.164
9,0.164
10,0.164
11,0.114
12,0.079
13,0.057
14,0.071
15,0.047
16,0.089
17,0.057
18,0.065
19,0.051
20,0.103
21,0.061
22,0.031
23,0.038
24,0.026
25,-0.028
26,0.029
27,0.091
28,0.091
29,0.043
30,0
31,0.067
32,-0.03
33,0
34,0
35,-0.031
36,-0.067
37,-0.037
38,-0.031
39,-0.074
40,-0.043
41,-0.071
42,-0.069
43,-0.038
44,-0.077
45,0.034
46,0.037
47,0
48,-0.032
49,-0.04
50,0
51,0.031
52,0.062
53,0
54,0
55,0
56,0
57,0
58,0.029
59,0.036
60,0.088
61,0.097
62,0.079
63,0.026
64,0.053
65,0.054
66,0.079
67,0.098
68,0.104
69,0.156
70,0.053
71,0
72,0.064
73,0.096
74,-0.017
75,0
76,0.069
77,0.1
78,0.02
79,0.041
80,0
81,0.085
82,0.04
83,0.154
84,0.089
85,0.115
86,0.028
87,0.053
88,0.059
89,0.061
90,0.062
91,0.074
92,0.1
93,0.026
94,0.026
95,0.116
96,0.103
97,0.094
98,0.073
99,-0.048
100,0.04
101,0.111
102,0
103,0
104,0.088
105,0.059
106,0.059
107,0.059
108,-0.018
109,-0.023
110,0.13
111,0
112,-0.04
113,-0.032
114,-0.037
115,0.081
116,0.039
117,0
118,0.067
119,0.061
120,0.024
121,0.047
122,0.047
123,0.053
124,0.028
