"SC_ID","value"
1,0.158
2,0.148
3,0.149
4,0.129
5,0.12
6,0.107
7,0.104
8,0.097
9,0.097
10,0.097
11,0.097
12,0.099
13,0.108
14,0.106
15,0.11
16,0.114
17,0.108
18,0.119
19,0.112
20,0.15
21,0.139
22,0.132
23,0.129
24,0.161
25,0.192
26,0.157
27,0.159
28,0.159
29,0.153
30,0.201
31,0.134
32,0.158
33,0.162
34,0.197
35,0.148
36,0.153
37,0.13
38,0.154
39,0.172
40,0.191
41,0.163
42,0.172
43,0.141
44,0.172
45,0.15
46,0.149
47,0.172
48,0.137
49,0.129
50,0.137
51,0.147
52,0.162
53,0.162
54,0.155
55,0.16
56,0.144
57,0.144
58,0.156
59,0.152
60,0.151
61,0.161
62,0.177
63,0.147
64,0.158
65,0.161
66,0.168
67,0.121
68,0.132
69,0.127
70,0.144
71,0.122
72,0.153
73,0.13
74,0.114
75,0.085
76,0.144
77,0.117
78,0.142
79,0.141
80,0.148
81,0.134
82,0.145
83,0.104
84,0.104
85,0.114
86,0.128
87,0.139
88,0.142
89,0.142
90,0.136
91,0.155
92,0.144
93,0.149
94,0.16
95,0.124
96,0.139
97,0.149
98,0.159
99,0.139
100,0.136
101,0.139
102,0.153
103,0.155
104,0.15
105,0.144
106,0.141
107,0.149
108,0.137
109,0.156
110,0.124
111,0.167
112,0.177
113,0.157
114,0.17
115,0.148
116,0.156
117,0.144
118,0.135
119,0.142
120,0.165
121,0.165
122,0.163
123,0.144
124,0.146
