"SC_ID","value"
1,519
2,567
3,591
4,621
5,545
6,666
7,591
8,647
9,647
10,647
11,566
12,520
13,473
14,492
15,487
16,502
17,473
18,452
19,471
20,431
21,436
22,443
23,441
24,451
25,426
26,410
27,416
28,416
29,427
30,404
31,443
32,435
33,430
34,392
35,459
36,443
37,441
38,443
39,431
40,405
41,442
42,462
43,530
44,450
45,451
46,436
47,426
48,559
49,535
50,475
51,460
52,445
53,411
54,419
55,406
56,427
57,423
58,415
59,433
60,419
61,435
62,412
63,446
64,419
65,429
66,419
67,490
68,491
69,495
70,473
71,477
72,462
73,583
74,580
75,816
76,431
77,459
78,578
79,578
80,578
81,521
82,568
83,604
84,514
85,574
86,447
87,441
88,491
89,435
90,441
91,429
92,429
93,443
94,445
95,492
96,491
97,422
98,458
99,566
100,589
101,593
102,558
103,564
104,417
105,429
106,421
107,409
108,533
109,498
110,589
111,428
112,410
113,423
114,408
115,481
116,468
117,471
118,541
119,435
120,449
121,437
122,444
123,473
124,498
