"Date","median","lower_90ci","upper_90ci"
1995-01-01,555.08,549.8,560.28
1996-01-01,553.14,547.33,559.64
1997-01-01,553.44,549.36,559.54
1998-01-01,555.85,551.93,563.13
1999-01-01,556.13,550.08,563.32
2000-01-01,554.76,548.39,564.83
2001-01-01,551.7,549.2,563.5
2002-01-01,551.25,544.61,566.05
2003-01-01,553.26,544.46,567.43
2004-01-01,557.04,543.95,566.4
2005-01-01,557.82,544.67,565.95
2006-01-01,558.66,544.78,562.34
2007-01-01,556.5,543.25,563.27
2008-01-01,555.22,542.55,564.95
2009-01-01,556.02,546.02,562.38
2010-01-01,557.19,548.41,562.82
2011-01-01,557.17,547.98,562.95
2012-01-01,559.21,544.82,566.22
2013-01-01,556.01,547.99,570.39
2014-01-01,558.95,548.41,570.28
2015-01-01,559.11,551.29,568.05
2016-01-01,562.37,547.98,570.06
2017-01-01,566.25,548.83,571.72
2018-01-01,565.29,546.61,572.02
2019-01-01,567.3,548.51,577.25
2020-01-01,567.88,551.18,577.88
2021-01-01,567.03,553.69,578.68
2022-01-01,567.37,553.93,582.22
2023-01-01,565.53,552.38,581.44
2024-01-01,565.4,548.81,580.03
2025-01-01,566.56,550.67,579.31
2026-01-01,567.61,554.58,579.61
2027-01-01,569.6,553.74,583.03
2028-01-01,570.75,549.21,580.67
2029-01-01,572.21,549.25,584.78
2030-01-01,573.07,551.74,586.08
2031-01-01,576.29,554.02,589.61
2032-01-01,578.21,552.28,591.55
2033-01-01,577.87,552.92,593.95
2034-01-01,574.23,549.04,596.19
2035-01-01,576.45,548.16,594.3
2036-01-01,578.93,550.49,596.36
2037-01-01,580.15,548.82,601.34
2038-01-01,579.86,551.29,601.24
2039-01-01,581.48,552.15,603.53
2040-01-01,584.68,551.85,602.54
2041-01-01,583.5,556.46,605.4
2042-01-01,587.05,552.73,605.15
2043-01-01,587.2,549.16,607.6
2044-01-01,590.83,551.42,607.06
2045-01-01,595.77,549.82,607.53
2046-01-01,593.53,546.39,610.2
2047-01-01,589.89,546.27,612.57
2048-01-01,591.81,543.12,613.69
2049-01-01,590.07,543,611.1
2050-01-01,588.96,547.26,611.91
2051-01-01,592.1,549.71,609.57
2052-01-01,591,549.91,608.3
2053-01-01,595.7,551.53,610.25
2054-01-01,594.71,553.93,609.54
2055-01-01,593.54,555.61,610.37
2056-01-01,595.66,554.62,605.9
2057-01-01,595.13,557.21,610.58
2058-01-01,598.36,561.99,610.84
2059-01-01,597.1,557.76,609.25
2060-01-01,597.03,557.46,609.34
2061-01-01,596.01,557.02,610.04
2062-01-01,596.9,555.71,610.97
2063-01-01,597.16,555.14,612.18
2064-01-01,596.68,556.09,617.4
2065-01-01,594.87,557.87,615.29
2066-01-01,591.94,561.01,616.39
2067-01-01,593.61,561.12,615.14
2068-01-01,595.07,561.03,614.42
2069-01-01,594.31,560.43,613.16
2070-01-01,593.31,558.68,614.39
2071-01-01,593.7,559.69,616.31
2072-01-01,592.44,561.79,621.06
2073-01-01,586.73,564.31,622.22
2074-01-01,585.41,563.29,618.98
2075-01-01,584.34,561.79,617.72
2076-01-01,583.81,563.12,615.24
2077-01-01,586.04,564.93,617.14
2078-01-01,585.13,566.15,616.19
2079-01-01,586.33,568.34,617
2080-01-01,586.57,567.21,616.6
2081-01-01,586.65,567.36,614.8
2082-01-01,588.43,564.79,617.94
2083-01-01,586.69,568.04,618.04
2084-01-01,588.9,567.69,616.97
2085-01-01,592.38,569.53,617.98
