"Date","median","lower_90ci","upper_90ci"
1994-03-01,334.19,333.08,335.25
1995-03-01,334.21,333.3,335.27
1996-03-01,334.19,333.41,335.1
1997-03-01,334.17,333.24,334.8
1998-03-01,334.13,332.97,334.94
1999-03-01,334.56,333.39,335.49
2000-03-01,335.05,334.01,336.08
2001-03-01,334.5,333.31,335.99
2002-03-01,335.62,334.17,337.31
2003-03-01,335.41,333.62,337.2
2004-03-01,334.96,333.4,336.54
2005-03-01,335.15,333.4,336.57
2006-03-01,335.39,333.47,336.93
2007-03-01,335.49,333.72,337.31
2008-03-01,334.78,333.44,337.12
2009-03-01,334.91,333.41,337.12
2010-03-01,335.2,333.71,338.16
2011-03-01,336.1,334.44,339.05
2012-03-01,336.34,334.87,339.49
2013-03-01,337.01,335.89,340.61
2014-03-01,337.2,335.85,340.46
2015-03-01,338.28,336.81,341.42
2016-03-01,338.25,336.66,341.68
2017-03-01,338.75,337.02,341.7
2018-03-01,337.88,336.16,340.9
2019-03-01,338.56,336.91,342.11
2020-03-01,338.01,336.02,341.59
2021-03-01,339.26,337,342.4
2022-03-01,340.32,338.12,343.67
2023-03-01,340.32,337.95,343.79
2024-03-01,339.52,336.77,343.47
2025-03-01,339.42,337.22,343.13
2026-03-01,338.85,336.56,342.64
2027-03-01,340.22,337.56,344.01
2028-03-01,341.65,338.89,345.64
2029-03-01,342.22,339.27,346.06
2030-03-01,342.99,339.94,347.16
2031-03-01,343.45,340.5,347.5
2032-03-01,342.29,339.35,346.77
2033-03-01,343.48,340.66,348.02
2034-03-01,343.76,341.04,348.73
2035-03-01,344.57,341.75,349.55
2036-03-01,344.33,342.41,350.11
2037-03-01,344.15,342.21,350.31
2038-03-01,344.19,342.04,350.41
2039-03-01,344.25,342.08,351
2040-03-01,344.36,341.95,351.34
2041-03-01,344.95,342.88,352.46
2042-03-01,344.6,342.46,351.63
2043-03-01,343.74,341.48,350.62
2044-03-01,345.41,342.03,352.5
2045-03-01,345.55,341.99,352.78
2046-03-01,346.27,342.63,353.36
2047-03-01,346.83,342.89,353.55
2048-03-01,347.16,343.53,354.3
2049-03-01,347.57,343.95,354.26
2050-03-01,348.55,344.84,355.41
2051-03-01,348.42,344.19,355
2052-03-01,347.89,343.78,354.59
2053-03-01,347.56,343.39,354.56
2054-03-01,347.45,343.42,354.62
2055-03-01,348.09,343.97,355.41
2056-03-01,348.85,344.37,356.38
2057-03-01,348.13,344.05,355.69
2058-03-01,347.73,343.92,354.94
2059-03-01,347.52,343.46,354.46
2060-03-01,346.86,342.44,353.87
2061-03-01,347.55,342.94,354.73
2062-03-01,348.35,343.69,355.18
2063-03-01,348.63,344.36,355.54
2064-03-01,348.7,344.23,355.65
2065-03-01,348.63,343.9,355.87
2066-03-01,347.86,342.7,355.2
2067-03-01,348.01,342.92,355.48
2068-03-01,348.57,343.95,356.23
2069-03-01,348.64,343.8,356.77
2070-03-01,348.25,342.86,356.06
2071-03-01,347.07,342.07,354.48
2072-03-01,347,341.95,354.42
2073-03-01,347.1,342.13,354.54
2074-03-01,346.01,340.93,352.6
2075-03-01,346.36,340.81,352.99
2076-03-01,346.8,341.41,353.74
2077-03-01,346.29,340.52,353.26
2078-03-01,346.95,341.6,354.12
2079-03-01,346.16,341.13,353.66
2080-03-01,345.57,340.81,353.49
2081-03-01,346.01,341.38,353.82
2082-03-01,346.04,340.78,353.46
2083-03-01,346.32,341.08,353.86
2084-03-01,348.12,342.85,355.8
2085-03-01,348.66,343.26,356.39
