"Date","median","lower_90ci","upper_90ci"
1994-09-01,308.69,291.55,333.1
1995-09-01,309.23,292.41,333.64
1996-09-01,309.45,292.66,333.99
1997-09-01,309.17,291.64,333.82
1998-09-01,309.45,290.76,333.53
1999-09-01,309.84,291.05,334.25
2000-09-01,310.7,291.48,335.46
2001-09-01,311.55,292.98,336.34
2002-09-01,311.59,293.14,336.12
2003-09-01,311.94,292.84,336.32
2004-09-01,311.45,292.49,335.63
2005-09-01,311.97,292.97,336.29
2006-09-01,312.12,291.97,336.83
2007-09-01,312.64,292.4,337.8
2008-09-01,312.11,291.51,337.36
2009-09-01,311.67,291.14,337.32
2010-09-01,311.71,290.66,337.67
2011-09-01,311.37,290.03,337.05
2012-09-01,312.18,291.07,338.03
2013-09-01,311.87,290.57,338
2014-09-01,311.85,290.03,337.69
2015-09-01,311.24,289.14,336.94
2016-09-01,311.77,289.51,337.58
2017-09-01,312.34,289.93,338.02
2018-09-01,312.6,289.15,338.75
2019-09-01,312.71,288.59,339.54
2020-09-01,312.83,288.87,339.04
2021-09-01,313.05,288.4,339.31
2022-09-01,312.61,288.9,338.96
2023-09-01,312.97,287.59,339.63
2024-09-01,312.87,287.24,339.59
2025-09-01,312.67,285.93,339.72
2026-09-01,312.93,285.05,340.71
2027-09-01,313.27,286.25,341.15
2028-09-01,313.01,287.13,340.9
2029-09-01,313.27,287.01,341.33
2030-09-01,313.04,286.81,341.07
2031-09-01,312.2,285.6,340.56
2032-09-01,312.64,285.65,341.28
2033-09-01,313.18,286.77,342.07
2034-09-01,313.7,285.93,343.03
2035-09-01,313.85,285.75,343.08
2036-09-01,314.02,286.14,343.21
2037-09-01,313.86,285.78,342.87
2038-09-01,314.56,286.81,343.75
2039-09-01,315.63,287.38,344.47
2040-09-01,315.76,286.83,344.92
2041-09-01,317.1,288.35,346.32
2042-09-01,316.87,287.28,346.03
2043-09-01,316.18,286.34,345.39
2044-09-01,316.49,284.68,346.64
2045-09-01,316.91,284.17,346.94
2046-09-01,316.95,284.03,347.19
2047-09-01,316.71,282.12,347.24
2048-09-01,317.08,282.62,347.39
2049-09-01,317.13,283.22,347.37
2050-09-01,317.1,283.23,347.65
2051-09-01,317.61,284.31,348.08
2052-09-01,317.88,283.13,348.46
2053-09-01,317.75,284.74,348.34
2054-09-01,317.39,284.25,347.83
2055-09-01,317.27,285.11,347.18
2056-09-01,317.08,285.81,346.17
2057-09-01,317.11,285.68,346.25
2058-09-01,317.77,286.16,347.48
2059-09-01,318.07,286.76,347.5
2060-09-01,317.63,286.15,346.72
2061-09-01,317.35,286.2,345.95
2062-09-01,318.17,286.83,346.36
2063-09-01,318.51,286.64,346.57
2064-09-01,318.8,287.95,346.46
2065-09-01,319.33,288.85,347.1
2066-09-01,319.43,289.46,347.44
2067-09-01,320.35,290.11,348.54
2068-09-01,320.28,290.14,348.46
2069-09-01,320.06,289.82,348.37
2070-09-01,319.53,290.37,347.98
2071-09-01,318.8,289.01,347.54
2072-09-01,318.3,289.44,347.08
2073-09-01,318.14,289.51,347.08
2074-09-01,317.74,291.49,345.9
2075-09-01,317.89,291.85,346.46
2076-09-01,317.06,291.29,345.54
2077-09-01,317.59,293.41,345.77
2078-09-01,318.17,294.04,346.19
2079-09-01,317.9,293.68,345.61
2080-09-01,318.15,292.9,345.39
2081-09-01,318.71,293.73,346.03
2082-09-01,319.03,295.04,346.14
2083-09-01,320.13,296.16,346.95
2084-09-01,320.42,296.43,347.33
2085-09-01,320.95,297.17,348.04
