"Date","median","lower_90ci","upper_90ci"
1994-06-01,297.29,107.42,512.65
1995-06-01,296.64,106.38,513.67
1996-06-01,295.45,105.91,510.31
1997-06-01,291.81,103.91,508.8
1998-06-01,290.84,102.22,507.55
1999-06-01,289.4,100.19,511.25
2000-06-01,289.63,101.63,512.21
2001-06-01,291.3,104.61,513.57
2002-06-01,287.95,100.49,509.51
2003-06-01,288.28,101,505.07
2004-06-01,286.06,100.42,501.51
2005-06-01,286.03,101.09,505.46
2006-06-01,286.98,102.82,503.35
2007-06-01,286.04,99.71,502.58
2008-06-01,288.28,102.21,509.02
2009-06-01,289.24,102.13,509.04
2010-06-01,289.11,105.5,508.27
2011-06-01,288.81,104.93,509.73
2012-06-01,289.47,104.18,508.67
2013-06-01,289.89,102.79,513.96
2014-06-01,289.18,104.01,513.57
2015-06-01,290.2,106.35,514.84
2016-06-01,292.38,106.57,515.75
2017-06-01,289.98,104.65,516.32
2018-06-01,289.63,104.29,515.84
2019-06-01,289.55,105.53,517.37
2020-06-01,291.13,109.15,522.01
2021-06-01,292.29,108.36,525.59
2022-06-01,291.75,107.9,525.81
2023-06-01,290.57,107.55,523.86
2024-06-01,285.07,106.88,521.9
2025-06-01,283.95,103.87,518.79
2026-06-01,283.91,101.38,519.81
2027-06-01,285.71,100.35,521.56
2028-06-01,285.84,101.01,523.07
2029-06-01,285.19,101.33,520.06
2030-06-01,283.29,97.72,516.8
2031-06-01,279.32,94.42,519.05
2032-06-01,279.9,96.3,524.01
2033-06-01,277,96.04,528.32
2034-06-01,274.03,94.14,525.93
2035-06-01,271.04,92.75,527.47
2036-06-01,272.34,95.04,531.43
2037-06-01,272.68,98.21,535.47
2038-06-01,269.61,93.86,532.43
2039-06-01,267.66,93.06,532.59
2040-06-01,269.62,92.89,533.49
2041-06-01,271.69,94.88,535.69
2042-06-01,272.86,96.01,542.42
2043-06-01,271.54,97.82,539.35
2044-06-01,270.69,95.9,539.02
2045-06-01,269.7,93.08,540.88
2046-06-01,267.53,90.29,541.61
2047-06-01,268.28,92.11,543.98
2048-06-01,266.64,89.83,542.44
2049-06-01,264.33,88.42,541.59
2050-06-01,265.19,88.67,541.8
2051-06-01,264.74,90.31,539.45
2052-06-01,265.39,91.22,538
2053-06-01,263.22,91.13,539.49
2054-06-01,265.87,91.91,534.75
2055-06-01,263.12,93.01,531.35
2056-06-01,264.4,93.39,533.6
2057-06-01,263.59,93.3,533.68
2058-06-01,262.17,92.15,531.06
2059-06-01,262.82,91.03,530.48
2060-06-01,262.84,92.3,533.07
2061-06-01,266.33,95.51,533.09
2062-06-01,266.95,96.04,537.63
2063-06-01,269.19,97.06,537.47
2064-06-01,272.32,98.01,541.37
2065-06-01,272.69,96.77,540.75
2066-06-01,271.71,94.87,541.07
2067-06-01,271.7,94.85,539.09
2068-06-01,272.29,96.9,539.46
2069-06-01,273.43,97.5,538.59
2070-06-01,270.56,93.14,537.66
2071-06-01,268.66,90.08,534.26
2072-06-01,268.19,88.15,533.47
2073-06-01,272.26,87.73,537
2074-06-01,274.47,89.53,539.34
2075-06-01,273.56,89.48,537.88
2076-06-01,273.58,90.68,543.16
2077-06-01,273.94,89.93,541.04
2078-06-01,274.67,91.11,542.48
2079-06-01,278.91,94.47,546.14
2080-06-01,276.57,92.12,540.14
2081-06-01,274.94,90.37,539.22
2082-06-01,273.27,91.64,537.37
2083-06-01,276.27,91.07,537.25
2084-06-01,276.02,89.94,542.14
2085-06-01,277.47,90.53,545.36
