"Date","median","lower_90ci","upper_90ci"
1994-09-01,203.53,52.96,379.16
1995-09-01,200.16,51.15,375.02
1996-09-01,198.6,51.05,376.07
1997-09-01,197.78,51.26,377.34
1998-09-01,194.52,50.27,372.92
1999-09-01,192.51,50.3,369.15
2000-09-01,188.65,48.32,365.73
2001-09-01,186.34,47.73,364.12
2002-09-01,182.23,47.47,358.3
2003-09-01,180.87,47.8,354.56
2004-09-01,180.21,47.06,354.72
2005-09-01,179.09,46.52,356.81
2006-09-01,178.01,47.08,355.21
2007-09-01,175.2,45.48,353.46
2008-09-01,176.61,45.85,356.21
2009-09-01,175.69,46.25,357.74
2010-09-01,176.77,44.07,360.52
2011-09-01,176.37,45.99,359.6
2012-09-01,173.31,45.08,357.04
2013-09-01,171.86,45.42,357.46
2014-09-01,172.34,44.31,358.96
2015-09-01,170.88,42.24,351.95
2016-09-01,170.29,41.68,354.09
2017-09-01,170.42,40.42,350.82
2018-09-01,170.1,40.06,351.41
2019-09-01,168.7,36.45,349.56
2020-09-01,169.39,36.75,349.87
2021-09-01,169.12,36.99,349.72
2022-09-01,168.88,37.37,350
2023-09-01,164.25,35.94,346.49
2024-09-01,162.16,35.11,342.18
2025-09-01,159.99,34.31,345.39
2026-09-01,160.3,32.69,344.08
2027-09-01,160.14,33.2,343.43
2028-09-01,161.92,33.2,346.15
2029-09-01,162.87,32.84,349.36
2030-09-01,164,32.56,349.23
2031-09-01,164.53,32.05,350.63
2032-09-01,164.76,32.08,352.41
2033-09-01,162.89,29.97,349.58
2034-09-01,161.57,28.62,350.17
2035-09-01,162.59,27.32,348.48
2036-09-01,162.6,24.95,350.47
2037-09-01,164.95,25.96,351.07
2038-09-01,163.77,24.88,347.94
2039-09-01,164.56,25.41,347.79
2040-09-01,162.61,25.01,344.58
2041-09-01,161.2,22.53,342.58
2042-09-01,163.91,22.9,345.85
2043-09-01,166.92,22.37,347.74
2044-09-01,163.89,22.17,343.42
2045-09-01,163.91,21.73,346.44
2046-09-01,161.75,20.87,345.46
2047-09-01,162.2,20.7,345.43
2048-09-01,161.74,19.14,344.33
2049-09-01,160.34,19.89,345.06
2050-09-01,159.4,17.66,346.95
2051-09-01,157.05,15.52,346.75
2052-09-01,154.82,14.64,344.99
2053-09-01,158.48,16.33,347.13
2054-09-01,160.56,15.92,350.36
2055-09-01,161.58,16.27,349.11
2056-09-01,159.95,18.04,346.03
2057-09-01,159.69,18.37,347.48
2058-09-01,159.27,16.65,345.34
2059-09-01,159.11,16.49,344.05
2060-09-01,158.81,17.26,345.6
2061-09-01,159.51,18.51,346.03
2062-09-01,159.8,18.51,345
2063-09-01,161.1,20.27,346.48
2064-09-01,162.72,21.58,346.43
2065-09-01,161.46,21.57,345.02
2066-09-01,160.75,21.76,343.85
2067-09-01,157.85,19.76,341.22
2068-09-01,157.05,20.61,344.42
2069-09-01,156.36,20.23,343.52
2070-09-01,156.01,20.56,342.03
2071-09-01,156.44,20.73,345.61
2072-09-01,156.69,21.28,345.38
2073-09-01,155.84,22.09,344.11
2074-09-01,158.28,22.91,345.94
2075-09-01,159.45,24.55,344.03
2076-09-01,161.36,24.85,342.88
2077-09-01,159.2,24.26,344.27
2078-09-01,159.19,23.61,344.57
2079-09-01,160.83,24.95,344.64
2080-09-01,160.7,25.68,340.95
2081-09-01,160.7,25.6,337.98
2082-09-01,162.03,27.19,338.32
2083-09-01,160.77,25.22,338.21
2084-09-01,159.08,24.6,340.73
2085-09-01,159.95,24.9,341.29
