"Date","median","lower_90ci","upper_90ci"
1994-01-01,538.35,520.81,565.88
1995-01-01,543.39,527.23,571.73
1996-01-01,550.55,522.66,569.07
1997-01-01,553.13,524.08,565.8
1998-01-01,551.86,520.61,565.48
1999-01-01,551.17,524.53,564.68
2000-01-01,552.1,523.68,566.72
2001-01-01,549.41,522.08,570.58
2002-01-01,552.11,518.89,574.02
2003-01-01,554.27,522.67,576.4
2004-01-01,552.28,521.04,580.21
2005-01-01,555.3,524.8,583.64
2006-01-01,546.83,526.05,586.3
2007-01-01,546.48,518.26,588.32
2008-01-01,550.33,519.2,585.09
2009-01-01,544.22,521.63,582.81
2010-01-01,553.1,522.2,580.03
2011-01-01,557.97,516.37,577.59
2012-01-01,555.22,519.1,575.93
2013-01-01,554.35,518.46,573.96
2014-01-01,555.57,523.26,575.31
2015-01-01,556.16,529.19,577.15
2016-01-01,551.11,528.91,571.94
2017-01-01,554.58,522.83,574.69
2018-01-01,551.21,526.76,576
2019-01-01,547.12,525.64,574.41
2020-01-01,545.64,521.03,575.3
2021-01-01,554.04,520.83,578.12
2022-01-01,552.49,518.84,574.54
2023-01-01,550.78,520.82,576.66
2024-01-01,552.22,520.91,578.36
2025-01-01,548.57,524.33,576.72
2026-01-01,544.21,529.5,577.7
2027-01-01,545.23,524.31,579.34
2028-01-01,547.7,523.98,579.25
2029-01-01,549.5,522.58,578.44
2030-01-01,541,528.63,580.47
2031-01-01,541.69,521.88,581.68
2032-01-01,540.58,527.46,577.27
2033-01-01,537.05,525.01,573.22
2034-01-01,538.96,523.12,576.77
2035-01-01,540.46,522.76,581.09
2036-01-01,543.88,522.6,575.16
2037-01-01,541.92,519.28,570.02
2038-01-01,543.77,521.2,568.02
2039-01-01,540.01,518.92,569.54
2040-01-01,539.21,514.79,572.59
2041-01-01,541.06,516.23,573.83
2042-01-01,534.84,514.25,577.58
2043-01-01,540.11,511.35,572.5
2044-01-01,536.42,512.11,569.64
2045-01-01,531.68,505,566.46
2046-01-01,535.37,506.55,568.56
2047-01-01,533.11,506.57,571.14
2048-01-01,529.56,506.72,572.36
2049-01-01,529.76,515.29,573.28
2050-01-01,531.38,512.45,573.26
2051-01-01,528.1,505.69,574.84
2052-01-01,523.24,501.21,575.49
2053-01-01,529.09,502.01,581.5
2054-01-01,534.4,498.36,587.45
2055-01-01,536.88,492.42,588.9
2056-01-01,536.57,495.22,587.97
2057-01-01,537.53,499.61,586.82
2058-01-01,542.27,498.27,585.77
2059-01-01,536.09,499.07,582.97
2060-01-01,538.43,494.42,583.35
2061-01-01,544.84,500.23,584.67
2062-01-01,543.81,490.25,586.18
2063-01-01,545.87,485.71,590.09
2064-01-01,548.3,480.85,590.25
2065-01-01,543.98,490.15,590.72
2066-01-01,547.11,486.13,591.81
2067-01-01,544.2,492.82,591.72
2068-01-01,541.8,488.71,589.48
2069-01-01,546.74,496.62,590.47
2070-01-01,542.39,496.86,588
2071-01-01,544.28,486.91,586
2072-01-01,542.05,486.86,584.33
2073-01-01,539.07,491.33,585.58
2074-01-01,535.75,487.33,584.73
2075-01-01,539.33,496.7,585.53
2076-01-01,539.47,487.77,585.36
2077-01-01,534.35,493.33,578.61
2078-01-01,534.09,493.12,577.95
2079-01-01,531.1,489.62,576.84
2080-01-01,529.75,498.33,578.26
2081-01-01,528.51,507.35,582.23
2082-01-01,534.32,503.7,587.32
2083-01-01,530.96,498.93,580.15
2084-01-01,533.99,505.32,575.98
2085-01-01,537.47,497.49,573.12
