"Date","median","lower_90ci","upper_90ci"
1994-01-01,672,596,700
1995-01-01,661,593,697
1996-01-01,664,592,694
1997-01-01,667,590,693
1998-01-01,662,580,691
1999-01-01,655,585,688
2000-01-01,648,580,692
2001-01-01,650,585,701
2002-01-01,647,592,702
2003-01-01,643,591,714
2004-01-01,642,582,718
2005-01-01,650,580,712
2006-01-01,644,575,715
2007-01-01,645,572,711
2008-01-01,656,567,719
2009-01-01,656,570,733
2010-01-01,654,580,726
2011-01-01,652,574,724
2012-01-01,643,570,719
2013-01-01,638,577,727
2014-01-01,640,571,724
2015-01-01,650,566,720
2016-01-01,641,563,713
2017-01-01,651,563,719
2018-01-01,655,561,717
2019-01-01,646,558,715
2020-01-01,646,552,724
2021-01-01,657,553,731
2022-01-01,651,557,735
2023-01-01,649,551,729
2024-01-01,637,548,720
2025-01-01,635,556,724
2026-01-01,628,555,740
2027-01-01,623,556,739
2028-01-01,622,552,747
2029-01-01,626,542,764
2030-01-01,622,539,756
2031-01-01,623,526,765
2032-01-01,627,516,767
2033-01-01,627,507,769
2034-01-01,620,509,763
2035-01-01,615,506,779
2036-01-01,624,506,782
2037-01-01,626,508,801
2038-01-01,623,511,792
2039-01-01,636,507,785
2040-01-01,639,497,791
2041-01-01,636,495,806
2042-01-01,640,490,804
2043-01-01,651,485,807
2044-01-01,650,491,811
2045-01-01,642,492,804
2046-01-01,644,483,810
2047-01-01,646,478,817
2048-01-01,650,474,814
2049-01-01,642,473,813
2050-01-01,641,468,817
2051-01-01,648,463,815
2052-01-01,653,459,805
2053-01-01,649,458,817
2054-01-01,653,458,821
2055-01-01,648,455,816
2056-01-01,656,457,817
2057-01-01,649,461,818
2058-01-01,659,459,819
2059-01-01,654,456,828
2060-01-01,656,461,833
2061-01-01,662,466,829
2062-01-01,652,474,843
2063-01-01,657,477,831
2064-01-01,664,470,827
2065-01-01,661,468,821
2066-01-01,662,462,826
2067-01-01,660,464,816
2068-01-01,660,460,812
2069-01-01,651,461,816
2070-01-01,645,460,818
2071-01-01,649,458,812
2072-01-01,649,470,810
2073-01-01,638,472,812
2074-01-01,641,466,815
2075-01-01,647,467,815
2076-01-01,650,468,816
2077-01-01,645,469,811
2078-01-01,642,463,817
2079-01-01,653,472,827
2080-01-01,655,478,825
2081-01-01,660,477,828
2082-01-01,651,478,835
2083-01-01,652,477,835
2084-01-01,649,473,829
2085-01-01,648,472,823
