"Date","median","lower_90ci","upper_90ci"
1994-09-01,142.37,92.5,158.32
1995-09-01,138.45,94.49,153.62
1996-09-01,139.27,93.99,148.58
1997-09-01,132.14,92.06,148.86
1998-09-01,124.79,93.75,146.36
1999-09-01,124.89,91.87,144.34
2000-09-01,121.49,89.26,141.28
2001-09-01,124.95,88.87,143.25
2002-09-01,126.6,88.94,137.42
2003-09-01,122.26,90.71,139.26
2004-09-01,120.32,90.06,140.77
2005-09-01,122.04,89.43,140.85
2006-09-01,120.71,89.28,140.76
2007-09-01,122.29,83.56,138.02
2008-09-01,120.9,82.79,142.24
2009-09-01,121.79,82.27,142.25
2010-09-01,120.44,81.12,146.01
2011-09-01,122.77,77.92,147.86
2012-09-01,114.51,74.46,148.85
2013-09-01,114.58,76.03,150.75
2014-09-01,116,74.38,151.74
2015-09-01,117.86,74.78,152.51
2016-09-01,118.73,74.39,150.79
2017-09-01,114.44,72.02,150.83
2018-09-01,116.34,68.33,148.8
2019-09-01,115.34,65.97,152.25
2020-09-01,116.39,67.45,150.84
2021-09-01,117,63.3,150.61
2022-09-01,114.53,57.36,147.47
2023-09-01,109.58,56.66,145.45
2024-09-01,104.52,56.58,142.46
2025-09-01,104.94,55.39,142.22
2026-09-01,106.59,54.52,140.49
2027-09-01,105.98,53.58,142.48
2028-09-01,105.13,53.64,149.95
2029-09-01,104.15,52.26,145.25
2030-09-01,100.35,52.67,144.5
2031-09-01,96.37,54.73,141.62
2032-09-01,93.08,54.98,143.08
2033-09-01,91.69,50.34,145.16
2034-09-01,88.84,48.53,144.62
2035-09-01,84.75,46.38,144.75
2036-09-01,89.77,45.1,142.75
2037-09-01,90.99,44.21,145.44
2038-09-01,89.08,42.08,143.33
2039-09-01,89.9,41.61,144.4
2040-09-01,87.31,42.79,141.07
2041-09-01,86.07,42.56,134.33
2042-09-01,85.17,44.88,137.41
2043-09-01,87.1,42.12,142.23
2044-09-01,85.21,41.51,141.8
2045-09-01,82.68,40.32,137.47
2046-09-01,84.99,38.23,140.73
2047-09-01,84.71,37.87,138.85
2048-09-01,80.58,38.01,137.08
2049-09-01,83.43,37.14,133.96
2050-09-01,82.73,37.49,129.21
2051-09-01,79.77,37.79,129.42
2052-09-01,76.51,38.66,135.07
2053-09-01,80,36.72,137.35
2054-09-01,82.59,36.72,141.96
2055-09-01,83.13,36.3,139.13
2056-09-01,84.13,36.31,141.39
2057-09-01,87.74,34.81,145.67
2058-09-01,82.77,36.2,141.68
2059-09-01,82.97,36.51,144.8
2060-09-01,82.99,36.75,145
2061-09-01,85.63,37.1,150.72
2062-09-01,83.98,38.11,148.45
2063-09-01,83.35,36.16,152.77
2064-09-01,83.12,34.9,156.88
2065-09-01,78.62,33.66,155.62
2066-09-01,78.89,33.32,153.54
2067-09-01,80.05,32.77,151.31
2068-09-01,82.88,32.88,152.67
2069-09-01,81.84,31.8,151.98
2070-09-01,82.4,32.63,158.47
2071-09-01,82.39,33.89,161.28
2072-09-01,83.21,35.59,159.16
2073-09-01,80.03,35.68,160.99
2074-09-01,82.65,37.5,162.3
2075-09-01,82.8,37.93,163.47
2076-09-01,79.98,39.55,167.39
2077-09-01,79.44,38.1,168.19
2078-09-01,81.39,39.46,167.49
2079-09-01,83.42,40.38,171.46
2080-09-01,81.9,40.34,170.55
2081-09-01,83.88,40.68,167.58
2082-09-01,90.45,39.97,163.33
2083-09-01,90.22,39.68,159.86
2084-09-01,87.68,40.81,161.06
2085-09-01,86.18,37.47,166.23
