"Date","median","lower_90ci","upper_90ci"
1994-06-01,15.53,12.68,24.18
1995-06-01,15.06,12.18,22.94
1996-06-01,14.11,12.4,22.92
1997-06-01,14.68,12.42,22.73
1998-06-01,14.43,11.81,23.45
1999-06-01,14.08,11.76,23.96
2000-06-01,13.64,11.05,22.63
2001-06-01,15.17,10.9,22.76
2002-06-01,13.89,10.88,22.7
2003-06-01,15.52,11.15,23.02
2004-06-01,14.98,9.57,22.83
2005-06-01,15.13,9.27,24.76
2006-06-01,13.74,9.01,25.1
2007-06-01,14.52,8.84,25.52
2008-06-01,14.33,9.23,27.65
2009-06-01,14.58,9.23,26.92
2010-06-01,14.45,9.86,27.79
2011-06-01,15.7,9.39,26.74
2012-06-01,15.49,9.89,27.19
2013-06-01,15.06,9.67,29.11
2014-06-01,16.49,10.48,29.95
2015-06-01,16.33,9.92,31.57
2016-06-01,16.01,9.92,32.45
2017-06-01,15.54,9.35,31.83
2018-06-01,15.36,9.37,31.03
2019-06-01,15.26,8.9,31.92
2020-06-01,16.49,9.08,32.31
2021-06-01,18.77,9.08,33.97
2022-06-01,19.23,8.94,34.22
2023-06-01,18.83,8.75,34.87
2024-06-01,18.64,8.23,33.85
2025-06-01,18.31,7.99,33.98
2026-06-01,18.03,8.24,35.45
2027-06-01,17.49,7.81,36.84
2028-06-01,17.83,7.64,38.42
2029-06-01,18.21,7.43,38.62
2030-06-01,16.82,6.81,38.48
2031-06-01,17.07,6.66,37.43
2032-06-01,17.2,6.54,36.45
2033-06-01,17.74,5.61,34.75
2034-06-01,17.73,5.29,32.25
2035-06-01,17.64,4.58,31.93
2036-06-01,19.32,4.58,33.56
2037-06-01,20.39,4.31,33.49
2038-06-01,20.16,4.02,32.11
2039-06-01,20.93,4.02,32.12
2040-06-01,19.9,4.47,32.39
2041-06-01,19.55,4.8,34.97
2042-06-01,19.6,4.65,34.82
2043-06-01,19.6,4.65,32.49
2044-06-01,19.11,4.2,32.77
2045-06-01,19.02,4.19,30.69
2046-06-01,16.82,4.63,30.09
2047-06-01,16.77,4.65,33.1
2048-06-01,16.77,4.54,34.59
2049-06-01,17.7,4.44,33.54
2050-06-01,16.28,4.73,34.27
2051-06-01,14.42,5.51,32.64
2052-06-01,14.67,5.92,32.83
2053-06-01,16.03,6.18,32.33
2054-06-01,15.68,6.18,33.1
2055-06-01,15.36,7.11,32.81
2056-06-01,18.11,6.65,31.89
2057-06-01,18.66,6.89,32.45
2058-06-01,18.66,7.32,31.54
2059-06-01,19.1,7.01,29.96
2060-06-01,19.24,7.1,30.09
2061-06-01,18.71,7.39,30.97
2062-06-01,18.69,6.8,33.46
2063-06-01,19.03,6.8,34.04
2064-06-01,19.66,6.8,35.6
2065-06-01,19.66,6.8,35.58
2066-06-01,17.87,6.8,34.52
2067-06-01,16.69,6.28,34.08
2068-06-01,16.82,6.19,34.05
2069-06-01,16.66,6.19,33.46
2070-06-01,16.44,6.25,32.68
2071-06-01,16.26,6.06,30.44
2072-06-01,17.01,6.11,30.16
2073-06-01,17.01,6.11,30.71
2074-06-01,17.88,5.95,29.91
2075-06-01,18.09,5.45,29.89
2076-06-01,18.38,6.58,31.31
2077-06-01,18.89,6.66,28.67
2078-06-01,19.63,7.31,28.81
2079-06-01,20.67,7.22,28.21
2080-06-01,20.52,6.85,27.03
2081-06-01,19.1,6.46,25.99
2082-06-01,18.81,6.02,26.08
2083-06-01,18.13,6.37,27.31
2084-06-01,17.27,6.37,27.48
2085-06-01,17.27,5.36,27.78
