"Date","median","lower_90ci","upper_90ci"
1994-09-01,128.74,57.53,222.04
1995-09-01,128.32,58.48,221.94
1996-09-01,128.88,59.95,223.74
1997-09-01,129.57,59.45,223.88
1998-09-01,130.14,60.18,226.78
1999-09-01,130.89,61.33,226.57
2000-09-01,130.6,60.88,227.28
2001-09-01,129.8,61.15,226.95
2002-09-01,130.2,61.6,227.46
2003-09-01,129.84,61.99,226.68
2004-09-01,129.95,62.41,226.43
2005-09-01,129.56,62.95,227.95
2006-09-01,129.25,62.19,229.17
2007-09-01,130.49,63.35,230.33
2008-09-01,131.76,63.25,232.77
2009-09-01,132.08,62.74,233.76
2010-09-01,131.59,62.53,232.98
2011-09-01,132.92,62.11,233.56
2012-09-01,132.55,61.35,232.13
2013-09-01,132.25,61.05,233
2014-09-01,132.33,61.56,234.3
2015-09-01,132.9,60.9,235.84
2016-09-01,133.03,61.45,238.46
2017-09-01,134.01,61.77,239.03
2018-09-01,133.94,61.77,240.24
2019-09-01,133.85,62.25,240.18
2020-09-01,134.56,62.95,241.88
2021-09-01,134.11,63.82,243.41
2022-09-01,134.66,64.32,244.64
2023-09-01,133.69,63.09,242.36
2024-09-01,133.12,62.34,241.96
2025-09-01,133.41,61.49,243.8
2026-09-01,133.89,61.17,244.5
2027-09-01,132.67,61.19,243.98
2028-09-01,131.45,60.58,240.94
2029-09-01,130.71,60.18,241.19
2030-09-01,131.49,60.19,243.55
2031-09-01,132.24,60.28,246.17
2032-09-01,130.89,59.82,246.68
2033-09-01,131.04,59.05,247.75
2034-09-01,131.59,58.91,247.13
2035-09-01,131.64,58.12,245.98
2036-09-01,131.6,58.25,244.07
2037-09-01,130.96,56.61,244.21
2038-09-01,130.56,56.99,243.11
2039-09-01,131.02,58.02,243.6
2040-09-01,131.93,58.2,244.08
2041-09-01,130.73,57.57,242.82
2042-09-01,130.91,57.98,244.4
2043-09-01,131.02,59.31,244.01
2044-09-01,131.28,59.59,244.43
2045-09-01,132.1,60.26,245.6
2046-09-01,131.52,60.45,244.28
2047-09-01,130.65,59.75,243.56
2048-09-01,130.04,60.29,243.23
2049-09-01,130.54,60.96,242.63
2050-09-01,130.47,61.01,241.71
2051-09-01,130.52,59.7,241.62
2052-09-01,131.1,60.09,241.04
2053-09-01,131.87,60.63,241.2
2054-09-01,132.23,60.59,243.51
2055-09-01,131.96,59.71,243.02
2056-09-01,132.29,59.76,242.98
2057-09-01,133.69,59.88,243.01
2058-09-01,134.68,59.66,243.18
2059-09-01,134.45,59.41,244.97
2060-09-01,134.96,59.83,244.6
2061-09-01,134.28,59.48,243.21
2062-09-01,134.17,59.53,241.74
2063-09-01,132.62,58.79,240.31
2064-09-01,132.06,58.67,239.6
2065-09-01,133.33,58.72,241.71
2066-09-01,133.57,58.99,242.86
2067-09-01,133.32,59.21,241.26
2068-09-01,132.51,59.52,239.28
2069-09-01,132.92,59.68,238.67
2070-09-01,132.49,59.25,238.81
2071-09-01,133.07,59.92,239.26
2072-09-01,133.34,59.71,240.29
2073-09-01,134.39,60.52,240.61
2074-09-01,133.63,59.63,238.13
2075-09-01,133.08,60.52,237.1
2076-09-01,133.09,60.38,236.2
2077-09-01,134.11,60.81,237.72
2078-09-01,134.56,60.4,236.6
2079-09-01,135,59.83,237.3
2080-09-01,133.58,59.45,237.38
2081-09-01,134.21,60.15,237.09
2082-09-01,133.04,59.31,236.41
2083-09-01,133.78,58.91,238.16
2084-09-01,134.58,59.8,237.08
2085-09-01,134.75,60.05,234.12
