"Date","median","lower_90ci","upper_90ci"
1994-01-01,809.6,791.07,827.26
1995-01-01,821.16,798.44,831.35
1996-01-01,818.11,799.48,832.46
1997-01-01,818.86,799.9,832.28
1998-01-01,820.43,800.61,836.21
1999-01-01,821.41,803.22,839.58
2000-01-01,819.95,799.58,839.48
2001-01-01,827.96,796.59,855.8
2002-01-01,830.96,792.88,846.95
2003-01-01,823.1,797.6,845.29
2004-01-01,819.51,801.46,848.22
2005-01-01,819.84,802.94,853.07
2006-01-01,823.17,801.72,855.74
2007-01-01,823.52,804.86,854.41
2008-01-01,826.37,797.56,858.02
2009-01-01,830.55,797.99,861.26
2010-01-01,830.72,798.05,863.28
2011-01-01,832.01,797.27,868.71
2012-01-01,828.12,799.52,871.08
2013-01-01,828.38,803.3,883.52
2014-01-01,827.38,803.28,880.46
2015-01-01,823.52,802.66,886.67
2016-01-01,823.2,795.32,886.59
2017-01-01,820.25,789.87,890.02
2018-01-01,819.76,792.81,892.15
2019-01-01,817.8,787.18,894.58
2020-01-01,813.96,787.44,893.17
2021-01-01,818.67,791.98,900.2
2022-01-01,819.98,791.72,908.66
2023-01-01,821.53,785.84,911.72
2024-01-01,815.85,781.21,904.82
2025-01-01,816.56,774.54,911.96
2026-01-01,820.92,763.57,927.33
2027-01-01,822.86,762.35,918.3
2028-01-01,821.11,756.1,923.32
2029-01-01,824.77,759.27,923.37
2030-01-01,830.89,762.09,918.61
2031-01-01,833.45,761.29,904.18
2032-01-01,827.32,750.91,916.68
2033-01-01,817.5,745.39,920.5
2034-01-01,812.94,740.33,922.02
2035-01-01,814.09,745.69,918.36
2036-01-01,810.93,741.04,911.14
2037-01-01,804.34,740.59,920.04
2038-01-01,812.18,745.02,912.33
2039-01-01,806.74,749.18,904.37
2040-01-01,811.05,748.37,898.82
2041-01-01,806.2,747.43,903.98
2042-01-01,811.34,747.79,898.39
2043-01-01,811.75,751.91,891.02
2044-01-01,815.88,756.45,886.54
2045-01-01,822.09,759.31,885.4
2046-01-01,821.71,758.6,880.72
2047-01-01,830.49,754.56,897.27
2048-01-01,827.41,761.22,903.06
2049-01-01,827.81,767.23,898.7
2050-01-01,827.03,774.86,889.33
2051-01-01,828.72,777.57,887.83
2052-01-01,829.08,771.85,879.25
2053-01-01,827.51,779.56,881.19
2054-01-01,832.04,782.1,892.95
2055-01-01,838.62,788.9,897.02
2056-01-01,833.04,785.72,895.52
2057-01-01,835.9,780.62,899.43
2058-01-01,841.27,782.33,890.44
2059-01-01,840.31,778.35,886.73
2060-01-01,841.72,774.74,891.64
2061-01-01,840.17,784.09,896.7
2062-01-01,844.27,783.74,896.68
2063-01-01,843.01,787.51,897.2
2064-01-01,846.44,799.12,900.03
2065-01-01,836.98,789.17,901.47
2066-01-01,835.9,799.38,908.84
2067-01-01,836.23,792.52,911.2
2068-01-01,828.8,786.61,911.32
2069-01-01,822.72,784.55,917.74
2070-01-01,821.04,782.03,914.12
2071-01-01,824.08,787.81,905.42
2072-01-01,822.59,796.76,910.35
2073-01-01,816.3,789.78,925.96
2074-01-01,816.97,784.97,929.35
2075-01-01,818.03,789.08,923.49
2076-01-01,825.94,782.17,925.69
2077-01-01,824.55,783.76,915.75
2078-01-01,828.4,784.82,912.34
2079-01-01,832.76,782.05,918.28
2080-01-01,831.69,788.32,921.34
2081-01-01,832.06,788.03,924.71
2082-01-01,840.55,788.79,916.9
2083-01-01,833.85,794.38,915.24
2084-01-01,830.5,794.95,915.61
2085-01-01,829.15,785.89,919.72
