"Date","median","lower_90ci","upper_90ci"
1994-06-01,643.39,382.08,957.75
1995-06-01,644.59,381.01,960.08
1996-06-01,643.71,381.32,956.18
1997-06-01,641.75,379.02,952.12
1998-06-01,643.05,379.35,954.8
1999-06-01,640.95,376.84,953.68
2000-06-01,641.68,375.24,959.08
2001-06-01,643.71,374.83,959.42
2002-06-01,637.69,370.75,952
2003-06-01,637.85,372.18,948.83
2004-06-01,633.11,370.8,945.43
2005-06-01,633.74,374.8,947.51
2006-06-01,630.16,375.08,947.21
2007-06-01,628.08,372.14,948.8
2008-06-01,633.24,377.04,951.22
2009-06-01,633.62,375.73,949.77
2010-06-01,636.31,379.63,946.32
2011-06-01,640.29,383.84,948.43
2012-06-01,642.58,385.06,949.97
2013-06-01,642.86,383.99,951.05
2014-06-01,640.8,383.73,952.46
2015-06-01,643.45,387.72,957.04
2016-06-01,644.71,390.54,962.79
2017-06-01,643.04,390.74,964.21
2018-06-01,644.52,394.46,960.62
2019-06-01,646.13,389.46,962.3
2020-06-01,647.15,389.36,964.81
2021-06-01,646,387.93,968.38
2022-06-01,646.48,387.05,973.85
2023-06-01,643.33,383.9,971.71
2024-06-01,638.83,380.38,965.89
2025-06-01,634.54,378.8,964.02
2026-06-01,634.75,374.27,962.23
2027-06-01,635.9,373.16,966.17
2028-06-01,635.71,373.43,963.59
2029-06-01,635.38,371.27,962.61
2030-06-01,631.92,371.49,952.55
2031-06-01,629.75,366.58,946.08
2032-06-01,629.38,367.23,950.33
2033-06-01,628.27,363.38,950.23
2034-06-01,627.76,361.99,952.04
2035-06-01,626.78,359.12,950.66
2036-06-01,630.41,360.99,956.03
2037-06-01,633.52,362.18,957.32
2038-06-01,630.07,356.18,961.13
2039-06-01,628.42,357.22,961.96
2040-06-01,627.64,359,963.86
2041-06-01,626.41,357.75,965.62
2042-06-01,628.75,359.18,967.71
2043-06-01,629.24,356.99,966.73
2044-06-01,632.09,356.16,967.6
2045-06-01,629.44,349.85,966.01
2046-06-01,627.53,344.99,961.98
2047-06-01,628.87,344.94,956.95
2048-06-01,627.95,342.39,958.98
2049-06-01,624.07,340.63,956.05
2050-06-01,624.36,342.53,955.96
2051-06-01,627.04,344.81,954.61
2052-06-01,627.51,343.52,950.58
2053-06-01,628.69,347.58,956.87
2054-06-01,631.19,351.34,960.68
2055-06-01,629.69,351.23,957.33
2056-06-01,629.61,353.72,959.18
2057-06-01,630.22,352.64,960.24
2058-06-01,629.08,349.82,959.7
2059-06-01,632.35,352.26,959.82
2060-06-01,634.76,355.77,967.99
2061-06-01,639.4,361.36,974.08
2062-06-01,645.72,360.43,985.32
2063-06-01,649,363.12,997.76
2064-06-01,650.07,365.8,995.3
2065-06-01,648.5,362.13,994.44
2066-06-01,649.54,361.72,997.81
2067-06-01,649.24,364.07,1000.05
2068-06-01,647.72,363.08,999.93
2069-06-01,649.72,361.53,999.88
2070-06-01,648.15,355.34,999.12
2071-06-01,645.51,350.53,998.76
2072-06-01,639.79,343.43,1000.09
2073-06-01,641.8,346.11,1006.9
2074-06-01,639.83,347.09,1008.12
2075-06-01,640.55,350.03,1011.28
2076-06-01,642.99,353.47,1018.61
2077-06-01,641.98,353.51,1022.22
2078-06-01,640.57,355.25,1020.81
2079-06-01,647.56,362.07,1032.52
2080-06-01,645.65,360.31,1028.08
2081-06-01,643,358.87,1030.64
2082-06-01,640.38,360.48,1029.08
2083-06-01,643.94,358.38,1028.66
2084-06-01,645.89,357.48,1031.93
2085-06-01,646.99,357.47,1038.43
