"Date","median","lower_90ci","upper_90ci"
1994-03-01,872.04,562.66,1243.66
1995-03-01,871.5,560.81,1247.62
1996-03-01,872.94,565.43,1252.06
1997-03-01,870.96,563.97,1254.73
1998-03-01,871.17,567.04,1260.31
1999-03-01,870.08,562.42,1263.3
2000-03-01,871.05,567.15,1264.42
2001-03-01,869.97,565.67,1267.31
2002-03-01,871.01,561.32,1269.74
2003-03-01,869.61,561.13,1267.3
2004-03-01,870.64,559.93,1267.59
2005-03-01,870.65,562.64,1265
2006-03-01,868.18,563.38,1262.71
2007-03-01,869.13,562.82,1268.51
2008-03-01,873.83,563.89,1273.45
2009-03-01,872.8,560.44,1277.53
2010-03-01,877.32,557.65,1278.27
2011-03-01,879.38,556.63,1280.63
2012-03-01,876.12,557.66,1274.89
2013-03-01,876.58,559.91,1276.59
2014-03-01,878.97,557.08,1277.3
2015-03-01,879.02,558.59,1274.23
2016-03-01,877.1,556.41,1269.81
2017-03-01,878.24,559.49,1270.04
2018-03-01,880.26,557.25,1271.86
2019-03-01,876.58,554.98,1276.27
2020-03-01,878.1,555.39,1277.87
2021-03-01,879.6,555.56,1273.23
2022-03-01,878.57,552.77,1273.09
2023-03-01,879.64,554.11,1281.77
2024-03-01,876.63,555.3,1275.21
2025-03-01,880.71,557.77,1276.49
2026-03-01,882.67,559.71,1273.51
2027-03-01,884.95,556.53,1273.4
2028-03-01,882.46,552.6,1270.81
2029-03-01,887.03,556.88,1276.08
2030-03-01,885.82,556.08,1276.87
2031-03-01,885.29,557.66,1277.03
2032-03-01,887.4,561.82,1279.69
2033-03-01,890.84,561.32,1285.72
2034-03-01,889.82,564.15,1279.92
2035-03-01,890.67,558.24,1287.68
2036-03-01,892.04,553.55,1287.13
2037-03-01,892.24,554.8,1292.97
2038-03-01,890.01,553.26,1296.91
2039-03-01,894.78,557.65,1300.71
2040-03-01,893.63,559.79,1296.47
2041-03-01,889.07,561.26,1297.65
2042-03-01,893.48,556.19,1300.47
2043-03-01,896.58,555.41,1301.72
2044-03-01,896.2,556.97,1301.9
2045-03-01,897.26,556.05,1301.94
2046-03-01,900.29,555.54,1311.12
2047-03-01,901.24,553.31,1313.97
2048-03-01,899.46,555.48,1310.87
2049-03-01,899.83,553.86,1299.29
2050-03-01,901.02,550.93,1299.97
2051-03-01,893.76,553.77,1295.55
2052-03-01,894.82,554.65,1300.57
2053-03-01,894.37,554.41,1301.01
2054-03-01,892.2,551.82,1296.15
2055-03-01,892.9,552.05,1296.62
2056-03-01,886.88,546.44,1291.2
2057-03-01,884.57,548.69,1289.87
2058-03-01,884.26,553.2,1288.99
2059-03-01,882.49,549.85,1287.26
2060-03-01,884.75,549.09,1291.73
2061-03-01,890.8,549.78,1293.18
2062-03-01,888.35,550.47,1287.51
2063-03-01,886.3,549.59,1285.63
2064-03-01,885.2,552.13,1291.93
2065-03-01,883.52,551.67,1286.21
2066-03-01,882.67,556.75,1287.68
2067-03-01,881.63,554.21,1289.05
2068-03-01,884.31,549.36,1285.79
2069-03-01,882.06,545.15,1280.59
2070-03-01,879.76,542.41,1282.39
2071-03-01,878.59,539.47,1276.86
2072-03-01,879.36,542.22,1284.41
2073-03-01,880.07,545.54,1278.68
2074-03-01,878.92,545.9,1277.34
2075-03-01,880.03,547.33,1278.29
2076-03-01,875.36,543.93,1274.97
2077-03-01,875.73,546.06,1273.88
2078-03-01,877.64,545.73,1281.89
2079-03-01,878.07,548.8,1291.75
2080-03-01,878.36,554.65,1289
2081-03-01,881.25,553.37,1291.72
2082-03-01,881.35,553.18,1286.57
2083-03-01,885.01,556.18,1280.24
2084-03-01,887.44,556.81,1279.21
2085-03-01,885.5,556.21,1276.91
