"Date","median","lower_90ci","upper_90ci"
1994-01-01,92.58,78.13,108.08
1995-01-01,89.84,79.57,107.32
1996-01-01,90.33,80.87,105.21
1997-01-01,92.06,79.61,101.93
1998-01-01,92.76,80.8,101.66
1999-01-01,91.85,79.55,98.83
2000-01-01,91.61,79.6,98.84
2001-01-01,90.66,79.2,99.67
2002-01-01,89.74,81.29,97.91
2003-01-01,86.75,80.95,100.45
2004-01-01,86.1,81.41,100.58
2005-01-01,85.79,80.77,103.27
2006-01-01,87.14,80.45,105.09
2007-01-01,89.13,79.94,108.56
2008-01-01,86.9,80.16,109.24
2009-01-01,92,74.51,109.14
2010-01-01,91.22,77.13,110.59
2011-01-01,89.97,76.28,108.4
2012-01-01,89.13,73.31,109.51
2013-01-01,89.59,67.92,106.22
2014-01-01,89.7,70.12,109.28
2015-01-01,92.46,67.81,112.28
2016-01-01,91.93,66.71,114.6
2017-01-01,90.2,62.58,118.38
2018-01-01,95.85,58.99,125.52
2019-01-01,97.93,57.06,130.06
2020-01-01,101.7,57.3,127.77
2021-01-01,99.34,57.06,125.9
2022-01-01,101.56,54.43,126.55
2023-01-01,103.12,54.28,128.46
2024-01-01,100.58,52.29,123.91
2025-01-01,98.69,54.15,119.59
2026-01-01,101.38,54.97,123.26
2027-01-01,99.47,55.01,126.41
2028-01-01,100.2,55.63,126.64
2029-01-01,99.73,53.97,127.18
2030-01-01,99.21,56.8,128.23
2031-01-01,97.29,56.52,130.73
2032-01-01,93.34,56.94,135.89
2033-01-01,91.33,52.52,134.01
2034-01-01,91.48,51.2,135.33
2035-01-01,89.33,51.34,134.53
2036-01-01,90.01,54.72,140.6
2037-01-01,91.44,59.37,136.75
2038-01-01,93.48,62.16,135.53
2039-01-01,91.56,58.18,134.04
2040-01-01,90.36,54.89,130.52
2041-01-01,90.19,53.81,133.84
2042-01-01,87.91,53.62,132.88
2043-01-01,88.87,56.61,127.24
2044-01-01,91.27,55.17,124.63
2045-01-01,87.75,51.34,126.59
2046-01-01,88.61,57.74,123.48
2047-01-01,88.55,58.86,126.41
2048-01-01,89.07,56.57,125.99
2049-01-01,90.14,58,120.82
2050-01-01,85.53,56.61,121.55
2051-01-01,81.89,56.29,122.07
2052-01-01,78.17,56.55,120.52
2053-01-01,79.29,57.54,119.51
2054-01-01,81.33,57.41,122.9
2055-01-01,83.42,58.48,125.9
2056-01-01,82.07,53.58,122.46
2057-01-01,80.07,53.04,121.98
2058-01-01,84.95,54.4,123.43
2059-01-01,81.03,56.52,122.81
2060-01-01,81.19,57.7,126.13
2061-01-01,83.88,57.41,128.41
2062-01-01,82.78,59.3,123.85
2063-01-01,82.85,60.54,125.43
2064-01-01,83.58,60.04,128.35
2065-01-01,84.58,58.66,129.79
2066-01-01,83.69,54.36,128.57
2067-01-01,82.97,50.79,132.07
2068-01-01,80.82,47.78,134.72
2069-01-01,82.94,48.82,140.37
2070-01-01,83.44,48.83,141.33
2071-01-01,83.33,50.44,141.06
2072-01-01,82.84,50.56,139.34
2073-01-01,82.78,50.58,147.56
2074-01-01,83.24,50.31,144.54
2075-01-01,85.74,51.38,139.92
2076-01-01,83.94,49.91,140.87
2077-01-01,83.2,51.3,139.76
2078-01-01,83.72,50.46,132.29
2079-01-01,84,48.69,137.05
2080-01-01,83.93,49.43,136.86
2081-01-01,84.06,48.9,137.03
2082-01-01,84.81,49.6,135.01
2083-01-01,90.01,47.96,136.95
2084-01-01,87.27,49.12,133.99
2085-01-01,86.03,49.05,134.61
