"Date","median","lower_90ci","upper_90ci"
1994-09-01,194.85,56.41,388.1
1995-09-01,192.5,54.95,384.53
1996-09-01,189.46,53.83,381.15
1997-09-01,188.91,53.3,382.28
1998-09-01,187.46,50.92,377.41
1999-09-01,185.9,50.1,371.81
2000-09-01,182.71,49.45,365.19
2001-09-01,182.22,50.68,363.33
2002-09-01,179.13,49.32,361
2003-09-01,177.39,48.79,355.9
2004-09-01,176.72,48.88,355.12
2005-09-01,175.5,47.76,355.16
2006-09-01,171.7,47.58,353.81
2007-09-01,167.1,43.95,348.96
2008-09-01,165.94,43.95,352.86
2009-09-01,163.63,41.57,352.63
2010-09-01,163.75,40.78,357.44
2011-09-01,164.63,41.81,357.02
2012-09-01,161.29,40.27,352.59
2013-09-01,161.14,39.69,354.72
2014-09-01,159.65,39.07,356.16
2015-09-01,156.96,37.99,355
2016-09-01,156.4,37.22,356.66
2017-09-01,154.91,36.08,352.87
2018-09-01,152.84,35.5,355.9
2019-09-01,150.08,33,352.96
2020-09-01,149.38,32.31,350.45
2021-09-01,147.62,31.53,348.45
2022-09-01,146.16,31.15,345.46
2023-09-01,139.92,28.23,339.25
2024-09-01,135.31,27.67,332
2025-09-01,132.95,26.62,331.78
2026-09-01,132.02,25.29,330.67
2027-09-01,131.85,25.47,329.31
2028-09-01,133.57,26.84,332.1
2029-09-01,131.51,26.61,332.31
2030-09-01,130.45,26.26,333.06
2031-09-01,129.47,23.76,332.82
2032-09-01,128.5,23.37,334.44
2033-09-01,126.24,21.45,331.01
2034-09-01,121.39,18.77,328.26
2035-09-01,121.21,18.9,327.88
2036-09-01,122.63,18.61,329.55
2037-09-01,122.65,18.59,330.57
2038-09-01,122.23,18.52,327.42
2039-09-01,123.06,18.93,325.66
2040-09-01,123.49,18.79,325.41
2041-09-01,121.38,19.17,323.28
2042-09-01,122.88,19.31,326.1
2043-09-01,128.06,19.55,330.27
2044-09-01,126.13,19.21,326.34
2045-09-01,125.61,18.76,323.23
2046-09-01,123.67,18.63,318.18
2047-09-01,124.95,18.38,319.11
2048-09-01,122.87,17.91,317.12
2049-09-01,122.4,17.12,316.46
2050-09-01,122.6,16.38,317.04
2051-09-01,120.4,16.14,318.3
2052-09-01,119.28,15.85,314.01
2053-09-01,123.66,17.73,318.12
2054-09-01,128.16,18.39,321.5
2055-09-01,129.71,18.68,319.34
2056-09-01,129.27,19.09,319.48
2057-09-01,129.06,19.04,320.78
2058-09-01,126.55,17.15,319.94
2059-09-01,129.32,17.85,319.46
2060-09-01,130.29,18.07,321.84
2061-09-01,130.7,19.96,322.31
2062-09-01,129.67,20.27,318.81
2063-09-01,132.07,21.55,322.02
2064-09-01,135.42,22.9,326.54
2065-09-01,131.33,22.44,324.9
2066-09-01,130.69,22.37,325.6
2067-09-01,129.09,22.12,324.29
2068-09-01,130.07,22.96,324.87
2069-09-01,129.03,22.59,326
2070-09-01,128.42,22.54,322.84
2071-09-01,126.76,20.67,324.8
2072-09-01,126.63,20.69,324.32
2073-09-01,122.81,20.76,321.07
2074-09-01,125.33,21.29,325.4
2075-09-01,127.37,22.38,326.62
2076-09-01,130.02,23.01,327.27
2077-09-01,128.97,23.15,325.43
2078-09-01,130.67,22.99,323.75
2079-09-01,132.61,24.94,324.66
2080-09-01,131.32,24.86,321.34
2081-09-01,130.95,24.96,317.83
2082-09-01,131.52,25.21,320.46
2083-09-01,128.48,23.44,318.55
2084-09-01,125.9,22.52,319.86
2085-09-01,125.55,22.22,323
