"Date","median","lower_90ci","upper_90ci"
1994-06-01,66.93,61.04,72.19
1995-06-01,65.92,61.39,74.72
1996-06-01,66.8,60.69,74.22
1997-06-01,66.83,60.52,74.6
1998-06-01,65.93,57.78,74.44
1999-06-01,65.13,58,74.94
2000-06-01,65.16,57.91,76.16
2001-06-01,63.76,57.63,80.72
2002-06-01,63.07,57.48,81.2
2003-06-01,62.6,57.87,82.81
2004-06-01,63.05,57.79,80.01
2005-06-01,61.53,56.92,81.91
2006-06-01,59.73,56.57,82.43
2007-06-01,61.58,56.17,82.84
2008-06-01,62.04,56.6,82.52
2009-06-01,62.48,54.69,82.31
2010-06-01,62.22,54.52,82.88
2011-06-01,62.45,55.2,81.46
2012-06-01,63.73,55.82,81.59
2013-06-01,63.55,56.71,83.33
2014-06-01,63.87,56.61,83.88
2015-06-01,63.83,55,83.81
2016-06-01,64.27,54.77,83.91
2017-06-01,62.92,54.62,84.12
2018-06-01,63.1,54.26,86.43
2019-06-01,62.67,53.75,85.39
2020-06-01,62.23,53.38,86.59
2021-06-01,64.27,53.2,88.95
2022-06-01,64.92,52.31,88.98
2023-06-01,64.17,51.1,90.01
2024-06-01,62.9,50.61,91.09
2025-06-01,61.99,51.11,91.63
2026-06-01,62.04,51.12,92.41
2027-06-01,63.25,50.67,91.87
2028-06-01,63.13,51.56,93.1
2029-06-01,64.98,51.61,94.19
2030-06-01,64.4,52.31,92.6
2031-06-01,63.96,50.94,87.1
2032-06-01,64.45,50.22,87.89
2033-06-01,63.64,50.5,88.54
2034-06-01,63.52,49.87,88.18
2035-06-01,63.05,48.22,87.36
2036-06-01,62.63,48.59,86.69
2037-06-01,63.13,47.16,85.9
2038-06-01,62.26,46.75,85.27
2039-06-01,62.5,46.92,86.52
2040-06-01,63.39,47.66,87.32
2041-06-01,63.54,47.05,88.57
2042-06-01,62.89,45.85,89.08
2043-06-01,62.69,45.99,89.57
2044-06-01,62.11,46.09,89.85
2045-06-01,63.17,46.04,89.69
2046-06-01,61.85,46.29,92.83
2047-06-01,60.79,45.91,93.97
2048-06-01,61.79,45.19,92.87
2049-06-01,62.03,44.97,92.23
2050-06-01,61.66,46.09,92.5
2051-06-01,61.7,46.31,92.21
2052-06-01,62.05,46.75,91.87
2053-06-01,60.38,46.7,92.14
2054-06-01,60.18,47.17,90.28
2055-06-01,61.73,47.41,89.69
2056-06-01,62.53,46.9,89.12
2057-06-01,64.14,47.84,88.9
2058-06-01,63.6,46.61,87.6
2059-06-01,61.51,47.34,88.05
2060-06-01,61.33,46.47,88.32
2061-06-01,61.27,47,89.92
2062-06-01,60.69,47.35,88.79
2063-06-01,60.85,46.29,89.37
2064-06-01,61.97,46.34,92.79
2065-06-01,64.05,46.82,93.28
2066-06-01,61.91,47.01,94.32
2067-06-01,61.35,48.12,93.92
2068-06-01,61.17,47.75,93.8
2069-06-01,61.4,47.74,91.81
2070-06-01,61.81,47.07,91.26
2071-06-01,61.97,46.98,90.22
2072-06-01,60.84,47.29,89.9
2073-06-01,59.86,47.64,90.66
2074-06-01,61.82,46.96,90.17
2075-06-01,61.58,47.18,90.37
2076-06-01,61.97,46.71,89.44
2077-06-01,64.2,48.03,86.42
2078-06-01,63.36,48.86,85.73
2079-06-01,63.58,49.47,86.41
2080-06-01,63.96,49.17,86.11
2081-06-01,63.85,47.96,84.1
2082-06-01,63.15,47.82,83.52
2083-06-01,63.79,49.28,82.95
2084-06-01,63.91,48.18,85.25
2085-06-01,63.83,47.52,85
