"Date","median","lower_90ci","upper_90ci"
1995-01-01,225.17,223.43,227.33
1996-01-01,224.65,222.69,227.01
1997-01-01,224.55,223.01,226.7
1998-01-01,225.86,223.41,227.88
1999-01-01,225.89,223.88,228.53
2000-01-01,225.3,223.24,229.13
2001-01-01,224.75,223.55,229.12
2002-01-01,224.33,222.43,230.17
2003-01-01,224.94,222.26,230.71
2004-01-01,226.42,221.22,229.49
2005-01-01,225.75,222,230.11
2006-01-01,226.09,222.58,229.2
2007-01-01,225.7,221.28,230.17
2008-01-01,224.59,220.88,230.91
2009-01-01,225.65,222.7,229.62
2010-01-01,226.04,223.93,230.2
2011-01-01,226.9,222.77,229.94
2012-01-01,227.77,220.48,231.61
2013-01-01,227.08,222.3,233.06
2014-01-01,228.26,223.14,233.47
2015-01-01,228.31,223.23,232.68
2016-01-01,228.86,222.31,232.95
2017-01-01,230.89,223.45,233.08
2018-01-01,230.09,222.48,233.08
2019-01-01,230.95,223.67,235.28
2020-01-01,231.59,225.13,235.5
2021-01-01,231.05,225.15,235.53
2022-01-01,230.77,224.05,236.96
2023-01-01,230.05,224.52,237.08
2024-01-01,230.06,223.33,236.9
2025-01-01,229.41,224.24,236.47
2026-01-01,230.77,225.63,236.9
2027-01-01,231,223.73,238.73
2028-01-01,231.4,222.82,237.85
2029-01-01,232.14,221.96,239.51
2030-01-01,232.86,222.38,239.59
2031-01-01,233.78,222.42,240.43
2032-01-01,234.29,221.81,240.98
2033-01-01,234.09,221.62,241.97
2034-01-01,232.6,222.48,243.06
2035-01-01,233.46,221.83,242.49
2036-01-01,234.96,221.67,243.17
2037-01-01,235.13,220.63,244.92
2038-01-01,235.59,221.4,245.46
2039-01-01,235.67,220.8,245.99
2040-01-01,236.78,220.57,245.75
2041-01-01,236.94,222.3,246.73
2042-01-01,237.47,222.55,246.78
2043-01-01,238.66,220.79,247.65
2044-01-01,239.37,222.46,247.48
2045-01-01,240.86,222.64,247.53
2046-01-01,240.62,221.47,248.25
2047-01-01,240.37,219.64,248.8
2048-01-01,241.91,219.19,249.52
2049-01-01,241.73,220.15,248.81
2050-01-01,240.38,221.85,248.45
2051-01-01,240.68,223.13,248.29
2052-01-01,240.13,222.99,247.47
2053-01-01,241.36,223.3,248.47
2054-01-01,241.14,224.56,248.28
2055-01-01,241.24,224.6,248.32
2056-01-01,242.7,224.88,246.34
2057-01-01,242.98,225.77,248.39
2058-01-01,243.18,228.19,248.51
2059-01-01,242.86,225.77,248.81
2060-01-01,242.39,225.83,248
2061-01-01,241.59,225.65,248.67
2062-01-01,242.09,225.2,248.79
2063-01-01,241.71,224.53,249.81
2064-01-01,241.42,225.02,251.92
2065-01-01,240.65,226.04,251.07
2066-01-01,239,227.6,251.64
2067-01-01,239.75,227.91,251.32
2068-01-01,240.23,227.73,250.91
2069-01-01,240.68,227.89,250.51
2070-01-01,240.49,227.27,251.26
2071-01-01,240.64,227.86,251.71
2072-01-01,240.65,228.81,253.21
2073-01-01,238.19,229.65,254.08
2074-01-01,237.46,229.03,252.47
2075-01-01,237.08,228.91,251.67
2076-01-01,236.64,228.92,250.53
2077-01-01,237.44,229.58,251.41
2078-01-01,238.08,229.62,250.76
2079-01-01,238.41,229.43,251.09
2080-01-01,238.68,230.02,250.72
2081-01-01,238.44,229.38,249.95
2082-01-01,239,228.4,251.18
2083-01-01,238.93,229.14,250.19
2084-01-01,239.27,228.8,250.28
2085-01-01,240.16,229.12,250.96
