"Date","median","lower_90ci","upper_90ci"
1995-06-01,31.44,30.17,33.83
1996-06-01,31.42,30.49,33.23
1997-06-01,30.75,29.38,32.99
1998-06-01,31.66,30.05,33.54
1999-06-01,30.77,29.36,33.46
2000-06-01,31,27.85,33.85
2001-06-01,30.66,27.67,33.67
2002-06-01,31.59,26.97,33.81
2003-06-01,31.69,27.96,34.43
2004-06-01,31.72,28.13,33.7
2005-06-01,31.53,27.98,34.03
2006-06-01,31.43,28.15,34.32
2007-06-01,30.44,28.42,35.56
2008-06-01,31.22,28.39,35.97
2009-06-01,32.07,27.76,37.72
2010-06-01,32.25,28.02,37.31
2011-06-01,32.32,28.04,37.48
2012-06-01,32.2,28.18,37.97
2013-06-01,32.08,28.35,38.66
2014-06-01,31.9,27.67,38.88
2015-06-01,32.19,27.61,38.28
2016-06-01,31.96,27.55,38.55
2017-06-01,32.59,28.94,37.81
2018-06-01,32.32,28.15,37.91
2019-06-01,32.84,27.88,37.4
2020-06-01,33.56,28.01,38.43
2021-06-01,33.72,27.54,38.57
2022-06-01,33.16,27.56,38.88
2023-06-01,32.91,27.72,38.01
2024-06-01,31.88,28.19,37.25
2025-06-01,32.51,27.56,36.76
2026-06-01,32.67,27.46,36.67
2027-06-01,33.18,28.11,37.7
2028-06-01,32.65,27.29,37.86
2029-06-01,31.72,26.97,38.24
2030-06-01,32.75,26.53,38.94
2031-06-01,33.56,26.32,38.26
2032-06-01,31.34,27.17,37.29
2033-06-01,31.57,27.39,37.49
2034-06-01,31.94,26.43,37.25
2035-06-01,31.34,26.61,38.31
2036-06-01,31.3,26.78,38.66
2037-06-01,31.76,27.08,38.84
2038-06-01,32.06,26.68,40.06
2039-06-01,30.9,26.33,39.26
2040-06-01,31.37,26.3,40.39
2041-06-01,32.31,25.9,39.47
2042-06-01,31.88,25.93,41.21
2043-06-01,32.16,26.71,42.12
2044-06-01,30.9,26.76,41.88
2045-06-01,30.21,26.73,40.14
2046-06-01,32.04,27.33,40.42
2047-06-01,32.03,26.75,41.24
2048-06-01,31.97,26.62,42.67
2049-06-01,33.16,27.28,43.01
2050-06-01,32.72,26.68,42.5
2051-06-01,32.17,27.13,43.79
2052-06-01,32.99,27.48,43.57
2053-06-01,32.83,26.77,44.15
2054-06-01,33.49,26.98,44.6
2055-06-01,33.7,26.9,44.96
2056-06-01,33.66,26.85,45.57
2057-06-01,34.11,27.61,46.9
2058-06-01,35.08,27.45,46.84
2059-06-01,34.19,27.25,48.04
2060-06-01,34.06,27.51,48
2061-06-01,34.78,27.14,48.11
2062-06-01,34.67,26.77,49.07
2063-06-01,33.83,27.16,48.78
2064-06-01,33.73,28.16,49.35
2065-06-01,33.91,27.79,48.88
2066-06-01,34.1,27.39,48.61
2067-06-01,33.95,27.33,49.45
2068-06-01,33.45,26.79,48.07
2069-06-01,33.97,27.04,47.56
2070-06-01,32.65,27.35,46.87
2071-06-01,32.38,26.99,47.46
2072-06-01,32.12,26.64,45.98
2073-06-01,32.49,27.08,45.96
2074-06-01,33.19,26.58,47.42
2075-06-01,34.89,25.43,49.25
2076-06-01,33.84,25.12,50.21
2077-06-01,32.54,25.05,50.6
2078-06-01,32.36,25.22,49.56
2079-06-01,32.65,24.84,48.5
2080-06-01,32.28,24.7,48.89
2081-06-01,31.16,24.24,49.52
2082-06-01,31.09,24.03,49.28
2083-06-01,31.02,24.23,48.82
2084-06-01,31.42,24.45,49.53
2085-06-01,31.1,24.38,47.51
