"Date","median","lower_90ci","upper_90ci"
1994-01-01,194.09,188.65,197.32
1995-01-01,196.7,191.43,200.06
1996-01-01,196.33,191.13,199.82
1997-01-01,195.7,190.45,199.18
1998-01-01,196.11,190.96,199.61
1999-01-01,196.42,191.21,199.95
2000-01-01,196.41,191.22,199.95
2001-01-01,196.43,191.23,199.98
2002-01-01,196.92,191.73,200.51
2003-01-01,196.35,191.17,200.04
2004-01-01,196.97,191.63,200.65
2005-01-01,197.28,191.98,201.01
2006-01-01,196.63,191.28,200.36
2007-01-01,197.46,192.01,201.3
2008-01-01,197.43,192.12,201.25
2009-01-01,198.45,193.13,202.3
2010-01-01,198.51,193.22,202.43
2011-01-01,198.34,193,202.43
2012-01-01,198.31,192.99,202.42
2013-01-01,199.71,194.39,203.81
2014-01-01,198.94,193.66,203.11
2015-01-01,199.4,194.17,203.66
2016-01-01,199.51,194.15,203.82
2017-01-01,198.55,193.25,202.84
2018-01-01,198.55,193.19,202.94
2019-01-01,199.02,193.65,203.43
2020-01-01,199.9,194.48,204.34
2021-01-01,200.53,195,204.99
2022-01-01,201.02,195.58,205.57
2023-01-01,201.12,195.57,205.69
2024-01-01,201.41,195.81,206.11
2025-01-01,201.28,195.66,205.89
2026-01-01,201.51,195.84,206.07
2027-01-01,201.39,195.85,206.18
2028-01-01,200.86,195.19,205.68
2029-01-01,201.62,195.99,206.5
2030-01-01,201.78,196.16,206.71
2031-01-01,203.04,197.25,207.97
2032-01-01,202.64,196.7,207.66
2033-01-01,202.97,196.99,207.98
2034-01-01,202.69,196.75,207.78
2035-01-01,201.92,195.89,207
2036-01-01,202.59,196.61,207.77
2037-01-01,202.88,196.92,208.17
2038-01-01,202.59,196.62,207.94
2039-01-01,203.31,197.26,208.73
2040-01-01,203.23,197.13,208.68
2041-01-01,202.58,196.7,207.97
2042-01-01,203.17,197.15,208.63
2043-01-01,202.11,196.05,207.64
2044-01-01,202.58,196.36,208.23
2045-01-01,202.4,196.09,208.04
2046-01-01,202.16,195.95,207.87
2047-01-01,202.88,196.57,208.75
2048-01-01,202.48,196.24,208.51
2049-01-01,202.57,196.25,208.67
2050-01-01,203.35,196.91,209.54
2051-01-01,202.67,196.18,208.98
2052-01-01,202.61,195.87,209.12
2053-01-01,202.47,195.72,209.07
2054-01-01,203.2,196.27,209.87
2055-01-01,202.99,196.02,209.78
2056-01-01,203.66,196.4,210.61
2057-01-01,204.12,196.77,211.11
2058-01-01,204.7,197.44,211.89
2059-01-01,204.25,196.97,211.47
2060-01-01,204.18,196.74,211.48
2061-01-01,204.24,196.88,211.81
2062-01-01,204.08,196.68,211.69
2063-01-01,204,196.49,211.72
2064-01-01,204.56,197.04,212.42
2065-01-01,204.66,197.13,212.68
2066-01-01,205.25,197.4,213.56
2067-01-01,205.03,196.75,213.49
2068-01-01,206.3,197.66,214.95
2069-01-01,206.59,197.8,215.59
2070-01-01,207.01,198.2,216.2
2071-01-01,207.29,198.36,216.59
2072-01-01,206.73,197.74,216.19
2073-01-01,207.88,198.82,217.42
2074-01-01,208.01,199.04,217.71
2075-01-01,208.97,199.79,218.8
2076-01-01,209.27,199.88,219.15
2077-01-01,209.39,199.98,219.37
2078-01-01,210.1,200.54,220.14
2079-01-01,210.19,200.4,220.43
2080-01-01,209.23,199.35,219.84
2081-01-01,210.6,200.51,221.62
2082-01-01,210.3,200.16,221.32
2083-01-01,211.25,200.94,222.5
2084-01-01,210.88,200.18,222.25
2085-01-01,210.64,199.74,222.18
2086-01-01,205.94,195.25,217.31
