"Date","median","lower_90ci","upper_90ci"
1994-01-01,120.59,35.76,229.49
1995-01-01,123.49,36.93,234.58
1996-01-01,124.55,37.36,238.47
1997-01-01,126.45,37.58,238.21
1998-01-01,128.5,39.91,239.87
1999-01-01,130.99,41.38,239.66
2000-01-01,132.19,41.77,242.75
2001-01-01,133.35,41.61,244
2002-01-01,134.51,42.91,246.1
2003-01-01,134.06,43.03,248.62
2004-01-01,134.54,42.95,250.07
2005-01-01,135.57,42.68,251.07
2006-01-01,137.4,44.03,253.18
2007-01-01,139.14,45.23,253.65
2008-01-01,140.39,45.82,255.64
2009-01-01,140.94,45.17,255.37
2010-01-01,140.58,45.04,254.92
2011-01-01,140.63,45.69,255.39
2012-01-01,140.92,45.51,257.45
2013-01-01,140.82,46.11,255.4
2014-01-01,142.96,48.72,258.63
2015-01-01,145.11,50.02,260.72
2016-01-01,145.9,50.66,262.53
2017-01-01,147.7,51.07,264.23
2018-01-01,150,52.89,268.18
2019-01-01,151.31,53.38,268.6
2020-01-01,151.04,53.38,269.13
2021-01-01,153.08,54.27,270.45
2022-01-01,153.52,55.77,271.77
2023-01-01,154.51,56.9,270.29
2024-01-01,155.13,58.15,271.57
2025-01-01,156.03,58.02,272.45
2026-01-01,157.29,58.43,272.41
2027-01-01,157.35,59.06,273.44
2028-01-01,157.07,58.94,273.81
2029-01-01,157.08,58.13,277.2
2030-01-01,158.86,59.11,277.82
2031-01-01,158.56,58.84,278.59
2032-01-01,161.38,58.04,280.85
2033-01-01,161.9,57.26,281.31
2034-01-01,161.7,58.48,281.64
2035-01-01,162.51,59.77,284.85
2036-01-01,162.1,59.34,284.46
2037-01-01,162.57,60.5,286.28
2038-01-01,163.65,60.66,286.99
2039-01-01,164.04,61.41,287.9
2040-01-01,164.97,62.15,290.11
2041-01-01,168.83,64.39,293.67
2042-01-01,172.18,65.97,296.68
2043-01-01,173.6,66.87,299.09
2044-01-01,173.91,66.61,299.68
2045-01-01,175.74,68.65,303.17
2046-01-01,175.83,68.69,303.35
2047-01-01,174.83,69.18,301.95
2048-01-01,176.32,69.47,301.55
2049-01-01,178.11,70.15,304.36
2050-01-01,179.45,71.18,304.8
2051-01-01,179.93,72.18,306.55
2052-01-01,182.3,72.63,308.83
2053-01-01,183.45,72.78,311.32
2054-01-01,183.6,72.54,312.63
2055-01-01,185.11,73.76,315.36
2056-01-01,187.73,74.69,318.13
2057-01-01,188.36,75.01,319.91
2058-01-01,189.44,75.31,320.99
2059-01-01,193.39,76.72,322.76
2060-01-01,192.96,75.67,323.82
2061-01-01,194.18,76.34,325.63
2062-01-01,193.3,77.11,326.16
2063-01-01,195.17,78.65,327.91
2064-01-01,196.89,78.78,330.54
2065-01-01,197.94,80.16,332.39
2066-01-01,201.16,82.26,336.8
2067-01-01,202.44,82.01,339.57
2068-01-01,203.45,83.14,340.68
2069-01-01,204.34,84.22,343.43
2070-01-01,206.03,85.66,344.14
2071-01-01,206.38,85.46,346.04
2072-01-01,206.62,87.19,346.46
2073-01-01,209.69,87.1,348.73
2074-01-01,211.39,87.65,352.23
2075-01-01,213.72,87.34,352.58
2076-01-01,215.68,88.26,358.01
2077-01-01,218.5,89.9,362.84
2078-01-01,218.46,88.19,364.47
2079-01-01,218.71,89.43,363.98
2080-01-01,220.23,89.93,367.87
2081-01-01,220.84,89.62,370.72
2082-01-01,221.72,90.91,371.83
2083-01-01,221.02,91.22,372.3
2084-01-01,224.25,92.62,374.04
2085-01-01,226.44,93.07,375.51
2086-01-01,220.74,90.66,366.13
