"Date","median","lower_90ci","upper_90ci"
1994-03-01,339.67,158.78,527.72
1995-03-01,337.48,158.63,527.24
1996-03-01,333.57,156.77,524.55
1997-03-01,336.17,157.61,526.97
1998-03-01,337.64,159.44,530.8
1999-03-01,337.11,161.69,531.88
2000-03-01,337.31,163.27,530.99
2001-03-01,339.64,163.49,533.22
2002-03-01,339.3,163.57,530.59
2003-03-01,340.87,163.16,533.87
2004-03-01,339.71,163.38,531.69
2005-03-01,341.57,162.87,530.73
2006-03-01,339.91,164.35,529.23
2007-03-01,339.47,166.05,528.19
2008-03-01,340.59,164.37,529.75
2009-03-01,339.74,166.87,530.07
2010-03-01,343.43,168.59,531.67
2011-03-01,344.6,169.29,533.27
2012-03-01,343.28,166.37,530.83
2013-03-01,342.94,162.79,529.59
2014-03-01,343.18,161.6,532.52
2015-03-01,342.12,160.35,533.17
2016-03-01,340.19,156.59,530.43
2017-03-01,337.89,156.47,529.39
2018-03-01,338.51,157.89,528.73
2019-03-01,339.06,153.53,531.04
2020-03-01,339.31,154.79,527.14
2021-03-01,338.83,155.34,530.06
2022-03-01,335.59,150.94,528.8
2023-03-01,335.51,150.64,531.56
2024-03-01,335.51,150.67,532.76
2025-03-01,336.26,147.92,532.45
2026-03-01,337.02,146.46,532.96
2027-03-01,335.31,143.47,533.1
2028-03-01,333.87,140.68,532.09
2029-03-01,335.68,140.85,529.86
2030-03-01,333.51,136.28,528.99
2031-03-01,331.07,136.18,525.88
2032-03-01,328.46,132.66,528.54
2033-03-01,325.7,131.21,527.87
2034-03-01,326.76,131.09,531.96
2035-03-01,324.22,131.84,533.97
2036-03-01,324.65,130.1,534.69
2037-03-01,323.88,127.28,534.35
2038-03-01,324.29,126.58,537.91
2039-03-01,325.71,126.78,536.94
2040-03-01,323.84,124.62,539.18
2041-03-01,324.54,125.07,540.77
2042-03-01,326.64,127.46,543.36
2043-03-01,326.25,129.44,544.47
2044-03-01,325.07,126.22,541.92
2045-03-01,324.49,125.7,543.37
2046-03-01,324.2,126.56,545.5
2047-03-01,323.35,123.66,545.95
2048-03-01,323.3,121.14,545.71
2049-03-01,320.57,118.91,543.33
2050-03-01,320.19,116.72,545.82
2051-03-01,320.1,113.96,545.65
2052-03-01,320.91,115.79,545.28
2053-03-01,322.32,114.87,542.75
2054-03-01,321.05,114.35,540.87
2055-03-01,321.29,114.54,543.65
2056-03-01,320.23,113.86,545.38
2057-03-01,318.65,112.93,545.17
2058-03-01,316.42,113.37,546.6
2059-03-01,313.43,109.63,547.89
2060-03-01,313.9,109.98,547.48
2061-03-01,311.18,107.07,550.32
2062-03-01,312.4,106.89,548.34
2063-03-01,313.75,108.97,551.15
2064-03-01,311.79,105.77,550.78
2065-03-01,307.64,102.21,549.52
2066-03-01,306.17,98.95,551.02
2067-03-01,305.88,100.04,553.67
2068-03-01,304.85,97.9,551.53
2069-03-01,302.95,95.01,557.72
2070-03-01,304.02,94.59,555.85
2071-03-01,301.43,92.44,555.02
2072-03-01,301.85,91.52,556.86
2073-03-01,301.81,90.16,557.58
2074-03-01,301.04,92.04,556.79
2075-03-01,300.6,89.7,557.04
2076-03-01,300.2,85.88,558.3
2077-03-01,300.13,86.26,559.26
2078-03-01,296.65,84.3,558.44
2079-03-01,297.69,88.35,561.46
2080-03-01,295.51,87.82,560.42
2081-03-01,292.37,86.71,558.63
2082-03-01,291.58,86.73,560.76
2083-03-01,286,85.69,557.52
2084-03-01,283.66,81.88,557.99
2085-03-01,282.72,80.55,554.18
