"Date","median","lower_90ci","upper_90ci"
1994-03-01,581.9,569.4,608.96
1995-03-01,579.79,567.53,607.6
1996-03-01,583.07,567.14,608.45
1997-03-01,584.28,563.75,612.15
1998-03-01,588.6,561.81,610.28
1999-03-01,589.04,566.52,609.93
2000-03-01,589.18,570.78,612.23
2001-03-01,586.44,571.46,612.39
2002-03-01,584.01,568.69,608.76
2003-03-01,585.7,571.78,610.48
2004-03-01,591.34,577.33,610.7
2005-03-01,589.85,580.7,614.8
2006-03-01,587.88,574.73,614.45
2007-03-01,587.94,578.26,613.32
2008-03-01,592.03,580.45,616.41
2009-03-01,596.97,578.39,613.88
2010-03-01,596.15,575.08,610.26
2011-03-01,595.15,567.53,611.08
2012-03-01,596.57,567.22,608.65
2013-03-01,596.06,567.69,610.65
2014-03-01,598.46,562.94,612.09
2015-03-01,598.2,552.67,611.79
2016-03-01,592.5,554.88,611.99
2017-03-01,597.31,560.07,616.15
2018-03-01,596.66,552.96,614.61
2019-03-01,593.15,547.46,617.69
2020-03-01,594.68,545.03,618.97
2021-03-01,593.52,543.5,622.45
2022-03-01,590.03,540.19,623.05
2023-03-01,591.43,540.72,623.96
2024-03-01,594.28,543.88,617.62
2025-03-01,592.1,547.09,618.61
2026-03-01,597.94,543.99,620.51
2027-03-01,600.94,545.88,617.07
2028-03-01,590.52,541.91,613.33
2029-03-01,590.87,537.17,610.41
2030-03-01,584.64,530.02,606.01
2031-03-01,578.18,533.11,610.2
2032-03-01,577.51,529.94,613.43
2033-03-01,582.14,533.19,607.44
2034-03-01,578.63,529.33,609.68
2035-03-01,577.49,534.08,603.8
2036-03-01,580.01,536.42,608.5
2037-03-01,578.36,533.39,614.05
2038-03-01,582.06,535.11,617.79
2039-03-01,587.86,532.74,617.72
2040-03-01,590.85,532.08,619.06
2041-03-01,591.07,527.67,611.65
2042-03-01,590.94,525.82,612.06
2043-03-01,587.13,518.12,616.74
2044-03-01,584.36,513.41,612.19
2045-03-01,586.61,514.79,616.7
2046-03-01,584.41,516.56,619.17
2047-03-01,582.36,513.72,615.78
2048-03-01,584.73,509.57,618.06
2049-03-01,575.41,508.57,617.93
2050-03-01,574.65,512.46,619.42
2051-03-01,573.08,513.97,620.64
2052-03-01,573.6,515.17,623.01
2053-03-01,569.43,521.05,627.5
2054-03-01,566.26,521.88,627.69
2055-03-01,563.18,523.27,625.02
2056-03-01,561.57,514.77,622.4
2057-03-01,563.46,511.26,619
2058-03-01,568.71,508.7,624.84
2059-03-01,567.96,511.91,619.34
2060-03-01,570.87,516.64,612.11
2061-03-01,572.54,518.55,617.84
2062-03-01,575.4,512.4,618.16
2063-03-01,567.3,506.24,614.97
2064-03-01,563.65,507.97,612.89
2065-03-01,559.13,498.26,614.42
2066-03-01,556.97,496.21,610.33
2067-03-01,556.4,490.96,616.31
2068-03-01,554.62,492.41,611.57
2069-03-01,558.29,491,616.68
2070-03-01,555.5,495.24,618.83
2071-03-01,549.68,497.46,613.82
2072-03-01,554.4,502,613.49
2073-03-01,548.02,503.97,612.72
2074-03-01,542.59,502.59,610.4
2075-03-01,547.3,500.09,611.71
2076-03-01,550.36,498.8,611.04
2077-03-01,552.41,493.62,609.92
2078-03-01,544.9,495.54,610.25
2079-03-01,549.14,495.68,610.83
2080-03-01,548.23,490.53,611.23
2081-03-01,545.59,488.68,604.01
2082-03-01,551.66,489.16,605.59
2083-03-01,548.8,480.85,601.39
2084-03-01,546.24,474.79,596.08
2085-03-01,551.36,474.52,600.51
