"Date","median","lower_90ci","upper_90ci"
1995-01-01,741.84,726.64,746.79
1996-01-01,739.47,728.01,747.01
1997-01-01,736.93,728.41,743.19
1998-01-01,741.47,732.29,746.63
1999-01-01,740.73,732.57,751.78
2000-01-01,739.95,732.2,753.42
2001-01-01,741.63,732.7,756.97
2002-01-01,744.01,730.36,759.29
2003-01-01,746.41,729.78,765.19
2004-01-01,743.45,732.4,768.57
2005-01-01,739.87,727.76,772.02
2006-01-01,735.75,728.85,769.3
2007-01-01,743.34,731.35,772.69
2008-01-01,744.99,732.27,777.86
2009-01-01,746.37,735.9,781.78
2010-01-01,748.84,739.35,783.13
2011-01-01,753.79,739.32,776.59
2012-01-01,751.43,742.32,776.28
2013-01-01,751.6,742.14,775.7
2014-01-01,752.38,739.52,783.83
2015-01-01,755.84,738.74,788.97
2016-01-01,756.95,737.54,787.64
2017-01-01,755.72,741.97,792.52
2018-01-01,761.6,737.9,792.75
2019-01-01,762.48,738.35,797.4
2020-01-01,767.73,736.61,802.94
2021-01-01,767.32,735,808.96
2022-01-01,769.91,732.81,809.59
2023-01-01,766.15,730.81,812.46
2024-01-01,762.79,736.01,813.11
2025-01-01,763.74,740.84,812.2
2026-01-01,765.15,743.61,812.61
2027-01-01,771.08,747.4,811.55
2028-01-01,774.33,750.83,814.41
2029-01-01,777.33,751.66,817.56
2030-01-01,781.13,746.97,827.22
2031-01-01,779.97,742.16,830.44
2032-01-01,782,742.27,834.03
2033-01-01,781.34,744.82,832.6
2034-01-01,782.36,742.18,838.34
2035-01-01,783.56,747.83,842.27
2036-01-01,789.1,748.73,842.67
2037-01-01,793.01,749.01,841.55
2038-01-01,797.58,748.92,846.1
2039-01-01,795.09,747.66,850.71
2040-01-01,795.02,744.15,855.54
2041-01-01,799.64,747.09,862.77
2042-01-01,805.6,751.66,872.25
2043-01-01,808.98,758.72,879.91
2044-01-01,811.07,761.19,882.76
2045-01-01,818.75,762.36,882.04
2046-01-01,824.16,764.17,886.31
2047-01-01,820.64,760.15,886.29
2048-01-01,824.18,764.45,888.02
2049-01-01,826.75,762.76,888.14
2050-01-01,832.49,766.82,888.09
2051-01-01,834.18,774.76,894.58
2052-01-01,834.81,779.8,902.38
2053-01-01,839.13,781.29,904.64
2054-01-01,848.96,781.72,908.87
2055-01-01,848.73,782.43,909.49
2056-01-01,849.73,781.67,921.18
2057-01-01,854.08,783.65,929.58
2058-01-01,853.61,784.52,928.15
2059-01-01,857.07,783.09,936.34
2060-01-01,859,780.93,943.6
2061-01-01,867.62,788.16,948.83
2062-01-01,869.54,789.72,939.06
2063-01-01,874.4,790.18,950.27
2064-01-01,883.1,794.8,957.91
2065-01-01,889.72,789.64,960.22
2066-01-01,893.98,789.41,961.55
2067-01-01,901.48,793.53,969.47
2068-01-01,905.32,793.73,979.99
2069-01-01,906.82,796.54,984.86
2070-01-01,912.59,800.57,986.07
2071-01-01,916.24,800.79,990.25
2072-01-01,919.26,800.32,990.06
2073-01-01,923.24,801.25,995.28
2074-01-01,925.5,801.37,1000.44
2075-01-01,926.97,802.55,1006.83
2076-01-01,930.09,800.97,1011.47
2077-01-01,936.63,800.08,1017.87
2078-01-01,941.34,796.7,1022.51
2079-01-01,948.28,805.53,1025.39
2080-01-01,952.74,804.26,1032.14
2081-01-01,957.41,802.65,1039.75
2082-01-01,962.95,803.57,1043.12
2083-01-01,963.52,802.45,1049.03
2084-01-01,966.2,798.84,1059.23
2085-01-01,965.5,801.88,1067.17
