"Date","median","lower_90ci","upper_90ci"
1994-01-01,6,5,7
1995-01-01,6,5,7
1996-01-01,6,5,7
1997-01-01,6,5,7
1998-01-01,6,5,7
1999-01-01,6,5,7
2000-01-01,6,5,7
2001-01-01,6,5,8
2002-01-01,6,5,9
2003-01-01,6,5,9
2004-01-01,6,5,10
2005-01-01,6,5,10
2006-01-01,6,5,11
2007-01-01,6,5,12
2008-01-01,6,5,12
2009-01-01,6,5,12
2010-01-01,6,5,13
2011-01-01,6,5,13
2012-01-01,6,5,13
2013-01-01,6,5,13
2014-01-01,6,5,14
2015-01-01,6,5,15
2016-01-01,7,5,15
2017-01-01,7,5,15
2018-01-01,7,5,16
2019-01-01,7,5,17
2020-01-01,7,5,17
2021-01-01,7,5,18
2022-01-01,7,5,18
2023-01-01,7,5,19
2024-01-01,7,5,19
2025-01-01,7,5,20
2026-01-01,7,5,20
2027-01-01,7,5,21
2028-01-01,7,5,21
2029-01-01,7,5,23
2030-01-01,7,5,23
2031-01-01,7,5,24
2032-01-01,7,5,25
2033-01-01,7,5,26
2034-01-01,7,5,26
2035-01-01,7,5,27
2036-01-01,7,5,28
2037-01-01,7,5,28
2038-01-01,7,5,29
2039-01-01,7,5,31
2040-01-01,7,5,32
2041-01-01,7,5,33
2042-01-01,7,5,34
2043-01-01,7,5,34
2044-01-01,7,5,35
2045-01-01,8,5,36
2046-01-01,8,5,37
2047-01-01,8,5,38
2048-01-01,8,5,38
2049-01-01,9,5,39
2050-01-01,9,4,40
2051-01-01,9,4,40
2052-01-01,9,4,42
2053-01-01,9,4,43
2054-01-01,10,4,44
2055-01-01,10,4,45
2056-01-01,10,4,46
2057-01-01,9,4,47
2058-01-01,9,4,49
2059-01-01,9,4,50
2060-01-01,10,4,52
2061-01-01,10,5,54
2062-01-01,10,5,54
2063-01-01,10,5,55
2064-01-01,11,6,57
2065-01-01,11,6,59
2066-01-01,11,6,61
2067-01-01,12,6,63
2068-01-01,12,6,64
2069-01-01,12,6,65
2070-01-01,12,6,67
2071-01-01,12,7,68
2072-01-01,12,7,69
2073-01-01,12,7,72
2074-01-01,12,8,74
2075-01-01,12,8,76
2076-01-01,12,8,78
2077-01-01,12,8,80
2078-01-01,12,8,81
2079-01-01,12,9,82
2080-01-01,12,9,84
2081-01-01,12,9,86
2082-01-01,12,9,87
2083-01-01,12,9,88
2084-01-01,12,9,90
2085-01-01,12,10,92
