"Date","median","lower_90ci","upper_90ci"
1995-01-01,808.75,794.12,818.11
1996-01-01,810.47,792.3,814.13
1997-01-01,806.77,795.75,816.32
1998-01-01,814.33,799.68,819.07
1999-01-01,814.9,798.79,821.53
2000-01-01,812.78,799.36,819.73
2001-01-01,813.12,802.18,823.33
2002-01-01,811.81,796.67,824.56
2003-01-01,813.77,797.51,828.13
2004-01-01,812.97,798.33,829.54
2005-01-01,807.62,800.97,828.5
2006-01-01,806.43,797.6,834.7
2007-01-01,813.02,801.21,840.74
2008-01-01,816.8,797.95,839.56
2009-01-01,817.13,800.21,839.53
2010-01-01,819.61,798.49,839.08
2011-01-01,822.19,802.01,833.94
2012-01-01,822.91,800.66,839.37
2013-01-01,823.49,799.09,839.23
2014-01-01,823.2,792.58,841.77
2015-01-01,825.43,792.71,841.58
2016-01-01,826.63,790.25,838.12
2017-01-01,828.84,796.3,843.9
2018-01-01,833.4,796.02,851.12
2019-01-01,835.25,796.05,851.36
2020-01-01,841.43,790.73,862.71
2021-01-01,846.21,791.98,866.73
2022-01-01,847.8,788.94,867.39
2023-01-01,844.72,794.14,865.17
2024-01-01,843.78,796.9,867.24
2025-01-01,843.94,801.4,871.79
2026-01-01,840.96,811.73,881.75
2027-01-01,842.35,819.54,875.86
2028-01-01,845.13,821.5,875.1
2029-01-01,852.26,821.27,876.15
2030-01-01,861.02,818.87,879.8
2031-01-01,860.08,818.51,887.32
2032-01-01,861.68,822.76,894.38
2033-01-01,864.14,824.44,890.96
2034-01-01,863.75,821.85,894.96
2035-01-01,862.91,829.14,904.91
2036-01-01,862.84,834.76,901.27
2037-01-01,859.07,836.03,904.78
2038-01-01,864.46,836.53,907.32
2039-01-01,865.65,836.11,910.33
2040-01-01,870.83,835.44,916.62
2041-01-01,879.42,834.57,925.07
2042-01-01,884.42,840.54,932.4
2043-01-01,896.44,843.1,940.82
2044-01-01,904.37,848.05,943.4
2045-01-01,910.63,848.01,940.46
2046-01-01,912.53,845.26,943.06
2047-01-01,906.49,847.66,944.25
2048-01-01,910.65,852.48,948.25
2049-01-01,910.57,852.65,955.51
2050-01-01,915.32,857.09,951.57
2051-01-01,915.26,862.58,957.9
2052-01-01,917.55,864.56,966.74
2053-01-01,921.42,869.82,975.88
2054-01-01,928.75,870.62,978.17
2055-01-01,935.81,870.39,982.04
2056-01-01,943.76,871.08,993.29
2057-01-01,947.14,870.29,998.11
2058-01-01,951.15,868.44,999.63
2059-01-01,955.22,865.64,1010.29
2060-01-01,951.54,859.97,1023.01
2061-01-01,960.43,866.38,1027.95
2062-01-01,960.26,867.09,1032.33
2063-01-01,962.44,867.49,1033.03
2064-01-01,969.6,874.21,1046.22
2065-01-01,974.43,870.38,1043.61
2066-01-01,979.38,873.67,1043.42
2067-01-01,989.74,880.82,1048.17
2068-01-01,991.2,885.78,1064.45
2069-01-01,996.52,886.93,1072.17
2070-01-01,1003.92,894.32,1071.57
2071-01-01,1003.06,896.32,1072.67
2072-01-01,1003.92,893.03,1082.58
2073-01-01,1014.64,893.33,1089.72
2074-01-01,1011.99,896.28,1098.87
2075-01-01,1012.74,900.96,1107.41
2076-01-01,1024.29,899.87,1115.91
2077-01-01,1038.68,895.52,1124.23
2078-01-01,1042.75,889.64,1130.87
2079-01-01,1060.59,893.3,1128.76
2080-01-01,1061.95,889.11,1135.96
2081-01-01,1070.57,884.27,1145.4
2082-01-01,1075.98,886.09,1146.31
2083-01-01,1074.75,880.67,1152.72
2084-01-01,1079.86,883.43,1171.44
2085-01-01,1088.98,883.69,1178.43
