"Date","median","lower_90ci","upper_90ci"
1994-03-01,508.66,282.42,768.16
1995-03-01,509.91,279.37,770.12
1996-03-01,508.16,278.03,762.23
1997-03-01,510.38,279.66,758.2
1998-03-01,514.14,281.18,756.42
1999-03-01,514.36,281.34,762.16
2000-03-01,513.6,285.43,765.92
2001-03-01,514.68,283.76,767.37
2002-03-01,513.92,282.79,768.07
2003-03-01,514.81,281.21,773.65
2004-03-01,515.61,283.63,770.34
2005-03-01,517.85,282.12,774.43
2006-03-01,516.04,281.1,767.26
2007-03-01,514.4,282.32,769.27
2008-03-01,513.76,280.24,771.13
2009-03-01,513.22,280.55,764.91
2010-03-01,512.5,282.1,765.42
2011-03-01,517.57,286.3,765.09
2012-03-01,519.45,287.32,766.37
2013-03-01,521.35,283.23,773.73
2014-03-01,523.2,281.3,774.25
2015-03-01,526.04,281.18,778.05
2016-03-01,525.19,278.51,773.46
2017-03-01,520.77,277.3,774.09
2018-03-01,519.36,277.57,781.98
2019-03-01,516.59,275.62,780.41
2020-03-01,517.35,276.1,781.28
2021-03-01,521.29,276.2,782.39
2022-03-01,517.79,268.08,778.69
2023-03-01,516.78,268.19,775.97
2024-03-01,515.37,266.89,778.57
2025-03-01,514.11,268.21,776.85
2026-03-01,509.16,262.92,781.96
2027-03-01,504.76,259.18,782.29
2028-03-01,505.44,255.54,786.06
2029-03-01,507.77,257.03,785.71
2030-03-01,507.11,254.61,782.63
2031-03-01,505.06,253.07,784.27
2032-03-01,504.14,248.74,785.17
2033-03-01,502.74,246.31,779.59
2034-03-01,505.66,249.83,787.5
2035-03-01,504.13,252.14,784.64
2036-03-01,501.39,252.98,785.99
2037-03-01,504.15,247.03,784.76
2038-03-01,507.86,247.92,787.85
2039-03-01,511.13,249.12,791.03
2040-03-01,510.43,247.46,794.61
2041-03-01,509.77,248.93,793.62
2042-03-01,511.01,245.32,793.38
2043-03-01,511.67,247.41,792.15
2044-03-01,507.84,245.97,790.31
2045-03-01,508.58,247.08,791.27
2046-03-01,506.88,246.7,791.78
2047-03-01,506.48,248.59,792.78
2048-03-01,504.39,248,786.3
2049-03-01,504.72,242.1,785.25
2050-03-01,502.56,240.21,785.58
2051-03-01,498.11,238.85,787.28
2052-03-01,498.64,239.74,793.97
2053-03-01,499.87,240.46,804.94
2054-03-01,498.61,240.09,801.73
2055-03-01,499.1,239.89,804.3
2056-03-01,504.15,242.66,801.95
2057-03-01,505.08,242.46,803.86
2058-03-01,502.87,243.43,805.74
2059-03-01,499.65,240.09,801.27
2060-03-01,501.44,240.4,802.62
2061-03-01,500.82,237.48,802.54
2062-03-01,498.9,237.4,798.86
2063-03-01,499.87,239.22,807.3
2064-03-01,497.71,233.6,804.81
2065-03-01,495.2,227.69,812.32
2066-03-01,494.7,220.56,809.85
2067-03-01,493.12,223.61,808.84
2068-03-01,487.84,221,816.1
2069-03-01,485.46,221.25,820.89
2070-03-01,487.86,221.36,819.97
2071-03-01,484.73,216.76,818.6
2072-03-01,483.93,218.4,825.47
2073-03-01,481.51,218.01,821.29
2074-03-01,483.38,220.19,823
2075-03-01,481.56,218.64,825.39
2076-03-01,482.18,214.02,828.63
2077-03-01,483.79,209.57,831.06
2078-03-01,484.63,208.52,833.08
2079-03-01,486.5,215.47,850.5
2080-03-01,484.78,212.36,850.87
2081-03-01,483.44,210.17,853.36
2082-03-01,483.28,210.84,854.22
2083-03-01,480.37,204.57,847.47
2084-03-01,478.9,198.6,853.67
2085-03-01,484.4,196.26,860.03
