"Date","median","lower_90ci","upper_90ci"
1995-01-01,221.99,217.66,223.24
1996-01-01,221.35,217.54,222.65
1997-01-01,220.59,218.17,221.81
1998-01-01,221.52,219.13,223.49
1999-01-01,221.6,219.75,224.98
2000-01-01,221.94,220.32,226.12
2001-01-01,221.52,219.74,227.32
2002-01-01,221.42,219.07,228.18
2003-01-01,222.33,218.39,229.84
2004-01-01,220.98,219.14,231.03
2005-01-01,220.35,218.7,232.5
2006-01-01,220.62,217.48,231.89
2007-01-01,222.8,217.81,233.91
2008-01-01,222.42,218.13,235.24
2009-01-01,223.42,218.53,236.2
2010-01-01,224.93,217.34,236.53
2011-01-01,225.58,217.48,234.66
2012-01-01,225.04,218.26,234.03
2013-01-01,224.11,218.26,233.5
2014-01-01,224.31,217.66,236.06
2015-01-01,225.45,217.17,237.51
2016-01-01,225.69,217.49,237.19
2017-01-01,225.85,217.59,238.95
2018-01-01,226.69,217.93,238.93
2019-01-01,228.12,218.08,240.32
2020-01-01,229.68,216.74,242.22
2021-01-01,229.29,216.74,244.07
2022-01-01,230.71,216.08,244.78
2023-01-01,229.96,215.7,245.42
2024-01-01,228.91,216.28,245.62
2025-01-01,230.28,217.31,245.11
2026-01-01,231.53,218.08,245.01
2027-01-01,233.36,220.03,245.13
2028-01-01,234.1,220.85,245.72
2029-01-01,235.01,221.13,247.17
2030-01-01,235.56,220.21,250.07
2031-01-01,235.74,219.15,250.98
2032-01-01,236.46,219.14,251.96
2033-01-01,236.85,220.33,251.13
2034-01-01,236.8,219.97,253.38
2035-01-01,237.43,221.98,255.03
2036-01-01,239.11,222.57,255.37
2037-01-01,239.64,222.88,254.92
2038-01-01,239.48,222.99,256.06
2039-01-01,239.32,222.44,257.35
2040-01-01,240.8,221.09,258.88
2041-01-01,242.42,222.13,261.49
2042-01-01,244.47,223.44,264.93
2043-01-01,244.71,225.5,267.53
2044-01-01,245.08,225.94,268.32
2045-01-01,247.01,226.54,267.64
2046-01-01,248.21,226.79,269.22
2047-01-01,248.2,226.14,269.45
2048-01-01,248.85,227.58,270.13
2049-01-01,251.03,227.25,270.18
2050-01-01,251.98,228.43,270.32
2051-01-01,252.86,230.6,271.18
2052-01-01,253.13,232.24,273.1
2053-01-01,253.14,232.47,273.93
2054-01-01,254.9,232.09,274.48
2055-01-01,256.09,232.74,274.67
2056-01-01,256.51,232.8,277.9
2057-01-01,258.15,232.69,280.46
2058-01-01,259.34,232.75,280.08
2059-01-01,259.88,232.19,281.75
2060-01-01,259.94,231.15,283.94
2061-01-01,260.57,233.19,285.26
2062-01-01,262.71,233.62,282.8
2063-01-01,262.53,233.79,286.36
2064-01-01,263.55,235.11,288.71
2065-01-01,263.23,235.2,289.17
2066-01-01,263.61,236.02,290.03
2067-01-01,265.43,236.08,291.98
2068-01-01,266.52,237.32,294.97
2069-01-01,266.7,238.57,296.38
2070-01-01,267.48,239.99,296.89
2071-01-01,268.24,239.43,298.04
2072-01-01,268.42,239.21,297.7
2073-01-01,269.58,239.45,299.41
2074-01-01,271.38,240.9,301.88
2075-01-01,270.47,242.48,304.47
2076-01-01,271.32,242.26,305.9
2077-01-01,272.54,242.41,308.6
2078-01-01,273.16,241.34,309.89
2079-01-01,275.09,242.78,312.1
2080-01-01,276.03,241.82,313.3
2081-01-01,276.95,240.44,315.41
2082-01-01,278.02,241.67,316.17
2083-01-01,278.75,240.45,317.76
2084-01-01,279.63,241.04,320.88
2085-01-01,278.83,241.78,323.18
