"Date","median","lower_90ci","upper_90ci"
1995-01-01,530.97,523.87,534.5
1996-01-01,529.81,524.38,533.02
1997-01-01,528.68,525.44,531.42
1998-01-01,531.53,523.33,536
1999-01-01,531.09,527,537.25
2000-01-01,533.43,524.55,540.31
2001-01-01,533.65,526.5,543.64
2002-01-01,531.79,526.85,545.64
2003-01-01,534.43,524.99,549.15
2004-01-01,533.35,521.43,552.46
2005-01-01,531.89,518.75,554.12
2006-01-01,533.13,521.76,551.7
2007-01-01,535.31,526.63,554.35
2008-01-01,536.78,527.31,556.42
2009-01-01,538.57,528.48,557.74
2010-01-01,537.18,528.71,558
2011-01-01,538.3,527.53,553.93
2012-01-01,536.12,527.59,552.36
2013-01-01,536.23,530.12,552.07
2014-01-01,538.38,527.29,557.39
2015-01-01,537.96,526.8,561.26
2016-01-01,536.35,529.18,561.92
2017-01-01,539.69,526.4,566.09
2018-01-01,543.35,523.73,568.97
2019-01-01,542.1,527.28,571.66
2020-01-01,544.56,526.77,574.87
2021-01-01,545.75,527.63,578.97
2022-01-01,545.47,525.13,578.1
2023-01-01,545.86,521.57,579.81
2024-01-01,544.82,523.52,579.43
2025-01-01,544.74,525.11,580.06
2026-01-01,548.48,524.25,578.81
2027-01-01,551.6,527.21,579.68
2028-01-01,554.63,530.95,583.18
2029-01-01,552.57,532.47,588.83
2030-01-01,551,531.8,591.96
2031-01-01,552.83,528.37,591.28
2032-01-01,555.69,528.27,593.31
2033-01-01,557.05,531.16,592.82
2034-01-01,556.36,530.28,597.06
2035-01-01,560.5,534.62,599.26
2036-01-01,561.05,536.15,599.08
2037-01-01,561.22,534.56,599.13
2038-01-01,561.01,533.6,602.03
2039-01-01,560.01,530.79,606.18
2040-01-01,560.03,530.12,609.46
2041-01-01,565.89,532.53,614.39
2042-01-01,570.29,533.94,621.73
2043-01-01,574.24,538.96,628.48
2044-01-01,578.69,539.32,630.42
2045-01-01,583.69,538.67,629.18
2046-01-01,582.49,540.55,630.93
2047-01-01,581.45,538.84,630.13
2048-01-01,584.96,542.79,628.59
2049-01-01,586.87,541.1,633.16
2050-01-01,583.76,545.33,633.79
2051-01-01,585.14,550.07,638.42
2052-01-01,586.35,553.63,644.64
2053-01-01,589.92,555.03,643.53
2054-01-01,595.13,553.27,646.08
2055-01-01,595.77,555.67,647.65
2056-01-01,597.37,556.25,655.53
2057-01-01,598.41,557.84,660.03
2058-01-01,596.24,558.23,657.96
2059-01-01,597.59,556.32,662.72
2060-01-01,600.7,556.5,667.31
2061-01-01,608,559.95,671.54
2062-01-01,609.01,560.88,667.85
2063-01-01,612,560.3,672.76
2064-01-01,619.68,561.13,675.1
2065-01-01,621.48,556.01,676.99
2066-01-01,625.22,555.56,682.26
2067-01-01,628.51,560.39,689.88
2068-01-01,631.78,560.2,692.18
2069-01-01,635.65,562.25,694.09
2070-01-01,640.6,564.81,695.94
2071-01-01,641.04,565.43,699.84
2072-01-01,642.87,565.71,698.6
2073-01-01,645.73,565.85,704.47
2074-01-01,643.53,568.26,713.83
2075-01-01,643.66,570.48,719.94
2076-01-01,648.87,567.25,723.82
2077-01-01,655.28,567.62,728.53
2078-01-01,659.76,564.4,730.78
2079-01-01,666.26,571.45,732.37
2080-01-01,662.18,568.51,738
2081-01-01,666.07,568.16,742.89
2082-01-01,669.01,569.88,743.86
2083-01-01,669.62,570.31,747.92
2084-01-01,669.6,569.93,754.05
2085-01-01,673.03,572.08,759.8
