"Date","median","lower_90ci","upper_90ci"
1995-06-01,41.26,38.26,42.83
1996-06-01,41.24,38.07,42.89
1997-06-01,40.49,37.38,42.54
1998-06-01,40.08,38.05,43.02
1999-06-01,39.74,36.5,41.8
2000-06-01,39.12,34.06,41.94
2001-06-01,38.41,34.31,41.62
2002-06-01,39.77,33.34,42.1
2003-06-01,39.81,33.77,42.26
2004-06-01,40.28,33.41,42.6
2005-06-01,39.43,32.9,43.55
2006-06-01,39.81,33.62,43.12
2007-06-01,39.84,33.64,43.43
2008-06-01,40.15,33.57,45.16
2009-06-01,40.28,32.88,45.3
2010-06-01,41.02,33.12,44.66
2011-06-01,40.68,33.55,45.08
2012-06-01,40.87,33.26,44.26
2013-06-01,40.75,33.62,44.77
2014-06-01,40.91,33.7,45.63
2015-06-01,42.02,34.7,46.13
2016-06-01,41.32,34.74,47.04
2017-06-01,40.54,35.45,46.52
2018-06-01,40.41,35.77,46.59
2019-06-01,39.72,35.31,45.91
2020-06-01,39.26,34.74,45.82
2021-06-01,38.79,35.28,46.21
2022-06-01,40.02,35.15,46.3
2023-06-01,39.79,35.12,46.74
2024-06-01,39.73,35.56,45.56
2025-06-01,40.12,34.86,44.6
2026-06-01,40.26,35.01,44.51
2027-06-01,40.86,34.74,47.73
2028-06-01,40.5,33.69,48.17
2029-06-01,40.61,33.68,47.26
2030-06-01,40.7,32.75,47.43
2031-06-01,40.09,32.61,47.94
2032-06-01,39.91,33.02,47.84
2033-06-01,40.63,32.56,49.34
2034-06-01,40.02,32.56,49.17
2035-06-01,39.83,32.69,50.73
2036-06-01,39.18,32.22,50.94
2037-06-01,39.19,33,51.51
2038-06-01,38.49,33.26,52.01
2039-06-01,37.92,33.39,50.95
2040-06-01,39.07,33.51,53.37
2041-06-01,39.89,32.78,52.92
2042-06-01,39.75,33.15,54.4
2043-06-01,40.54,33.98,55.35
2044-06-01,39.47,34.3,55.22
2045-06-01,38.81,35,53.28
2046-06-01,39.78,35.14,53.1
2047-06-01,39.72,34.97,54.57
2048-06-01,40.32,33.78,57.08
2049-06-01,40.57,34.06,59.18
2050-06-01,40.18,33.63,59.1
2051-06-01,39.86,34,60.52
2052-06-01,40.86,33.17,61.2
2053-06-01,40.99,33,62.13
2054-06-01,41.79,33.17,62.32
2055-06-01,41.81,33.22,62.45
2056-06-01,42.61,33.33,63.01
2057-06-01,42.63,33.15,63.77
2058-06-01,43.99,32.72,63.67
2059-06-01,44.32,32.96,65.58
2060-06-01,45.18,32.23,67.57
2061-06-01,46.08,32.69,67.25
2062-06-01,45.85,33.14,67.26
2063-06-01,45.59,33.42,66.54
2064-06-01,44.36,34.6,67.64
2065-06-01,43.89,33.98,67.52
2066-06-01,43.91,33.68,68.07
2067-06-01,44.14,33.88,68.72
2068-06-01,43.51,32.76,67
2069-06-01,44.51,32.38,67.3
2070-06-01,43.08,32.69,64.87
2071-06-01,41.83,32.41,63.86
2072-06-01,41.94,31.37,63.8
2073-06-01,40.87,31.5,63.57
2074-06-01,41.17,31.45,66.2
2075-06-01,41.1,30.51,67.85
2076-06-01,40.73,30.09,69.37
2077-06-01,40.96,30.91,69.72
2078-06-01,40.77,30.18,68.73
2079-06-01,39.37,30.81,66.46
2080-06-01,39.91,30.46,66.2
2081-06-01,41.22,30.12,66.94
2082-06-01,40.3,29.55,66.93
2083-06-01,40.83,29.69,66.77
2084-06-01,40.63,29.16,67.86
2085-06-01,40.9,28.92,65.21
