"Date","median","lower_90ci","upper_90ci"
1995-09-01,206.19,199.5,209.84
1996-09-01,206.05,200.5,210.38
1997-09-01,205.61,200.78,211.11
1998-09-01,205.35,202.66,210.67
1999-09-01,205.52,202.68,209.51
2000-09-01,205.86,201.94,210.35
2001-09-01,206.37,201.58,211.4
2002-09-01,206.57,200.3,212.22
2003-09-01,209.36,200.87,210.09
2004-09-01,209.83,199.08,211.7
2005-09-01,209.73,198.68,211.35
2006-09-01,208.53,198.76,211.91
2007-09-01,207.91,201.19,213.76
2008-09-01,208.66,200.39,215.53
2009-09-01,210.99,198.57,215.85
2010-09-01,210.21,198.98,219.36
2011-09-01,208.52,199.5,219.42
2012-09-01,208.64,198.47,219.39
2013-09-01,209.3,199.59,219.12
2014-09-01,207.93,200.29,220.47
2015-09-01,208.24,200.85,218.76
2016-09-01,206.05,200.99,218.56
2017-09-01,207.58,199.61,218.31
2018-09-01,207.81,199,216.4
2019-09-01,209.56,202.83,218.29
2020-09-01,210.72,204.05,219.84
2021-09-01,210.81,203.42,220.39
2022-09-01,212.87,206.39,220.88
2023-09-01,212.76,206.34,217.91
2024-09-01,213.7,204.83,217.89
2025-09-01,213.62,205.5,219.91
2026-09-01,213.67,205.56,220.19
2027-09-01,213.35,206.98,221.72
2028-09-01,214.84,206.81,223.6
2029-09-01,214.49,206.43,223.53
2030-09-01,213.31,206.73,225.13
2031-09-01,214.2,205.18,222.7
2032-09-01,212.66,203.86,222.61
2033-09-01,212.54,204.36,221.75
2034-09-01,210.9,203.33,221.78
2035-09-01,212.75,204.93,222.62
2036-09-01,214.05,205.63,221.79
2037-09-01,212.12,202.43,223.16
2038-09-01,214.93,201.41,223.93
2039-09-01,215.15,203.12,221.92
2040-09-01,217.38,202.84,221.27
2041-09-01,217.51,203.17,224.63
2042-09-01,219.11,203.69,225.63
2043-09-01,217.29,204.85,225.26
2044-09-01,218.52,205.97,223.8
2045-09-01,217.72,205.14,225.65
2046-09-01,218.2,205.49,228.74
2047-09-01,219.14,206.33,228.63
2048-09-01,217.36,207.22,230.32
2049-09-01,216.1,206.64,229.89
2050-09-01,216.41,205.5,229.24
2051-09-01,218.65,203.26,229.46
2052-09-01,218.37,202.11,227.95
2053-09-01,217.62,201.67,228.87
2054-09-01,218.16,200.93,228.53
2055-09-01,217.18,197.17,226.54
2056-09-01,217.33,198.58,226.94
2057-09-01,217.02,200.3,227.17
2058-09-01,216.16,199.5,227.82
2059-09-01,215.82,199.52,228.48
2060-09-01,216.42,196.42,230.8
2061-09-01,218.97,196.57,231.64
2062-09-01,217.18,197.53,232.36
2063-09-01,218.73,198.95,233.45
2064-09-01,219.49,199.51,235.34
2065-09-01,218.71,198.86,238.13
2066-09-01,219.27,195.71,239.16
2067-09-01,220.27,199.71,239.81
2068-09-01,219.95,197.71,240.44
2069-09-01,219.43,194.48,241.11
2070-09-01,220.32,193.19,238.58
2071-09-01,219.28,194.71,238.11
2072-09-01,218.67,194.17,237.95
2073-09-01,220.29,191.35,239.56
2074-09-01,222.44,191.34,242.76
2075-09-01,221.73,192.15,243.37
2076-09-01,221.93,189.03,243.65
2077-09-01,222.23,186.39,245.54
2078-09-01,221.28,184.09,245.96
2079-09-01,222.21,185.79,245.38
2080-09-01,220.55,186.2,246.21
2081-09-01,219.24,186.35,246.47
2082-09-01,219.1,185.94,248.29
2083-09-01,219.82,183.54,249.07
2084-09-01,219.75,183.54,247.48
2085-09-01,221.15,186.58,249.6
