"Date","median","lower_90ci","upper_90ci"
1995-01-01,759.97,749.27,765.88
1996-01-01,757.93,747.07,767.16
1997-01-01,754.65,750.14,766.7
1998-01-01,759,752.85,768.8
1999-01-01,760.8,753.71,768.68
2000-01-01,760.58,752.27,770.46
2001-01-01,762.75,751.63,774.34
2002-01-01,761.56,745.15,776.48
2003-01-01,761.2,742.85,781.35
2004-01-01,765.31,741.23,785.72
2005-01-01,761.54,745.01,786.29
2006-01-01,763.93,744.71,788.01
2007-01-01,766.1,752.32,793.01
2008-01-01,764.53,752.35,790.75
2009-01-01,766.04,755.79,787.87
2010-01-01,768.26,753.12,787.96
2011-01-01,766.73,753.14,784.31
2012-01-01,766.56,754.01,788.25
2013-01-01,767.2,755.6,785.84
2014-01-01,767.8,753.1,785.79
2015-01-01,769.63,751.75,784.71
2016-01-01,773.96,756.01,781.23
2017-01-01,776.7,758.37,783.73
2018-01-01,779.06,758.16,788.46
2019-01-01,783.11,761.05,790.13
2020-01-01,786.87,758.49,801.94
2021-01-01,788.92,762.07,807.68
2022-01-01,789.67,758.5,808.98
2023-01-01,789.68,759.51,810.58
2024-01-01,791.62,760.16,809.5
2025-01-01,792.64,761.41,814.38
2026-01-01,795.41,765.8,820.07
2027-01-01,795.25,772.07,819.01
2028-01-01,796.75,774.21,816.81
2029-01-01,800.08,774.12,821.15
2030-01-01,802.86,771.89,826.12
2031-01-01,801.65,771.27,828.05
2032-01-01,805.73,774.92,831.38
2033-01-01,809.36,776.56,830.21
2034-01-01,807.54,774.28,836.82
2035-01-01,807.97,782.19,843.14
2036-01-01,810.21,786.99,837.04
2037-01-01,811.52,785.61,839.75
2038-01-01,812.4,783.71,843.34
2039-01-01,814.33,783.05,847.18
2040-01-01,819.37,781.07,850.95
2041-01-01,826.88,784.26,860.27
2042-01-01,829.88,786.38,869.5
2043-01-01,834.44,786.41,877.21
2044-01-01,838.68,791.11,880.9
2045-01-01,846.45,791.91,877.86
2046-01-01,849.87,790.48,881.24
2047-01-01,846.64,791.99,883.49
2048-01-01,847.3,796.26,884.89
2049-01-01,853.14,797.59,888.99
2050-01-01,855.66,800.28,884.05
2051-01-01,858.54,801.27,890.12
2052-01-01,864.2,803.25,896.23
2053-01-01,868.99,810.01,898.82
2054-01-01,875.17,807.25,897.85
2055-01-01,881.67,809.02,901.94
2056-01-01,887.56,808.29,911.79
2057-01-01,887.82,808.91,912.88
2058-01-01,894.49,809.13,912.29
2059-01-01,899.51,807.54,922.04
2060-01-01,897,805.36,930.8
2061-01-01,908.16,809.1,935.09
2062-01-01,903.68,810.28,942.78
2063-01-01,916.47,812.02,941.86
2064-01-01,918.39,820.12,952.52
2065-01-01,922.98,816.39,955.83
2066-01-01,927.37,818.64,963.93
2067-01-01,933.67,824.64,966.25
2068-01-01,933.4,831.28,974.05
2069-01-01,938.9,831.29,983.28
2070-01-01,941.28,837.05,979.47
2071-01-01,940.32,839.26,978.99
2072-01-01,940.47,837.58,987.36
2073-01-01,947.9,838.3,990.68
2074-01-01,947.09,840.02,1002.09
2075-01-01,955.04,844.22,1008.89
2076-01-01,965.67,841.21,1016.08
2077-01-01,974.49,839.44,1025.32
2078-01-01,980.38,833.89,1027.13
2079-01-01,987.36,836.86,1029.56
2080-01-01,992.24,831.9,1041.42
2081-01-01,995.17,828.83,1045.14
2082-01-01,992.37,832.33,1049.44
2083-01-01,1000.26,827.53,1050.53
2084-01-01,1003.45,831.83,1066.04
2085-01-01,1012.16,834.39,1067.59
