"Date","median","lower_90ci","upper_90ci"
1995-03-01,194.19,188.79,199.21
1996-03-01,193.81,189.43,200.45
1997-03-01,193.44,189.48,200.65
1998-03-01,195.26,191.65,202.82
1999-03-01,197.18,191.95,202.84
2000-03-01,197.36,188.78,203.2
2001-03-01,196.76,187.62,203.15
2002-03-01,196,185.83,203.87
2003-03-01,194.02,187.41,203.16
2004-03-01,195.05,188.4,200.71
2005-03-01,196.31,185.85,202.12
2006-03-01,196.88,183.3,201.82
2007-03-01,197.86,186.55,204.17
2008-03-01,198.12,187.21,204.42
2009-03-01,197.75,186.77,203.83
2010-03-01,198.73,189.03,204.74
2011-03-01,199.25,187.67,209.03
2012-03-01,197.85,186.98,207.08
2013-03-01,197.12,188.27,204.34
2014-03-01,195.31,187.45,202.54
2015-03-01,192.54,188.12,201.22
2016-03-01,193.28,186.21,201.07
2017-03-01,193.91,186.98,202.71
2018-03-01,194.55,184.48,203.58
2019-03-01,194.31,184.75,204.58
2020-03-01,197.42,183.51,204.08
2021-03-01,198.03,182.79,206.28
2022-03-01,198.04,181.94,206.05
2023-03-01,196.54,181.52,206.27
2024-03-01,197.28,183.08,209.54
2025-03-01,197.21,184.66,210.29
2026-03-01,197.94,184.75,213.62
2027-03-01,199.46,185.89,212.44
2028-03-01,199.41,185.65,213.55
2029-03-01,200.2,184.77,213.66
2030-03-01,200.9,183.67,213.49
2031-03-01,201.71,183.36,214.54
2032-03-01,201.02,182.12,218.66
2033-03-01,202.46,187.01,219.6
2034-03-01,203.11,188.83,218.25
2035-03-01,201.02,192.07,219.52
2036-03-01,199.39,193.53,222.19
2037-03-01,198.82,190.39,220.56
2038-03-01,198.43,191.04,219.7
2039-03-01,200.82,192.15,215.66
2040-03-01,202.68,191.2,216.33
2041-03-01,203.04,193.16,219.21
2042-03-01,206.84,195.15,221.55
2043-03-01,209.2,196.85,224.52
2044-03-01,211.26,198.04,224.06
2045-03-01,212.56,199.81,227.92
2046-03-01,212.83,201.8,228.92
2047-03-01,209.17,202.04,226.65
2048-03-01,210.56,205.04,227.46
2049-03-01,213.22,202.59,229.64
2050-03-01,215.27,203.53,229.86
2051-03-01,217.47,203.33,227.15
2052-03-01,219.28,204.57,228.38
2053-03-01,220.15,206.44,233.13
2054-03-01,218.83,204.94,233.64
2055-03-01,221.86,207.91,236.96
2056-03-01,221.78,207.72,241.38
2057-03-01,224.88,205.37,240.67
2058-03-01,227.16,202.83,237.63
2059-03-01,226.36,202.87,240.37
2060-03-01,225.42,206.27,244.99
2061-03-01,227.74,209.01,245.26
2062-03-01,230.54,208.86,240.87
2063-03-01,231.61,208.57,238.71
2064-03-01,231.32,208.92,242.96
2065-03-01,233.17,203.73,243.46
2066-03-01,233.76,203.06,244.33
2067-03-01,233.76,204.58,247.73
2068-03-01,234.5,203.8,254.98
2069-03-01,238.39,203.43,256.49
2070-03-01,239.16,203.56,257.2
2071-03-01,238.15,203.04,259.95
2072-03-01,237.67,204.07,266.01
2073-03-01,239.47,205.07,264.68
2074-03-01,241.52,204,263.57
2075-03-01,241.29,206.14,270.89
2076-03-01,242.16,209.21,275.7
2077-03-01,244.53,209.4,279.34
2078-03-01,244.1,205.86,281.26
2079-03-01,246.15,208.92,280.79
2080-03-01,245.26,207.23,285.78
2081-03-01,246.01,210.01,287.86
2082-03-01,246.54,210.6,286.08
2083-03-01,250.97,209.63,285.75
2084-03-01,251.1,209.1,292.85
2085-03-01,250.66,210.56,300.48
