"Date","median","lower_90ci","upper_90ci"
1995-01-01,387.05,376.63,393.02
1996-01-01,389.78,385.77,396.84
1997-01-01,388.48,383.07,395.25
1998-01-01,391.13,383.2,394.56
1999-01-01,392.45,383.52,398.33
2000-01-01,392.38,384.52,398.71
2001-01-01,395.94,381.12,397.67
2002-01-01,395.24,384.81,400.23
2003-01-01,395.09,379.29,407.03
2004-01-01,393.38,379.01,407.68
2005-01-01,391.74,378.85,408.08
2006-01-01,392.58,384.52,408.5
2007-01-01,392.36,385.24,410.1
2008-01-01,391.43,383.47,413.62
2009-01-01,394.01,382.1,419.92
2010-01-01,393.75,384.33,420.45
2011-01-01,389.73,385.46,417.17
2012-01-01,395.04,383.32,416.9
2013-01-01,393.99,383.65,414.98
2014-01-01,396.3,383.76,420.5
2015-01-01,398.78,388.99,423.61
2016-01-01,400.77,389.34,427.67
2017-01-01,400.44,386.99,428.13
2018-01-01,402.02,385.28,433.28
2019-01-01,405.14,384.73,438.6
2020-01-01,406.25,383.29,438.46
2021-01-01,409.31,382.67,440.77
2022-01-01,409.33,381.5,446.78
2023-01-01,407.12,381.41,443.16
2024-01-01,406.19,384.85,443.38
2025-01-01,409.76,386.92,444.06
2026-01-01,409.88,391.52,440.48
2027-01-01,410.37,392.72,439.84
2028-01-01,411.95,390.95,442.18
2029-01-01,410.85,390.32,449.98
2030-01-01,414.15,390.91,454.79
2031-01-01,413.38,387.54,456.8
2032-01-01,419.47,385.41,457.47
2033-01-01,418.99,386.85,452.76
2034-01-01,417.37,386.94,457.95
2035-01-01,423.02,385.75,460.69
2036-01-01,422.71,384.14,458.96
2037-01-01,426.04,385.12,461.65
2038-01-01,427.36,384.79,462.18
2039-01-01,426.76,384.61,466.1
2040-01-01,429.17,382.95,467.32
2041-01-01,429.83,384.83,475.26
2042-01-01,434.35,383.81,486.78
2043-01-01,436.2,389.7,489.83
2044-01-01,435.44,389.52,492.15
2045-01-01,439.36,391.67,489.97
2046-01-01,442.88,393.98,489.12
2047-01-01,443.89,396.63,490.57
2048-01-01,444.51,403.72,487.18
2049-01-01,449.64,403.48,489.99
2050-01-01,452.64,405.12,491.81
2051-01-01,454.02,410.43,498.81
2052-01-01,453.49,415.05,507.69
2053-01-01,454.58,411.83,512.14
2054-01-01,457.2,411.38,512.64
2055-01-01,457.8,409,511.16
2056-01-01,463.06,411.15,520.83
2057-01-01,464.39,413.83,523.17
2058-01-01,464.68,415.06,526.92
2059-01-01,469.84,415.3,529.51
2060-01-01,468.24,410.03,535.99
2061-01-01,468.86,413.77,541.07
2062-01-01,469.08,415.4,535.26
2063-01-01,473.05,415.13,541.91
2064-01-01,478.38,415.37,543.95
2065-01-01,479.5,418.88,548.29
2066-01-01,484.42,423.9,553.14
2067-01-01,486.52,422.09,550.78
2068-01-01,490.58,423.01,561.12
2069-01-01,489.31,424.64,564.83
2070-01-01,493.3,427.54,571.36
2071-01-01,499.49,425.48,574.56
2072-01-01,499.11,425.1,575.79
2073-01-01,499.22,422.95,582.08
2074-01-01,500.38,427.84,587.66
2075-01-01,502.24,431.16,588.88
2076-01-01,500.77,431.23,604.3
2077-01-01,505.3,433.06,608.14
2078-01-01,505.46,431.2,614.53
2079-01-01,515.31,430.77,610.46
2080-01-01,509.91,434.36,614.65
2081-01-01,511.37,433.25,622.1
2082-01-01,516.48,433.64,618.65
2083-01-01,517.37,438.09,621.46
2084-01-01,518.46,439.93,633.19
2085-01-01,521.48,442.73,645.17
2086-01-01,506.12,430.35,622.63
